timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
44,0.5126,0.4218,0.4246,0.4176,0.4106,0.5042,0.4246,0.4176,0.4274,0.4302,0.5126,0.4106,0.4391
45,0.5126,0.4218,0.4246,0.4176,0.4106,0.5126,0.4246,0.4176,0.4274,0.4302,0.5126,0.4106,0.44
46,0.5126,0.4218,0.4902,0.4846,0.4106,0.5126,0.4246,0.4176,0.4274,0.4302,0.5126,0.4106,0.4532
47,0.5126,0.4218,0.4902,0.4846,0.4106,0.5126,0.4246,0.4176,0.4274,0.4302,0.5126,0.4106,0.4532
48,0.5126,0.4218,0.4902,0.4846,0.4106,0.5126,0.4246,0.4176,0.4274,0.4302,0.5126,0.4106,0.4532
49,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.4274,0.4316,0.5126,0.4106,0.4536
50,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.4274,0.4316,0.5126,0.4106,0.4536
51,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4602
52,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4602
53,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4602
54,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4602
55,0.5126,0.4218,0.4902,0.4874,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4602
56,0.5126,0.4218,0.4902,0.493,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4608
57,0.5126,0.4218,0.4986,0.493,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4616
58,0.5126,0.4218,0.4986,0.493,0.4106,0.5126,0.4246,0.4176,0.493,0.4316,0.5126,0.4106,0.4616
59,0.5126,0.4218,0.4986,0.493,0.4106,0.5126,0.4246,0.4218,0.493,0.4316,0.5126,0.4106,0.462
60,0.5126,0.4218,0.4986,0.493,0.4106,0.5126,0.4246,0.4274,0.493,0.4316,0.5126,0.4106,0.4626
61,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.493,0.493,0.4316,0.5126,0.4106,0.4693
62,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.493,0.514,0.4316,0.514,0.4106,0.4714
63,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.493,0.514,0.4316,0.514,0.4106,0.4714
64,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.493,0.514,0.4316,0.514,0.4106,0.4714
65,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.5056,0.514,0.4316,0.514,0.4106,0.4726
66,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.514,0.4316,0.514,0.4106,0.4728
67,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.514,0.4972,0.514,0.4106,0.4793
68,0.5126,0.4218,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.514,0.4972,0.514,0.4106,0.4793
69,0.5126,0.493,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.514,0.4972,0.514,0.4106,0.4865
70,0.5126,0.493,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.514,0.4972,0.514,0.4106,0.4865
71,0.5126,0.493,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.5196,0.4972,0.5196,0.4106,0.487
72,0.5126,0.493,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.5196,0.4972,0.5196,0.4106,0.487
73,0.5168,0.493,0.5,0.493,0.4106,0.5126,0.4246,0.507,0.5196,0.4972,0.5196,0.4106,0.4874
74,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5196,0.4986,0.5196,0.4106,0.4881
75,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5196,0.4986,0.5196,0.4106,0.4881
76,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.4986,0.5209,0.4106,0.4883
77,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.4986,0.5209,0.4106,0.4883
78,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
79,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
80,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
81,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
82,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
83,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
84,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
85,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.507,0.5209,0.5014,0.5209,0.4106,0.4886
86,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
87,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
88,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
89,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
90,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
91,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
92,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
93,0.5168,0.493,0.5056,0.493,0.4106,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4106,0.4887
94,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
95,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
96,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
97,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
98,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
99,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
100,0.5168,0.493,0.5056,0.493,0.4176,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.4176,0.4894
101,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
