timestamp,legacy_rtl81397,legacy_rtl81399,legacy_rtl81393,legacy_rtl81395,legacy_rtl81391,legacy_rtl81394,legacy_rtl81396,legacy_rtl81390,legacy_rtl81392,max,min,avg
44,0.3189,0.3637,0.3637,0.3489,0.3879,0.3715,0.2784,0.2586,0.2784,0.3879,0.2586,0.33
45,0.3189,0.3637,0.3637,0.3489,0.3879,0.3715,0.2784,0.2586,0.2784,0.3879,0.2586,0.33
46,0.3189,0.3637,0.3649,0.3489,0.3879,0.3715,0.2784,0.2586,0.2784,0.3879,0.2586,0.3301
47,0.3189,0.3637,0.3649,0.3489,0.3879,0.3723,0.2784,0.2586,0.2784,0.3879,0.2586,0.3302
48,0.3189,0.3637,0.3649,0.3489,0.3879,0.3828,0.2784,0.2586,0.2784,0.3879,0.2586,0.3314
49,0.3189,0.3637,0.3649,0.3489,0.3879,0.3828,0.2784,0.2586,0.2784,0.3879,0.2586,0.3314
50,0.3189,0.3637,0.3649,0.3489,0.3879,0.3863,0.2784,0.2586,0.2784,0.3879,0.2586,0.3318
51,0.3189,0.3637,0.3649,0.3489,0.3879,0.3863,0.2784,0.2586,0.2784,0.3879,0.2586,0.3318
52,0.3189,0.3637,0.3649,0.3489,0.3879,0.3863,0.2784,0.2586,0.2784,0.3879,0.2586,0.3318
53,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
54,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
55,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
56,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
57,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
58,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
59,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
60,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2586,0.2784,0.4237,0.2586,0.3359
61,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2597,0.2784,0.4237,0.2597,0.3361
62,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2597,0.2784,0.4237,0.2597,0.3361
63,0.3189,0.3637,0.3649,0.3489,0.3879,0.4237,0.2784,0.2788,0.2784,0.4237,0.2784,0.3382
64,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.2784,0.428,0.2784,0.3387
65,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.3045,0.428,0.2784,0.3416
66,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.3045,0.428,0.2784,0.3416
67,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.3045,0.428,0.2784,0.3416
68,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.3045,0.428,0.2784,0.3416
69,0.3189,0.3637,0.3649,0.3489,0.3879,0.428,0.2784,0.2788,0.3045,0.428,0.2784,0.3416
70,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2784,0.2788,0.3092,0.428,0.2784,0.3473
71,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2784,0.2788,0.3092,0.428,0.2784,0.3473
72,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2784,0.2788,0.3092,0.428,0.2784,0.3473
73,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2784,0.2788,0.3092,0.428,0.2784,0.3473
74,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2784,0.287,0.3092,0.428,0.2784,0.3482
75,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.28,0.287,0.3092,0.428,0.28,0.3484
76,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.28,0.287,0.5463,0.5463,0.28,0.3747
