timestamp,legacy_ne20001,legacy_ne20009,legacy_ne20004,legacy_ne20003,legacy_ne20005,legacy_ne20006,legacy_ne20007,legacy_ne20008,legacy_ne20000,legacy_ne20002,max,min,avg
47,0.3955,0.3773,0.1182,0.1636,0.3182,0.2727,0.1091,0.3545,0.4455,0.1727,0.4455,0.1091,0.2727
48,0.3955,0.2136,0.25,0.2818,0.3227,0.3136,0.1091,0.1409,0.4455,0.1727,0.4455,0.1091,0.2645
49,0.3955,0.2864,0.2091,0.1318,0.3227,0.3136,0.1091,0.2818,0.4091,0.1955,0.4091,0.1091,0.2655
50,0.3955,0.2864,0.2091,0.25,0.3227,0.3136,0.1091,0.2864,0.4091,0.1955,0.4091,0.1091,0.2777
51,0.3955,0.0364,0.2091,0.25,0.3045,0.2864,0.1091,0.2864,0.3409,0.1955,0.3955,0.0364,0.2414
52,0.3773,0.1227,0.2091,0.25,0.3045,0.2409,0.1091,0.2864,0.3045,0.1955,0.3773,0.1091,0.24
53,0.3773,0.2682,0.2091,0.25,0.3045,0.2409,0.4636,0.2864,0.3045,0.2545,0.4636,0.2091,0.2959
54,0.3773,0.2682,0.2091,0.25,0.3045,0.2409,0.4636,0.2864,0.3136,0.3045,0.4636,0.2091,0.3018
55,0.3773,0.4,0.1136,0.25,0.3045,0.2409,0.1136,0.3864,0.2864,0.3045,0.4,0.1136,0.2777
56,0.3773,0.4,0.3045,0.25,0.3045,0.2409,0.1045,0.3864,0.3227,0.3182,0.4,0.1045,0.3009
57,0.3773,0.4,0.2409,0.5227,0.3045,0.1409,0.05,0.3864,0.3227,0.3182,0.5227,0.05,0.3064
58,0.3773,0.35,0.2409,0.5227,0.3045,0.1409,0.1591,0.3818,0.3227,0.3045,0.5227,0.1409,0.3104
59,0.3773,0.35,0.2409,0.5227,0.4682,0.1409,0.25,0.2909,0.3227,0.3045,0.5227,0.1409,0.3268
60,0.3773,0.35,0.1409,0.5227,0.3727,0.1227,0.3091,0.1364,0.3227,0.3045,0.5227,0.1227,0.2959
61,0.3773,0.35,0.05,0.5227,0.3727,0.3318,0.0818,0.1364,0.3227,0.3045,0.5227,0.05,0.285
62,0.3773,0.35,0.1955,0.5227,0.3545,0.3318,0.1455,0.3364,0.3227,0.3045,0.5227,0.1455,0.3241
63,0.3773,0.35,0.0364,0.5182,0.35,0.3318,0.1818,0.3364,0.3227,0.2909,0.5182,0.0364,0.3095
64,0.3773,0.35,0.3727,0.1682,0.35,0.3318,0.1636,0.3364,0.4136,0.2227,0.4136,0.1636,0.3086
65,0.3773,0.35,0.2864,0.1682,0.35,0.3318,0.0273,0.3364,0.4136,0.2227,0.4136,0.0273,0.2864
66,0.3682,0.0273,0.2591,0.1682,0.2955,0.3636,0.2,0.3364,0.4136,0.2727,0.4136,0.0273,0.2705
67,0.3682,0.0273,0.2409,0.3273,0.2955,0.3636,0.1364,0.3636,0.4045,0.2682,0.4045,0.0273,0.2795
68,0.3682,0.0273,0.2409,0.3273,0.2955,0.3636,0.1364,0.3636,0.3636,0.2682,0.3682,0.0273,0.2755
69,0.3682,0.3364,0.2955,0.3273,0.0091,0.3409,0.4455,0.3636,0.3636,0.15,0.4455,0.0091,0.3
70,0.3682,0.3364,0.2955,0.3273,0.0091,0.3409,0.4455,0.3136,0.3364,0.1909,0.4455,0.0091,0.2964
71,0.3682,0.1773,0.2955,0.3273,0.0091,0.2318,0.4455,0.3136,0.3364,0.2045,0.4455,0.0091,0.2709
72,0.3682,0.3727,0.2864,0.3273,0.0091,0.3364,0.4455,0.3136,0.2091,0.4,0.4455,0.0091,0.3068
