timestamp,qemu_xhci4,qemu_xhci9,qemu_xhci0,qemu_xhci7,qemu_xhci8,qemu_xhci1,qemu_xhci3,qemu_xhci6,max,min,avg
48,0.5511,0.5293,0.5413,0.5272,0.5315,0.5467,0.5424,0.5402,0.5511,0.5272,0.5387
49,0.5511,0.5293,0.5413,0.5272,0.5315,0.5467,0.5424,0.5402,0.5511,0.5272,0.5387
50,0.5511,0.5293,0.5413,0.5272,0.5315,0.5467,0.5424,0.5402,0.5511,0.5272,0.5387
52,0.5522,0.5293,0.5413,0.5272,0.5315,0.5467,0.5424,0.5402,0.5522,0.5272,0.5389
53,0.5533,0.5293,0.5413,0.5272,0.5315,0.55,0.5424,0.5413,0.5533,0.5272,0.5395
54,0.5533,0.5293,0.5413,0.5272,0.5315,0.55,0.5424,0.5413,0.5533,0.5272,0.5395
55,0.5533,0.5304,0.5413,0.5272,0.5315,0.55,0.5424,0.5413,0.5533,0.5272,0.5397
56,0.5533,0.5304,0.5413,0.5272,0.5315,0.55,0.5435,0.5413,0.5533,0.5272,0.5398
57,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5435,0.5413,0.5533,0.5272,0.5399
58,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5435,0.5413,0.5533,0.5272,0.5399
59,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5435,0.5413,0.5533,0.5272,0.5399
60,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5446,0.5413,0.5533,0.5272,0.5401
61,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5446,0.5413,0.5533,0.5272,0.5401
62,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5446,0.5413,0.5533,0.5272,0.5401
63,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5446,0.5413,0.5533,0.5272,0.5401
64,0.5533,0.5304,0.5413,0.5272,0.5315,0.5511,0.5446,0.5413,0.5533,0.5272,0.5401
65,0.5533,0.5315,0.5413,0.5272,0.5315,0.5522,0.5446,0.5413,0.5533,0.5272,0.5404
66,0.5543,0.5315,0.5413,0.5272,0.5315,0.5522,0.5446,0.5413,0.5543,0.5272,0.5405
67,0.5543,0.5315,0.5413,0.5293,0.5315,0.5522,0.5446,0.5413,0.5543,0.5293,0.5407
68,0.5543,0.5315,0.5413,0.5293,0.5315,0.5522,0.5446,0.5413,0.5543,0.5293,0.5407
69,0.5543,0.5315,0.5413,0.5391,0.5315,0.5522,0.5446,0.5413,0.5543,0.5315,0.542
70,0.5543,0.5337,0.5413,0.5391,0.5315,0.5522,0.5446,0.5424,0.5543,0.5315,0.5424
71,0.5543,0.5337,0.5413,0.5391,0.5326,0.5522,0.5446,0.5424,0.5543,0.5326,0.5425
72,0.5543,0.5337,0.5413,0.5391,0.5326,0.5533,0.5446,0.5424,0.5543,0.5326,0.5427
73,0.5554,0.5337,0.5413,0.5391,0.5326,0.5533,0.5446,0.5424,0.5554,0.5326,0.5428
74,0.5554,0.5337,0.5413,0.5391,0.5326,0.5533,0.5446,0.5424,0.5554,0.5326,0.5428
75,0.5554,0.5359,0.5413,0.5391,0.5326,0.5533,0.5446,0.5424,0.5554,0.5326,0.5431
76,0.5554,0.5359,0.5413,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5435
77,0.5554,0.5359,0.5478,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5443
78,0.5554,0.537,0.5478,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5444
79,0.5554,0.537,0.5478,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5444
80,0.5554,0.537,0.5478,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5444
81,0.5554,0.537,0.5478,0.5391,0.5359,0.5533,0.5446,0.5424,0.5554,0.5359,0.5444
82,0.5554,0.537,0.5478,0.5391,0.538,0.5533,0.5446,0.5424,0.5554,0.537,0.5447
83,0.5554,0.537,0.5478,0.5391,0.538,0.5533,0.5446,0.5424,0.5554,0.537,0.5447
84,0.5565,0.537,0.5478,0.5391,0.538,0.5533,0.5457,0.5424,0.5565,0.537,0.545
85,0.5565,0.5446,0.5478,0.5391,0.538,0.5533,0.5457,0.5424,0.5565,0.538,0.5459
86,0.5565,0.5446,0.5478,0.5391,0.5391,0.5533,0.5457,0.5424,0.5565,0.5391,0.5461
87,0.5565,0.5446,0.5478,0.5391,0.5402,0.5533,0.5457,0.5424,0.5565,0.5391,0.5462
88,0.5576,0.5446,0.5478,0.5391,0.5402,0.5533,0.5457,0.5435,0.5576,0.5391,0.5465
