timestamp,ohci2,ohci4,ohci1,ohci7,ohci3,ohci8,ohci6,ohci5,ohci9,max,min,avg
48,0.7546,0.7088,0.6502,0.7308,0.6593,0.6777,0.6447,0.663,0.7051,0.7546,0.6447,0.6882
49,0.7582,0.7088,0.6502,0.7308,0.6593,0.6777,0.6447,0.663,0.7344,0.7582,0.6447,0.6919
50,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
51,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
52,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
53,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
54,0.7601,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7601,0.6502,0.697
55,0.7601,0.7106,0.6502,0.7308,0.6593,0.7216,0.685,0.663,0.7344,0.7601,0.6502,0.7017
56,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.663,0.7344,0.7692,0.6502,0.7059
57,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.663,0.7344,0.7692,0.6502,0.7059
58,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
59,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
60,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
61,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
62,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
63,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
64,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
65,0.7601,0.7106,0.6502,0.7711,0.6593,0.7234,0.6941,0.6648,0.7454,0.7711,0.6502,0.7088
66,0.7637,0.7106,0.652,0.7711,0.6593,0.7234,0.6941,0.6648,0.7454,0.7711,0.652,0.7094
67,0.7637,0.7106,0.652,0.7711,0.6593,0.7253,0.6941,0.6648,0.7454,0.7711,0.652,0.7096
68,0.7637,0.7106,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7711,0.652,0.7098
69,0.7637,0.7106,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7711,0.652,0.7098
70,0.7637,0.7161,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7711,0.652,0.7104
71,0.7637,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7711,0.652,0.7106
72,0.7711,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7711,0.652,0.7114
73,0.7729,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7729,0.652,0.7116
74,0.7729,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7729,0.652,0.7116
75,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7802,0.652,0.7124
76,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7802,0.652,0.7124
77,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7802,0.652,0.7124
78,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7802,0.652,0.7124
79,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7454,0.7802,0.652,0.7124
80,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7473,0.7802,0.652,0.7126
81,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7473,0.7802,0.652,0.7126
82,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7473,0.7802,0.652,0.7126
83,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7473,0.7802,0.652,0.7126
84,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.6941,0.6648,0.7473,0.7802,0.652,0.7126
85,0.7802,0.7179,0.652,0.7711,0.6593,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.7129
86,0.7802,0.7198,0.652,0.7711,0.7253,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.7204
87,0.7802,0.7216,0.652,0.7711,0.7289,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.721
88,0.7802,0.7216,0.652,0.7711,0.7289,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.721
89,0.7802,0.7216,0.652,0.7711,0.7289,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.721
90,0.7802,0.7216,0.652,0.7711,0.7289,0.7271,0.696,0.6648,0.7473,0.7802,0.652,0.721
91,0.7802,0.7216,0.652,0.7711,0.7289,0.7271,0.7253,0.6648,0.7473,0.7802,0.652,0.7243
92,0.7802,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7802,0.6557,0.7251
93,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
94,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
95,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
96,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
97,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
98,0.7839,0.7216,0.6557,0.7711,0.7289,0.7271,0.7289,0.6648,0.7473,0.7839,0.6557,0.7255
99,0.7839,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7473,0.7839,0.6557,0.7263
100,0.7839,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7473,0.7839,0.6557,0.7263
101,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7473,0.7857,0.6557,0.7265
102,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7473,0.7857,0.6557,0.7265
103,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
104,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
105,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
106,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
107,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
108,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
109,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
110,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
111,0.7857,0.7216,0.6557,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6557,0.7267
112,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
113,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
114,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
115,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
116,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
117,0.7857,0.7216,0.6575,0.7711,0.7289,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7269
118,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
119,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
120,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
121,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
