timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
51,0.4335,0.3085,0.3564,0.2509,0.2491,0.3129,0.2544,0.2819,0.2553,0.4335,0.2491,0.3003
52,0.4335,0.3085,0.3564,0.2509,0.4787,0.3129,0.2544,0.391,0.2553,0.4787,0.2509,0.338
53,0.4335,0.3085,0.3564,0.2509,0.4787,0.4078,0.3608,0.391,0.2553,0.4787,0.2509,0.3603
54,0.4335,0.3085,0.3564,0.2509,0.4787,0.4078,0.3723,0.3945,0.2553,0.4787,0.2509,0.362
55,0.4335,0.3085,0.3564,0.2509,0.4787,0.4078,0.3723,0.3945,0.2553,0.4787,0.2509,0.362
56,0.4335,0.3085,0.3564,0.2509,0.4973,0.4078,0.3723,0.3945,0.2553,0.4973,0.2509,0.3641
57,0.4335,0.3085,0.3564,0.2509,0.4973,0.4078,0.3723,0.3945,0.2553,0.4973,0.2509,0.3641
58,0.4335,0.3085,0.3564,0.2509,0.4973,0.4078,0.3759,0.3945,0.2553,0.4973,0.2509,0.3645
59,0.4335,0.3085,0.3564,0.2509,0.4973,0.4078,0.3759,0.3945,0.2553,0.4973,0.2509,0.3645
60,0.4335,0.3085,0.3564,0.2509,0.4973,0.4078,0.3759,0.3945,0.2553,0.4973,0.2509,0.3645
61,0.4335,0.3085,0.3564,0.3732,0.4973,0.4078,0.3812,0.3945,0.2553,0.4973,0.2553,0.3786
62,0.4335,0.3085,0.3564,0.3732,0.4973,0.4078,0.383,0.3945,0.2553,0.4973,0.2553,0.3788
63,0.4335,0.3085,0.3564,0.3732,0.4973,0.4078,0.383,0.3945,0.2553,0.4973,0.2553,0.3788
64,0.4335,0.3085,0.3564,0.3732,0.4973,0.4078,0.383,0.3945,0.2553,0.4973,0.2553,0.3788
65,0.4335,0.3085,0.3564,0.3732,0.4973,0.4078,0.4096,0.3945,0.2553,0.4973,0.2553,0.3818
66,0.4335,0.4477,0.3564,0.3732,0.4973,0.4078,0.4096,0.3998,0.2553,0.4973,0.2553,0.3978
67,0.4335,0.4477,0.3564,0.3732,0.4973,0.4078,0.4096,0.3998,0.2553,0.4973,0.2553,0.3978
68,0.4335,0.4477,0.3564,0.3732,0.4973,0.4078,0.4096,0.3998,0.2553,0.4973,0.2553,0.3978
69,0.4335,0.4477,0.3564,0.3732,0.4973,0.4131,0.4096,0.3998,0.2553,0.4973,0.2553,0.3984
70,0.4335,0.4477,0.3564,0.3732,0.4973,0.4131,0.4096,0.3998,0.2553,0.4973,0.2553,0.3984
71,0.4335,0.4477,0.3564,0.3759,0.4973,0.4131,0.4096,0.3998,0.3812,0.4973,0.3564,0.4127
72,0.4335,0.4477,0.3564,0.3759,0.4973,0.4131,0.4096,0.3998,0.3812,0.4973,0.3564,0.4127
73,0.4335,0.4477,0.3564,0.3759,0.4973,0.4131,0.4096,0.3998,0.3812,0.4973,0.3564,0.4127
74,0.4335,0.4477,0.3564,0.3848,0.4973,0.4131,0.4096,0.3998,0.3812,0.4973,0.3564,0.4137
75,0.4335,0.4477,0.3564,0.3848,0.4973,0.4131,0.4122,0.5488,0.3812,0.5488,0.3564,0.4306
76,0.4335,0.4477,0.3564,0.3848,0.4973,0.4158,0.4122,0.5488,0.3812,0.5488,0.3564,0.4309
77,0.4335,0.4477,0.3564,0.3848,0.4973,0.4158,0.4122,0.5488,0.3812,0.5488,0.3564,0.4309
78,0.4335,0.4477,0.3564,0.3883,0.4973,0.4158,0.4184,0.5488,0.3812,0.5488,0.3564,0.4319
79,0.4335,0.4477,0.3564,0.3883,0.4973,0.4211,0.4184,0.5488,0.3812,0.5488,0.3564,0.4325
80,0.4335,0.4477,0.3564,0.3883,0.4973,0.4211,0.4184,0.5488,0.3812,0.5488,0.3564,0.4325
81,0.4335,0.4477,0.3599,0.3883,0.4973,0.4211,0.4184,0.5488,0.3812,0.5488,0.3599,0.4329
82,0.4335,0.4477,0.3599,0.3883,0.4973,0.4211,0.4184,0.5523,0.3812,0.5523,0.3599,0.4333
83,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
84,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
85,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
86,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
87,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
88,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4309,0.5523,0.3812,0.5523,0.3599,0.4369
89,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.3812,0.5523,0.3599,0.4391
90,0.4335,0.4477,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.3812,0.5523,0.3599,0.4391
91,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
92,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
93,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
94,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
95,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
96,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.398,0.5523,0.3599,0.4431
97,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
98,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
99,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
100,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
101,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
102,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
103,0.4335,0.4672,0.3599,0.3883,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4434
104,0.4335,0.4672,0.3599,0.4087,0.4973,0.4406,0.4512,0.5523,0.4007,0.5523,0.3599,0.4457
105,0.4335,0.4672,0.3599,0.4087,0.4973,0.4406,0.4512,0.5523,0.4211,0.5523,0.3599,0.448
