timestamp,v32,v37,v30,v34,v36,v33,v38,v35,v39,v31,max,min,avg
43,0.6339,0.5645,0.5726,0.5694,0.521,0.5919,0.5,0.6016,0.4984,0.5048,0.6339,0.4984,0.5558
44,0.6339,0.5645,0.5726,0.5694,0.521,0.5919,0.5,0.6016,0.521,0.5048,0.6339,0.5,0.5581
46,0.6339,0.5645,0.5774,0.5694,0.521,0.5919,0.5,0.6016,0.5839,0.5048,0.6339,0.5,0.5648
47,0.6339,0.5645,0.579,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5656
48,0.6339,0.5645,0.5806,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5658
49,0.6339,0.5694,0.5806,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5663
50,0.6339,0.5919,0.5806,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5685
52,0.6339,0.5919,0.5806,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5685
53,0.6339,0.5952,0.5839,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5692
55,0.6339,0.5952,0.6048,0.5694,0.521,0.5919,0.5,0.6016,0.5903,0.5048,0.6339,0.5,0.5713
60,0.6339,0.5984,0.6048,0.5694,0.521,0.5919,0.5,0.6016,0.5919,0.5048,0.6339,0.5,0.5718
61,0.6339,0.5984,0.6048,0.5694,0.521,0.5935,0.5,0.6016,0.5919,0.5048,0.6339,0.5,0.5719
62,0.6339,0.5984,0.6048,0.5694,0.521,0.5935,0.5097,0.6016,0.5919,0.5048,0.6339,0.5048,0.5729
63,0.6339,0.5984,0.6048,0.5694,0.521,0.5952,0.5097,0.6016,0.5919,0.5048,0.6339,0.5048,0.5731
64,0.6339,0.5984,0.6048,0.5968,0.521,0.5952,0.5097,0.6016,0.5919,0.5048,0.6339,0.5048,0.5758
65,0.6339,0.5984,0.6048,0.5968,0.521,0.5952,0.5097,0.6016,0.6016,0.5048,0.6339,0.5048,0.5768
66,0.6339,0.5984,0.6048,0.5968,0.521,0.5968,0.5097,0.6016,0.6016,0.5048,0.6339,0.5048,0.5769
70,0.6339,0.5984,0.6048,0.5968,0.521,0.5968,0.5097,0.6016,0.6016,0.5048,0.6339,0.5048,0.5769
73,0.6339,0.5984,0.6048,0.5968,0.521,0.5968,0.5097,0.6016,0.6016,0.5048,0.6339,0.5048,0.5769
75,0.6339,0.5984,0.6048,0.5968,0.521,0.5968,0.5097,0.6016,0.6016,0.5048,0.6339,0.5048,0.5769
76,0.6339,0.5984,0.6048,0.5968,0.521,0.5968,0.5726,0.6016,0.6016,0.5048,0.6339,0.5048,0.5832
79,0.6339,0.5984,0.6048,0.5968,0.521,0.6016,0.5726,0.6016,0.6016,0.5048,0.6339,0.5048,0.5837
81,0.6339,0.5984,0.6048,0.5968,0.521,0.6065,0.5726,0.6016,0.6016,0.5048,0.6339,0.5048,0.5842
83,0.6339,0.5984,0.6048,0.5968,0.521,0.6065,0.5806,0.6016,0.6016,0.5048,0.6339,0.5048,0.585
84,0.6339,0.5984,0.6048,0.5968,0.521,0.6065,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5852
85,0.6339,0.5984,0.6048,0.5968,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5858
86,0.6339,0.5984,0.6048,0.5968,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5858
89,0.6339,0.5984,0.6048,0.5968,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5858
90,0.6339,0.5984,0.6048,0.5968,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5858
91,0.6339,0.5984,0.6048,0.5984,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.586
95,0.6339,0.5984,0.6048,0.6016,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5863
96,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
97,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
99,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
100,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
103,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
107,0.6339,0.5984,0.6048,0.6097,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5871
108,0.6339,0.5984,0.6048,0.6145,0.521,0.6129,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5876
109,0.6339,0.5984,0.6048,0.6145,0.521,0.6145,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5877
110,0.6339,0.5984,0.6048,0.6145,0.521,0.6145,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5877
113,0.6339,0.5984,0.6048,0.6145,0.521,0.6145,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5877
114,0.6339,0.5984,0.6048,0.6177,0.521,0.6145,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5881
