timestamp,i825502,i825500,i825506,i825503,i825509,i825505,i825501,i825507,i825508,i825504,max,min,avg
50,0.8727,0.8773,0.875,0.8657,0.8796,0.875,0.8843,0.8819,0.875,0.8843,0.8843,0.8657,0.8771
51,0.8727,0.8773,0.875,0.8657,0.8796,0.875,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8775
52,0.8727,0.8773,0.875,0.8657,0.8796,0.875,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8775
53,0.8727,0.8773,0.875,0.8657,0.8796,0.875,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8775
54,0.8727,0.8773,0.875,0.8657,0.8796,0.875,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8775
55,0.875,0.8773,0.8773,0.8657,0.8796,0.8773,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8782
56,0.875,0.8773,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8785
57,0.875,0.8796,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8787
58,0.8773,0.8819,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8792
59,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8794
60,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8794
61,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8794
62,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8794
63,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8843,0.8866,0.875,0.8843,0.8866,0.8657,0.8794
64,0.8773,0.8843,0.8773,0.8657,0.8796,0.8796,0.8866,0.8866,0.875,0.8843,0.8866,0.8657,0.8796
65,0.8773,0.8843,0.8796,0.8657,0.8796,0.8796,0.8866,0.8866,0.875,0.8866,0.8866,0.8657,0.8801
66,0.8773,0.8843,0.8796,0.8657,0.8796,0.8796,0.8866,0.8866,0.875,0.8866,0.8866,0.8657,0.8801
67,0.8773,0.8843,0.8796,0.8657,0.8796,0.8796,0.8866,0.8866,0.8773,0.8866,0.8866,0.8657,0.8803
