timestamp,legacy_sdhci3,legacy_sdhci9,legacy_sdhci6,legacy_sdhci4,legacy_sdhci7,legacy_sdhci2,legacy_sdhci5,legacy_sdhci8,legacy_sdhci1,legacy_sdhci0,max,min,avg
40,0.3484,0.3097,0.3581,0.3726,0.3435,0.3306,0.3774,0.3242,0.3081,0.3742,0.3774,0.3081,0.3447
41,0.3484,0.3097,0.3581,0.3726,0.3435,0.3306,0.3774,0.3242,0.3081,0.3742,0.3774,0.3081,0.3447
42,0.3484,0.3097,0.3581,0.3726,0.3435,0.3435,0.3774,0.3242,0.3258,0.3742,0.3774,0.3097,0.3477
43,0.3484,0.3097,0.3581,0.3726,0.3435,0.3435,0.3774,0.3242,0.3258,0.3742,0.3774,0.3097,0.3477
44,0.3484,0.3097,0.3581,0.3726,0.3435,0.3435,0.3774,0.3242,0.3258,0.3742,0.3774,0.3097,0.3477
45,0.3484,0.3097,0.3581,0.3758,0.3435,0.3435,0.3774,0.3242,0.3258,0.3742,0.3774,0.3097,0.3481
46,0.3484,0.3097,0.3581,0.3758,0.3435,0.3435,0.3774,0.35,0.3258,0.3742,0.3774,0.3097,0.3506
47,0.3484,0.3097,0.3613,0.3758,0.3435,0.3435,0.3774,0.35,0.3258,0.3742,0.3774,0.3097,0.351
48,0.3484,0.3097,0.3613,0.3774,0.3435,0.3435,0.3774,0.35,0.3371,0.3742,0.3774,0.3097,0.3523
49,0.3484,0.3097,0.3613,0.3774,0.3548,0.3435,0.3774,0.35,0.3371,0.3742,0.3774,0.3097,0.3534
50,0.3484,0.3097,0.3613,0.3839,0.3548,0.3435,0.3774,0.35,0.3371,0.3742,0.3839,0.3097,0.354
51,0.3484,0.3161,0.3645,0.3839,0.3548,0.3435,0.3774,0.35,0.3371,0.3742,0.3839,0.3161,0.355
52,0.3484,0.3339,0.3645,0.3839,0.3548,0.3435,0.3774,0.35,0.3371,0.3742,0.3839,0.3339,0.3568
53,0.3484,0.3339,0.3645,0.3855,0.3548,0.3435,0.3774,0.35,0.3371,0.3742,0.3855,0.3339,0.3569
54,0.3484,0.3339,0.3645,0.4016,0.3565,0.3435,0.3774,0.3565,0.3371,0.3742,0.4016,0.3339,0.3594
55,0.3484,0.3339,0.3661,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.364
56,0.3484,0.3339,0.3661,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.364
57,0.3484,0.3339,0.3661,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.364
58,0.3484,0.3339,0.3661,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.364
59,0.3484,0.3339,0.3661,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.364
60,0.3484,0.3339,0.3677,0.4016,0.3581,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.3642
61,0.3484,0.3339,0.3677,0.4016,0.3629,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.3647
62,0.3484,0.3339,0.3677,0.4016,0.3629,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.3647
63,0.3484,0.3339,0.3677,0.4016,0.3629,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3339,0.3647
64,0.3484,0.3355,0.3694,0.4016,0.3629,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3355,0.365
65,0.3484,0.3355,0.3694,0.4016,0.3629,0.3435,0.3774,0.3565,0.3806,0.3742,0.4016,0.3355,0.365
66,0.3484,0.3403,0.3694,0.4016,0.3629,0.3435,0.3774,0.3629,0.3806,0.3742,0.4016,0.3403,0.3661
67,0.3484,0.3403,0.3694,0.4032,0.3629,0.3435,0.3774,0.3629,0.3806,0.3742,0.4032,0.3403,0.3663
