timestamp,xhci8,xhci1,xhci2,xhci0,xhci9,xhci5,xhci4,xhci3,xhci7,xhci6,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
4,0.0618,0.1291,0.1291,0.1291,0.0618,0.1291,0.1291,0.1291,0.0618,0.1291,0.1291,0.0618,0.1089
5,0.1291,0.2668,0.295,0.2722,0.1291,0.2939,0.269,0.2701,0.1291,0.2928,0.295,0.1291,0.2347
6,0.2581,0.2972,0.295,0.2961,0.2863,0.295,0.2755,0.2928,0.2614,0.2961,0.2972,0.2581,0.2854
7,0.269,0.2972,0.2972,0.2961,0.295,0.2961,0.2755,0.295,0.269,0.2993,0.2993,0.269,0.2889
8,0.2961,0.2972,0.2972,0.2961,0.2972,0.2972,0.2961,0.2961,0.2755,0.2993,0.2993,0.2755,0.2948
9,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2961,0.2755,0.2993,0.2993,0.2755,0.2951
10,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2961,0.2972,0.2993,0.2993,0.2961,0.2973
11,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
12,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
13,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
14,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
15,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
16,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
17,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
18,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2993,0.2993,0.2972,0.2974
19,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
20,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
21,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
22,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
23,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
24,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
25,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
26,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
27,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
28,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
29,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
30,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
31,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.2972,0.3004,0.3004,0.2972,0.2975
