timestamp,pcnet7,pcnet2,pcnet4,pcnet9,pcnet3,pcnet0,pcnet5,pcnet8,pcnet1,pcnet6,max,min,avg
43,0.5912,0.6515,0.6369,0.6843,0.6588,0.6588,0.5785,0.6387,0.6369,0.6533,0.6843,0.5785,0.6389
44,0.5912,0.6515,0.6369,0.6843,0.6606,0.6588,0.5894,0.6387,0.6369,0.6551,0.6843,0.5894,0.6403
45,0.5912,0.6515,0.6387,0.6861,0.6606,0.6588,0.5894,0.6405,0.6369,0.6569,0.6861,0.5894,0.6411
46,0.5912,0.6515,0.6423,0.688,0.6606,0.6588,0.5894,0.6405,0.6369,0.6569,0.688,0.5894,0.6416
47,0.5912,0.6515,0.6423,0.6898,0.6606,0.6588,0.5894,0.6405,0.6405,0.6569,0.6898,0.5894,0.6422
48,0.5912,0.6515,0.6423,0.6898,0.6606,0.6588,0.5894,0.6405,0.6423,0.6569,0.6898,0.5894,0.6423
49,0.5912,0.6515,0.6423,0.6898,0.6606,0.6588,0.5894,0.646,0.6423,0.6569,0.6898,0.5894,0.6429
50,0.5949,0.6515,0.6442,0.6898,0.6606,0.6588,0.5894,0.646,0.6423,0.6569,0.6898,0.5894,0.6434
51,0.5967,0.6515,0.6442,0.6898,0.6606,0.6588,0.5894,0.646,0.6442,0.6569,0.6898,0.5894,0.6438
52,0.5967,0.6515,0.6442,0.6898,0.6606,0.6588,0.5894,0.646,0.6442,0.6569,0.6898,0.5894,0.6438
53,0.5967,0.6515,0.6442,0.6898,0.6606,0.6606,0.5894,0.6478,0.6442,0.6569,0.6898,0.5894,0.6442
54,0.5967,0.6515,0.6442,0.6898,0.6606,0.6606,0.5894,0.6478,0.6442,0.6569,0.6898,0.5894,0.6442
55,0.5985,0.6515,0.6442,0.6898,0.6606,0.6606,0.5894,0.6478,0.6442,0.6569,0.6898,0.5894,0.6443
56,0.5985,0.6515,0.6442,0.6898,0.6606,0.6606,0.5931,0.6478,0.646,0.6569,0.6898,0.5931,0.6449
57,0.5985,0.6515,0.6442,0.6898,0.6606,0.6606,0.5931,0.6478,0.646,0.6569,0.6898,0.5931,0.6449
58,0.5985,0.6515,0.6442,0.6898,0.6606,0.6606,0.5931,0.6478,0.646,0.6569,0.6898,0.5931,0.6449
59,0.6004,0.6515,0.6442,0.6898,0.6606,0.6606,0.5931,0.6478,0.646,0.6569,0.6898,0.5931,0.6451
60,0.6004,0.6515,0.6442,0.6898,0.6606,0.6606,0.5967,0.6478,0.646,0.6606,0.6898,0.5967,0.6458
61,0.6004,0.6515,0.6442,0.6898,0.6606,0.6606,0.5967,0.6478,0.646,0.6606,0.6898,0.5967,0.6458
62,0.6004,0.6515,0.6442,0.6898,0.6606,0.6606,0.5967,0.6478,0.646,0.6606,0.6898,0.5967,0.6458
63,0.6004,0.6515,0.6442,0.6898,0.6606,0.6606,0.6004,0.6478,0.6478,0.6606,0.6898,0.6004,0.6464
64,0.6004,0.6551,0.6442,0.6898,0.6606,0.6606,0.6004,0.6496,0.6478,0.6606,0.6898,0.6004,0.6469
65,0.6004,0.6588,0.6442,0.6898,0.6606,0.6606,0.6004,0.6496,0.6478,0.6606,0.6898,0.6004,0.6473
66,0.6004,0.6588,0.646,0.6898,0.6606,0.6606,0.6004,0.6496,0.6478,0.6606,0.6898,0.6004,0.6475
67,0.6004,0.6588,0.646,0.6898,0.6606,0.6606,0.6004,0.6496,0.6478,0.6606,0.6898,0.6004,0.6475
68,0.6022,0.6588,0.646,0.6898,0.6606,0.6606,0.6004,0.6515,0.6478,0.6606,0.6898,0.6004,0.6478
69,0.6022,0.6588,0.646,0.6898,0.6606,0.6606,0.6022,0.6515,0.6478,0.6606,0.6898,0.6022,0.648
70,0.6022,0.6588,0.646,0.6898,0.6606,0.6606,0.6296,0.6515,0.6478,0.6606,0.6898,0.6022,0.6507
71,0.6022,0.6588,0.6478,0.6898,0.6606,0.6606,0.6296,0.6515,0.6478,0.6606,0.6898,0.6022,0.6509
72,0.6022,0.6588,0.6478,0.6898,0.6606,0.6606,0.6296,0.6515,0.6478,0.6606,0.6898,0.6022,0.6509
73,0.6022,0.6588,0.6496,0.6898,0.6606,0.6606,0.6296,0.6515,0.6478,0.6606,0.6898,0.6022,0.6511
74,0.6022,0.6588,0.6496,0.6898,0.6606,0.6606,0.6296,0.6515,0.6496,0.6606,0.6898,0.6022,0.6513
75,0.6022,0.6588,0.6496,0.6898,0.6606,0.6606,0.6296,0.6515,0.6496,0.6606,0.6898,0.6022,0.6513
76,0.615,0.6588,0.6515,0.6898,0.6606,0.6606,0.6296,0.6533,0.6496,0.6606,0.6898,0.615,0.6529
77,0.615,0.6588,0.6515,0.6898,0.6606,0.6606,0.6296,0.6533,0.6496,0.6606,0.6898,0.615,0.6529
78,0.615,0.6588,0.6515,0.6898,0.6606,0.6624,0.6296,0.6533,0.6533,0.6606,0.6898,0.615,0.6535
79,0.615,0.6588,0.6515,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.654
80,0.615,0.6588,0.6515,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.654
81,0.615,0.6588,0.6551,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6544
82,0.615,0.6588,0.6551,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6544
83,0.615,0.6588,0.6588,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6548
84,0.615,0.6588,0.6588,0.6898,0.6606,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6548
85,0.615,0.6588,0.6588,0.6898,0.6624,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6549
