timestamp,legacy_ne20007,legacy_ne20004,legacy_ne20001,legacy_ne20002,legacy_ne20003,legacy_ne20009,legacy_ne20006,legacy_ne20008,legacy_ne20000,legacy_ne20005,max,min,avg
46,0.4289,0.528,0.4353,0.4461,0.4397,0.3664,0.4547,0.4073,0.4375,0.5065,0.528,0.3664,0.445
47,0.4289,0.528,0.4353,0.4461,0.4397,0.5927,0.4547,0.4073,0.4375,0.5065,0.5927,0.4073,0.4677
48,0.4289,0.528,0.4353,0.4461,0.4397,0.5927,0.4547,0.4073,0.4375,0.5065,0.5927,0.4073,0.4677
49,0.4289,0.528,0.4353,0.4461,0.4397,0.5927,0.4547,0.4461,0.4375,0.5065,0.5927,0.4289,0.4715
50,0.4289,0.528,0.4353,0.4461,0.4397,0.5927,0.4547,0.4461,0.4375,0.5065,0.5927,0.4289,0.4715
51,0.4289,0.569,0.4353,0.4461,0.4397,0.5927,0.4547,0.4461,0.4375,0.5065,0.5927,0.4289,0.4757
52,0.4289,0.569,0.4353,0.4892,0.4397,0.5927,0.4547,0.4461,0.4375,0.5065,0.5927,0.4289,0.48
53,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.4461,0.4375,0.5065,0.5927,0.4289,0.4968
54,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.4461,0.4375,0.5065,0.5927,0.4289,0.4968
55,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.4461,0.4375,0.5065,0.5927,0.4289,0.4968
56,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.6703,0.4375,0.5065,0.6703,0.4289,0.5192
57,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.6703,0.4375,0.5065,0.6703,0.4289,0.5192
58,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.6703,0.4375,0.5065,0.6703,0.4289,0.5192
59,0.4289,0.569,0.4353,0.4892,0.4914,0.5927,0.5711,0.6703,0.4375,0.5065,0.6703,0.4289,0.5192
60,0.4289,0.5819,0.4353,0.4892,0.4935,0.5927,0.5841,0.6746,0.4375,0.5065,0.6746,0.4289,0.5224
61,0.4289,0.5819,0.4353,0.4892,0.4935,0.5927,0.5884,0.6746,0.4375,0.5065,0.6746,0.4289,0.5228
62,0.4289,0.5819,0.4353,0.4892,0.4935,0.5927,0.5884,0.6746,0.4375,0.5065,0.6746,0.4289,0.5228
63,0.4289,0.5819,0.4353,0.4892,0.5022,0.5927,0.5884,0.6746,0.4375,0.5065,0.6746,0.4289,0.5237
64,0.4289,0.5819,0.4353,0.4892,0.5022,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5308
65,0.4289,0.5819,0.4353,0.4892,0.5022,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5308
66,0.4289,0.5819,0.4353,0.4892,0.5022,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5308
67,0.4289,0.5819,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5313
68,0.4289,0.5819,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5313
