timestamp,legacy_cs4231a8,legacy_cs4231a7,legacy_cs4231a6,legacy_cs4231a2,legacy_cs4231a1,legacy_cs4231a9,legacy_cs4231a3,legacy_cs4231a0,legacy_cs4231a4,legacy_cs4231a5,max,min,avg
40,0.2826,0.471,0.3333,0.3043,0.3043,0.3551,0.4638,0.413,0.3696,0.3188,0.471,0.2826,0.3616
41,0.2826,0.471,0.3333,0.3043,0.3043,0.3551,0.4638,0.413,0.3696,0.3188,0.471,0.2826,0.3616
42,0.2826,0.471,0.3333,0.3043,0.3043,0.4928,0.4638,0.413,0.3696,0.3623,0.4928,0.2826,0.3797
43,0.2826,0.471,0.3333,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.4928,0.2826,0.3855
44,0.2826,0.471,0.3333,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.4928,0.2826,0.3855
45,0.3116,0.471,0.3333,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.4928,0.3043,0.3884
46,0.3116,0.5652,0.3333,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.5652,0.3043,0.3978
47,0.3116,0.5652,0.3333,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.5652,0.3043,0.3978
48,0.3116,0.5652,0.6014,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.6014,0.3043,0.4246
49,0.3116,0.5652,0.6159,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.6159,0.3043,0.4261
50,0.3116,0.5652,0.6594,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.6594,0.3043,0.4304
51,0.3116,0.5725,0.6594,0.3043,0.3043,0.4928,0.4638,0.471,0.3696,0.3623,0.6594,0.3043,0.4312
52,0.3116,0.5725,0.6594,0.3043,0.3188,0.4928,0.4638,0.471,0.3696,0.3623,0.6594,0.3043,0.4326
53,0.3116,0.5725,0.6594,0.3043,0.471,0.4928,0.4638,0.471,0.3696,0.3623,0.6594,0.3043,0.4478
54,0.3116,0.5725,0.6594,0.3188,0.471,0.4928,0.5,0.471,0.3696,0.3623,0.6594,0.3116,0.4529
55,0.3116,0.5725,0.6594,0.3188,0.4855,0.4928,0.5,0.471,0.3696,0.3623,0.6594,0.3116,0.4543
56,0.4275,0.5725,0.6594,0.3406,0.4855,0.4928,0.5,0.471,0.3696,0.3623,0.6594,0.3406,0.4681
57,0.4275,0.5797,0.6594,0.3406,0.4855,0.4928,0.5,0.471,0.3696,0.3623,0.6594,0.3406,0.4688
58,0.4275,0.5797,0.6594,0.3406,0.4855,0.4928,0.5145,0.471,0.3696,0.3623,0.6594,0.3406,0.4703
59,0.442,0.5797,0.6594,0.3623,0.5072,0.4928,0.5145,0.471,0.3696,0.3623,0.6594,0.3623,0.4761
60,0.442,0.6087,0.6594,0.3623,0.5072,0.4928,0.5217,0.471,0.3696,0.3623,0.6594,0.3623,0.4797
61,0.442,0.6087,0.6594,0.3623,0.529,0.4928,0.5217,0.471,0.3696,0.3623,0.6594,0.3623,0.4819
62,0.442,0.6087,0.6594,0.3623,0.558,0.4928,0.5217,0.471,0.3696,0.3913,0.6594,0.3623,0.4877
63,0.442,0.6087,0.6594,0.3623,0.558,0.4928,0.5217,0.471,0.4928,0.3913,0.6594,0.3623,0.5
64,0.442,0.6087,0.6667,0.3696,0.558,0.4928,0.5217,0.471,0.4928,0.3913,0.6667,0.3696,0.5015
65,0.442,0.6087,0.6667,0.3696,0.558,0.4928,0.5217,0.471,0.4928,0.5435,0.6667,0.3696,0.5167
66,0.442,0.6087,0.6812,0.3696,0.558,0.4928,0.5217,0.471,0.4928,0.5435,0.6812,0.3696,0.5181
67,0.442,0.6087,0.6812,0.3696,0.558,0.4928,0.5217,0.471,0.5,0.5435,0.6812,0.3696,0.5189
68,0.442,0.6087,0.6812,0.3696,0.558,0.4928,0.5217,0.4783,0.5,0.5435,0.6812,0.3696,0.5196
69,0.442,0.6087,0.6812,0.3696,0.558,0.5072,0.5217,0.4783,0.5,0.5435,0.6812,0.3696,0.521
70,0.442,0.6087,0.6812,0.3696,0.558,0.5072,0.5217,0.4783,0.5,0.5435,0.6812,0.3696,0.521
71,0.442,0.6087,0.6812,0.3696,0.558,0.5072,0.5217,0.4783,0.5,0.5435,0.6812,0.3696,0.521
72,0.442,0.6087,0.6812,0.3696,0.5652,0.5072,0.5217,0.5362,0.5,0.5435,0.6812,0.3696,0.5275
73,0.442,0.6232,0.6812,0.3696,0.5652,0.5072,0.5217,0.5362,0.5,0.5435,0.6812,0.3696,0.529
74,0.442,0.6232,0.6812,0.3696,0.5652,0.5072,0.5217,0.5362,0.5,0.5435,0.6812,0.3696,0.529
75,0.442,0.6232,0.6812,0.3696,0.5652,0.5072,0.5217,0.5362,0.5,0.5435,0.6812,0.3696,0.529
76,0.442,0.6232,0.6812,0.3913,0.5725,0.5072,0.5217,0.5362,0.5,0.5725,0.6812,0.3913,0.5348
77,0.442,0.6232,0.6812,0.3913,0.5725,0.5072,0.5217,0.5362,0.5,0.5725,0.6812,0.3913,0.5348
78,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5,0.5725,0.6812,0.3913,0.5464
79,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5,0.5725,0.6812,0.3913,0.5464
80,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5072,0.5725,0.6812,0.3913,0.5471
81,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5072,0.5725,0.6812,0.3913,0.5471
82,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5072,0.5725,0.6812,0.3913,0.5471
83,0.4783,0.6232,0.6812,0.3913,0.5725,0.5072,0.529,0.6087,0.5072,0.5725,0.6812,0.3913,0.5471
84,0.4783,0.6377,0.6812,0.3913,0.5725,0.5435,0.529,0.6087,0.5072,0.5725,0.6812,0.3913,0.5522
85,0.4783,0.6377,0.6884,0.3913,0.587,0.5435,0.5362,0.6087,0.5072,0.5725,0.6884,0.3913,0.5551
86,0.4783,0.6377,0.6884,0.3913,0.587,0.5435,0.5362,0.6087,0.5072,0.5725,0.6884,0.3913,0.5551
87,0.4783,0.6377,0.6884,0.5797,0.587,0.5435,0.5362,0.6087,0.5072,0.5725,0.6884,0.4783,0.5739
88,0.4783,0.6377,0.6884,0.5797,0.587,0.5797,0.5507,0.6087,0.5072,0.5725,0.6884,0.4783,0.579
89,0.4783,0.6377,0.6884,0.5797,0.587,0.5797,0.5507,0.6087,0.5072,0.5725,0.6884,0.4783,0.579
90,0.4783,0.6377,0.6884,0.5797,0.587,0.5797,0.5507,0.6087,0.5072,0.5725,0.6884,0.4783,0.579
91,0.4783,0.6377,0.6884,0.5797,0.587,0.5797,0.5507,0.6159,0.5072,0.5725,0.6884,0.4783,0.5797
92,0.4783,0.6377,0.6884,0.5797,0.6014,0.5797,0.5507,0.6159,0.5072,0.5725,0.6884,0.4783,0.5811
93,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.5072,0.5725,0.6884,0.4783,0.5826
