timestamp,legacy_intelhda7,legacy_intelhda6,legacy_intelhda0,legacy_intelhda4,legacy_intelhda8,legacy_intelhda3,legacy_intelhda5,legacy_intelhda2,legacy_intelhda1,legacy_intelhda9,max,min,avg
51,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
52,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
53,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
54,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
55,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
56,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
57,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
58,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
59,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
60,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6111,0.6411,0.7297,0.7988,0.5526,0.6599
61,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
62,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
63,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
64,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
65,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
66,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
67,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
68,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
69,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
70,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
71,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
72,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
73,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
74,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
75,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
76,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
77,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
78,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
79,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
80,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
81,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
82,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
83,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
84,0.5526,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5526,0.6614
85,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
86,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
87,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
88,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
89,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
90,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
91,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
92,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
93,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
94,0.6547,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6716
95,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
96,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
97,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
98,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
99,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
100,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
101,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.6261,0.6411,0.7297,0.7988,0.5871,0.6803
102,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7402,0.6411,0.7297,0.7988,0.5871,0.6917
103,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7402,0.6411,0.7297,0.7988,0.5871,0.6917
104,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7402,0.7327,0.7297,0.7988,0.5871,0.7009
105,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7015
106,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7015
107,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7015
108,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7015
109,0.7417,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7015
110,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
111,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
112,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
113,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
114,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
115,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
116,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
117,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
118,0.7462,0.6231,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7019
119,0.7462,0.7147,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7111
120,0.7462,0.7147,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7111
121,0.7462,0.7147,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.7327,0.7297,0.7988,0.5871,0.7111
122,0.7462,0.7147,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7195
123,0.7462,0.7147,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7195
124,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
125,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
126,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
127,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
