timestamp,xhci4,xhci2,xhci0,xhci8,xhci9,xhci7,xhci3,xhci5,xhci1,xhci6,max,min,avg
50,0.1009,0.0857,0.0868,0.0954,0.1399,0.0911,0.1236,0.1074,0.1367,0.1215,0.1399,0.0857,0.1089
51,0.1009,0.0857,0.0868,0.0954,0.1453,0.0911,0.1236,0.1074,0.1367,0.1215,0.1453,0.0857,0.1094
52,0.102,0.0857,0.0868,0.0954,0.1486,0.0911,0.1236,0.1074,0.1367,0.1215,0.1486,0.0857,0.1099
53,0.102,0.0965,0.0868,0.0954,0.1497,0.0911,0.1236,0.1074,0.1388,0.1215,0.1497,0.0868,0.1113
54,0.102,0.0965,0.0922,0.0954,0.1497,0.0911,0.1236,0.1095,0.1388,0.1215,0.1497,0.0911,0.112
55,0.102,0.0965,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1131
56,0.102,0.0965,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1131
57,0.102,0.0965,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1131
58,0.102,0.0965,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1131
59,0.102,0.102,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1137
60,0.102,0.102,0.0922,0.1052,0.1497,0.0911,0.1236,0.1095,0.1399,0.1215,0.1497,0.0911,0.1137
61,0.1041,0.102,0.103,0.1052,0.1605,0.102,0.1236,0.1095,0.1399,0.1215,0.1605,0.102,0.1171
62,0.1041,0.102,0.103,0.1052,0.1605,0.102,0.1236,0.1095,0.1421,0.1215,0.1605,0.102,0.1173
63,0.1041,0.102,0.103,0.1052,0.1605,0.102,0.1236,0.1095,0.1421,0.1215,0.1605,0.102,0.1173
64,0.1041,0.102,0.103,0.1052,0.1627,0.102,0.1236,0.1095,0.1421,0.1215,0.1627,0.102,0.1176
65,0.1041,0.102,0.103,0.1052,0.1638,0.102,0.1236,0.1095,0.1421,0.1215,0.1638,0.102,0.1177
66,0.1041,0.102,0.103,0.1052,0.1638,0.102,0.1236,0.1095,0.1453,0.1215,0.1638,0.102,0.118
67,0.1041,0.102,0.103,0.1052,0.1638,0.102,0.1236,0.1095,0.1464,0.1345,0.1638,0.102,0.1194
68,0.1041,0.102,0.103,0.1052,0.1638,0.102,0.1236,0.1095,0.1464,0.1345,0.1638,0.102,0.1194
69,0.1041,0.102,0.103,0.1063,0.1638,0.102,0.1236,0.1095,0.1464,0.1345,0.1638,0.102,0.1195
70,0.1041,0.102,0.103,0.1063,0.1638,0.102,0.1236,0.1095,0.1486,0.1356,0.1638,0.102,0.1198
71,0.1041,0.102,0.103,0.1063,0.1638,0.102,0.1236,0.1095,0.1486,0.1356,0.1638,0.102,0.1198
72,0.1041,0.1052,0.103,0.1063,0.1638,0.102,0.1247,0.1095,0.1486,0.1356,0.1638,0.102,0.1203
73,0.1041,0.1052,0.103,0.1063,0.1638,0.102,0.1258,0.1095,0.1518,0.1356,0.1638,0.102,0.1207
74,0.1041,0.1052,0.103,0.1063,0.1638,0.102,0.1258,0.1139,0.1518,0.1356,0.1638,0.102,0.1212
75,0.1041,0.1052,0.103,0.1063,0.1638,0.102,0.1258,0.1139,0.1518,0.1356,0.1638,0.102,0.1212
76,0.1041,0.1052,0.103,0.1063,0.1638,0.102,0.1258,0.1139,0.1551,0.1367,0.1638,0.102,0.1216
77,0.1041,0.1074,0.103,0.1063,0.1638,0.102,0.1258,0.1139,0.1551,0.1367,0.1638,0.102,0.1218
78,0.1041,0.1074,0.103,0.1063,0.1638,0.102,0.128,0.1139,0.1551,0.1367,0.1638,0.102,0.122
79,0.1041,0.1074,0.103,0.1063,0.1638,0.103,0.128,0.1139,0.1551,0.1367,0.1638,0.103,0.1221
80,0.1041,0.1074,0.1128,0.1063,0.1649,0.103,0.128,0.1139,0.1551,0.1367,0.1649,0.103,0.1232
81,0.1041,0.1095,0.1128,0.1063,0.1649,0.103,0.128,0.115,0.1573,0.1367,0.1649,0.103,0.1238
82,0.1041,0.1095,0.1128,0.1063,0.1649,0.103,0.128,0.115,0.1573,0.1367,0.1649,0.103,0.1238
83,0.1052,0.1095,0.1128,0.1063,0.1649,0.103,0.128,0.115,0.1573,0.1367,0.1649,0.103,0.1239
84,0.1052,0.1095,0.1128,0.1063,0.1649,0.103,0.128,0.115,0.1573,0.1432,0.1649,0.103,0.1245
85,0.115,0.1095,0.1128,0.1182,0.1659,0.1128,0.128,0.115,0.1584,0.1432,0.1659,0.1095,0.1279
86,0.115,0.1095,0.1128,0.1182,0.167,0.1128,0.128,0.115,0.1584,0.1432,0.167,0.1095,0.128
87,0.115,0.1095,0.1128,0.1182,0.167,0.1128,0.1291,0.115,0.1584,0.1432,0.167,0.1095,0.1281
88,0.115,0.1095,0.1128,0.1182,0.167,0.1128,0.1291,0.115,0.1584,0.1432,0.167,0.1095,0.1281
89,0.115,0.1095,0.1128,0.1182,0.1681,0.1128,0.1291,0.115,0.1584,0.1453,0.1681,0.1095,0.1284
90,0.115,0.1095,0.1128,0.1193,0.1681,0.1128,0.1291,0.115,0.1584,0.1486,0.1681,0.1095,0.1289
91,0.115,0.1095,0.1128,0.1193,0.1681,0.1128,0.1291,0.1171,0.1616,0.1486,0.1681,0.1095,0.1294
92,0.128,0.1095,0.1128,0.1193,0.1692,0.1128,0.1291,0.1171,0.1616,0.1497,0.1692,0.1095,0.1309
93,0.128,0.1095,0.1139,0.1193,0.1692,0.1128,0.1291,0.1171,0.1616,0.1497,0.1692,0.1095,0.131
94,0.128,0.1095,0.1139,0.1193,0.1692,0.1128,0.1291,0.1171,0.1616,0.1497,0.1692,0.1095,0.131
95,0.128,0.1095,0.1139,0.1193,0.1692,0.1128,0.1291,0.1182,0.1616,0.1497,0.1692,0.1095,0.1311
96,0.128,0.1095,0.1139,0.1193,0.1779,0.1128,0.1291,0.1182,0.1616,0.1497,0.1779,0.1095,0.132
97,0.128,0.1095,0.1139,0.1193,0.179,0.1128,0.1291,0.1182,0.1616,0.1497,0.179,0.1095,0.1321
98,0.128,0.1095,0.1139,0.1193,0.179,0.1128,0.1291,0.1182,0.1616,0.1497,0.179,0.1095,0.1321
99,0.1323,0.1095,0.1139,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1095,0.1327
100,0.1323,0.1095,0.1139,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1095,0.1327
101,0.1323,0.1095,0.115,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1095,0.1329
102,0.1323,0.1106,0.115,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1106,0.133
103,0.1323,0.1215,0.115,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1128,0.1341
104,0.1323,0.1215,0.115,0.1193,0.1811,0.1128,0.1291,0.1182,0.1616,0.1497,0.1811,0.1128,0.1341
105,0.1334,0.1215,0.115,0.1193,0.1811,0.1128,0.1291,0.1193,0.1616,0.1497,0.1811,0.1128,0.1343
106,0.1464,0.1215,0.115,0.1193,0.1811,0.1128,0.1291,0.1193,0.1616,0.1508,0.1811,0.1128,0.1357
107,0.1464,0.1226,0.115,0.1193,0.1811,0.1128,0.1291,0.1193,0.1735,0.1508,0.1811,0.1128,0.137
108,0.1464,0.1236,0.115,0.1193,0.1811,0.1128,0.1291,0.1193,0.1735,0.1508,0.1811,0.1128,0.1371
109,0.1475,0.1236,0.115,0.1193,0.1822,0.1128,0.1291,0.1193,0.1746,0.1508,0.1822,0.1128,0.1374
110,0.1475,0.1236,0.115,0.1193,0.1844,0.1128,0.1291,0.1193,0.1746,0.1508,0.1844,0.1128,0.1376
111,0.1475,0.1236,0.1247,0.1193,0.1844,0.1128,0.1291,0.1193,0.179,0.1508,0.1844,0.1128,0.1391
112,0.1475,0.1236,0.1247,0.1193,0.1844,0.1128,0.1291,0.1193,0.179,0.1508,0.1844,0.1128,0.1391
113,0.1475,0.1236,0.1247,0.1193,0.1844,0.1128,0.1302,0.1193,0.179,0.1508,0.1844,0.1128,0.1392
114,0.1475,0.1236,0.1247,0.1193,0.1844,0.115,0.1302,0.1193,0.179,0.1508,0.1844,0.115,0.1394
115,0.1497,0.1236,0.1247,0.1193,0.1844,0.115,0.1302,0.1193,0.179,0.1508,0.1844,0.115,0.1396
116,0.1497,0.1236,0.1247,0.1193,0.1855,0.115,0.1302,0.1215,0.179,0.1508,0.1855,0.115,0.1399
117,0.1497,0.1236,0.1247,0.1193,0.1855,0.115,0.1302,0.141,0.179,0.1508,0.1855,0.115,0.1419
118,0.1497,0.1236,0.1247,0.1193,0.1855,0.115,0.1302,0.141,0.18,0.1508,0.1855,0.115,0.142
119,0.1497,0.1236,0.1247,0.1193,0.1855,0.115,0.1302,0.141,0.18,0.1627,0.1855,0.115,0.1432
120,0.1497,0.1236,0.1247,0.1193,0.1855,0.115,0.1302,0.141,0.18,0.1627,0.1855,0.115,0.1432
121,0.1497,0.1236,0.1258,0.1193,0.1855,0.1161,0.1302,0.141,0.18,0.1627,0.1855,0.1161,0.1434
122,0.1497,0.1236,0.1258,0.1193,0.1855,0.1161,0.1302,0.141,0.18,0.1627,0.1855,0.1161,0.1434
123,0.1497,0.1236,0.1258,0.1193,0.1855,0.1161,0.1312,0.141,0.18,0.1627,0.1855,0.1161,0.1435
124,0.1518,0.1236,0.1258,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1627,0.1855,0.1161,0.1438
125,0.1518,0.1236,0.1258,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1439
126,0.1518,0.1258,0.1258,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1441
127,0.1518,0.1258,0.1269,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1442
128,0.1518,0.1258,0.1291,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1445
129,0.1518,0.1258,0.1291,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1445
130,0.1518,0.1258,0.1291,0.1193,0.1855,0.1161,0.1312,0.141,0.1811,0.1638,0.1855,0.1161,0.1445
131,0.1518,0.1258,0.1291,0.1193,0.1855,0.1171,0.1312,0.141,0.1811,0.1638,0.1855,0.1171,0.1446
132,0.1518,0.1258,0.1291,0.1193,0.1855,0.1171,0.1312,0.141,0.1811,0.1638,0.1855,0.1171,0.1446
133,0.1518,0.1258,0.1291,0.1193,0.1855,0.1171,0.1312,0.141,0.1811,0.1638,0.1855,0.1171,0.1446
134,0.154,0.1258,0.1291,0.1193,0.1855,0.1171,0.1312,0.141,0.1822,0.1638,0.1855,0.1171,0.1449
