timestamp,uhci9,uhci2,uhci4,uhci1,uhci0,uhci5,uhci3,uhci8,uhci7,uhci6,max,min,avg
50,0.6618,0.6705,0.6676,0.6734,0.6503,0.6561,0.6734,0.659,0.659,0.6676,0.6734,0.6503,0.6639
51,0.6618,0.6676,0.6647,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6676,0.6734,0.6503,0.663
52,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6705,0.6618,0.659,0.6676,0.6734,0.6503,0.6636
53,0.6618,0.6676,0.6647,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6676,0.6734,0.6503,0.663
54,0.6618,0.6705,0.6647,0.6734,0.6503,0.6561,0.6734,0.659,0.659,0.6676,0.6734,0.6503,0.6636
55,0.6618,0.6676,0.6705,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6676,0.6734,0.6503,0.6636
56,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6676,0.6734,0.6503,0.6633
57,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6734,0.659,0.659,0.6676,0.6734,0.6503,0.6636
58,0.6618,0.6676,0.6676,0.6763,0.6503,0.659,0.6705,0.6618,0.659,0.6676,0.6763,0.6503,0.6642
59,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6676,0.6734,0.6503,0.6633
60,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6705,0.659,0.659,0.6705,0.6734,0.6503,0.6636
61,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6734,0.6647,0.659,0.6705,0.6734,0.6503,0.6644
62,0.6618,0.6676,0.6705,0.6734,0.6503,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6503,0.6644
63,0.6618,0.6676,0.6676,0.6734,0.6503,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6503,0.6641
64,0.6618,0.6676,0.6676,0.6763,0.6618,0.6561,0.6705,0.6647,0.659,0.6705,0.6763,0.6561,0.6656
65,0.6618,0.6676,0.6676,0.6734,0.6618,0.6561,0.6705,0.6676,0.659,0.6705,0.6734,0.6561,0.6656
66,0.6618,0.6676,0.6676,0.6734,0.6676,0.6561,0.6705,0.6676,0.659,0.6705,0.6734,0.6561,0.6662
67,0.6618,0.6676,0.6676,0.6763,0.6676,0.6561,0.6705,0.6647,0.659,0.6734,0.6763,0.6561,0.6665
68,0.6618,0.6676,0.6676,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6561,0.6659
69,0.6618,0.6705,0.6676,0.6734,0.6676,0.659,0.6705,0.6647,0.659,0.6734,0.6734,0.659,0.6667
70,0.6618,0.6676,0.6676,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6561,0.6659
71,0.6618,0.6676,0.6676,0.6734,0.6705,0.6561,0.6705,0.6676,0.6618,0.6705,0.6734,0.6561,0.6667
72,0.6618,0.6676,0.6705,0.6763,0.6676,0.6561,0.6734,0.6647,0.659,0.6705,0.6763,0.6561,0.6667
73,0.6618,0.6676,0.6676,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6561,0.6659
74,0.6618,0.6676,0.6676,0.6734,0.6676,0.6561,0.6705,0.6676,0.6618,0.6705,0.6734,0.6561,0.6664
75,0.6618,0.6705,0.6676,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6561,0.6662
76,0.6618,0.6705,0.6676,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6734,0.6734,0.6561,0.6665
77,0.6618,0.6705,0.6734,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6734,0.6561,0.6667
78,0.6618,0.6705,0.6734,0.6734,0.6676,0.6561,0.6705,0.6676,0.6618,0.6705,0.6734,0.6561,0.6673
79,0.6618,0.6705,0.6734,0.6734,0.6676,0.659,0.6705,0.6647,0.659,0.6705,0.6734,0.659,0.667
80,0.6618,0.6705,0.6763,0.6734,0.6705,0.6561,0.6705,0.6647,0.659,0.6705,0.6763,0.6561,0.6673
81,0.6618,0.6705,0.6763,0.6734,0.6676,0.6561,0.6734,0.6647,0.659,0.6705,0.6763,0.6561,0.6673
82,0.6647,0.6734,0.6792,0.6734,0.6676,0.6561,0.6705,0.6647,0.659,0.6705,0.6792,0.6561,0.6679
83,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6734,0.6647,0.659,0.6705,0.6763,0.659,0.6676
84,0.6618,0.6705,0.6763,0.6734,0.6676,0.6618,0.6705,0.6647,0.659,0.6705,0.6763,0.659,0.6676
85,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6705,0.6676,0.659,0.6705,0.6763,0.659,0.6676
86,0.6618,0.6705,0.6792,0.6734,0.6676,0.659,0.6705,0.6647,0.6618,0.6705,0.6792,0.659,0.6679
87,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6705,0.6647,0.6647,0.6705,0.6763,0.659,0.6679
88,0.6618,0.6705,0.6763,0.6763,0.6676,0.659,0.6705,0.6647,0.6647,0.6705,0.6763,0.659,0.6682
89,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6705,0.6647,0.6647,0.6734,0.6763,0.659,0.6682
90,0.6618,0.6705,0.6763,0.6734,0.6705,0.659,0.6705,0.6647,0.6618,0.6705,0.6763,0.659,0.6679
91,0.6618,0.6734,0.6763,0.6734,0.6676,0.6618,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6682
92,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6705,0.6647,0.6618,0.6705,0.6763,0.659,0.6676
93,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6734,0.6647,0.6618,0.6705,0.6763,0.659,0.6679
94,0.6618,0.6705,0.6763,0.6763,0.6676,0.659,0.6705,0.6647,0.6618,0.6705,0.6763,0.659,0.6679
95,0.6618,0.6705,0.6763,0.6734,0.6676,0.659,0.6705,0.6647,0.6618,0.6705,0.6763,0.659,0.6676
96,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6734,0.6647,0.6618,0.6705,0.6763,0.6618,0.6691
97,0.6676,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.669
98,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
99,0.6647,0.6705,0.6792,0.6734,0.6705,0.6676,0.6705,0.6647,0.6647,0.6705,0.6792,0.6647,0.6696
100,0.6647,0.6705,0.6763,0.6734,0.6676,0.6705,0.6705,0.6647,0.6618,0.6734,0.6763,0.6618,0.6693
101,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
102,0.6647,0.6705,0.6763,0.6763,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.669
103,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
104,0.6647,0.6705,0.6763,0.6734,0.6676,0.6705,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.669
105,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
106,0.6647,0.6705,0.6792,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6792,0.6618,0.6691
107,0.6647,0.6705,0.6763,0.6734,0.6676,0.6705,0.6705,0.6647,0.6618,0.6734,0.6763,0.6618,0.6693
108,0.6647,0.6705,0.6763,0.6734,0.6676,0.6705,0.6705,0.6647,0.6618,0.6734,0.6763,0.6618,0.6693
109,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
110,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
