timestamp,legacy_ac970,legacy_ac971,legacy_ac975,legacy_ac976,legacy_ac973,legacy_ac972,max,min,avg
68,0.918,0.9063,0.9239,0.9288,0.8985,0.9034,0.9288,0.8985,0.9131
69,0.918,0.9034,0.9239,0.8946,0.8985,0.9298,0.9298,0.8946,0.9114
70,0.8644,0.9034,0.9239,0.9034,0.8985,0.9034,0.9239,0.8644,0.8995
71,0.8644,0.9034,0.9239,0.9288,0.8985,0.9034,0.9288,0.8644,0.9037
72,0.8644,0.9141,0.9239,0.9288,0.6322,0.9298,0.9298,0.6322,0.8655
73,0.8644,0.9141,0.9239,0.9288,0.8985,0.9298,0.9298,0.8644,0.9099
74,0.918,0.9141,0.9239,0.9229,0.8985,0.8702,0.9239,0.8702,0.9079
75,0.918,0.9141,0.9239,0.9288,0.8615,0.9278,0.9288,0.8615,0.9123
76,0.918,0.9141,0.9239,0.9288,0.8615,0.9278,0.9288,0.8615,0.9123
77,0.918,0.9093,0.9239,0.9288,0.8615,0.9278,0.9288,0.8615,0.9116
78,0.918,0.9093,0.9239,0.9288,0.8615,0.9298,0.9298,0.8615,0.9119
79,0.918,0.9141,0.8868,0.9288,0.8615,0.9298,0.9298,0.8615,0.9065
80,0.918,0.9141,0.8868,0.9229,0.8615,0.9034,0.9229,0.8615,0.9011
81,0.8322,0.9141,0.8868,0.9034,0.8615,0.9034,0.9141,0.8322,0.8836
82,0.8322,0.9141,0.8868,0.9288,0.8985,0.9298,0.9298,0.8322,0.8984
83,0.8322,0.9141,0.8868,0.9288,0.8771,0.9298,0.9298,0.8322,0.8948
84,0.8322,0.9141,0.8868,0.9229,0.8985,0.9298,0.9298,0.8322,0.8974
85,0.8322,0.9141,0.919,0.2956,0.8985,0.9298,0.9298,0.2956,0.7982
86,0.8322,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8322,0.9037
87,0.8322,0.9141,0.919,0.9034,0.8985,0.9298,0.9298,0.8322,0.8995
88,0.8322,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8322,0.9002
89,0.9141,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9138
90,0.9141,0.9093,0.919,0.9034,0.8985,0.84,0.919,0.84,0.8974
91,0.9141,0.9093,0.919,0.9229,0.8059,0.84,0.9229,0.8059,0.8852
92,0.9141,0.9093,0.919,0.9288,0.8771,0.84,0.9288,0.84,0.898
93,0.9141,0.9093,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9166
94,0.9141,0.9093,0.919,0.9229,0.8985,0.8702,0.9229,0.8702,0.9057
