timestamp,fdc1,fdc4,fdc3,fdc6,fdc8,fdc9,fdc7,fdc5,fdc2,fdc0,max,min,avg
50,0.4715,0.437,0.4126,0.439,0.4756,0.4614,0.4329,0.4614,0.4736,0.4309,0.4756,0.4126,0.4496
51,0.4715,0.437,0.4146,0.439,0.4756,0.4614,0.4329,0.4614,0.4736,0.4309,0.4756,0.4146,0.4498
52,0.4715,0.439,0.4146,0.439,0.4756,0.4614,0.4329,0.4614,0.4736,0.4309,0.4756,0.4146,0.45
53,0.4715,0.439,0.4146,0.439,0.4756,0.4614,0.4329,0.4614,0.4736,0.4309,0.4756,0.4146,0.45
54,0.4736,0.439,0.4146,0.439,0.4756,0.4614,0.4329,0.4614,0.4736,0.4329,0.4756,0.4146,0.4504
55,0.4736,0.4614,0.4146,0.439,0.4756,0.4614,0.4411,0.4614,0.4736,0.4329,0.4756,0.4146,0.4535
56,0.4736,0.4654,0.4146,0.439,0.4756,0.4614,0.4411,0.4654,0.4756,0.4329,0.4756,0.4146,0.4545
57,0.4736,0.4654,0.4146,0.4411,0.4756,0.4614,0.4411,0.4654,0.4756,0.4329,0.4756,0.4146,0.4547
58,0.4736,0.4654,0.4146,0.4411,0.4797,0.4614,0.4451,0.4654,0.4756,0.4329,0.4797,0.4146,0.4555
59,0.4736,0.4654,0.4146,0.4411,0.4797,0.4614,0.4451,0.4654,0.4756,0.4329,0.4797,0.4146,0.4555
60,0.4736,0.4654,0.4146,0.4614,0.4797,0.4614,0.4451,0.4654,0.4756,0.4329,0.4797,0.4146,0.4575
61,0.4736,0.4654,0.4146,0.4614,0.4797,0.4614,0.4451,0.4654,0.4756,0.4329,0.4797,0.4146,0.4575
62,0.4736,0.4654,0.4146,0.4614,0.4797,0.4614,0.4451,0.4654,0.4756,0.4329,0.4797,0.4146,0.4575
63,0.4736,0.4654,0.4167,0.4614,0.4797,0.4614,0.4451,0.4675,0.4756,0.4329,0.4797,0.4167,0.4579
64,0.4736,0.4654,0.4167,0.4614,0.4797,0.4614,0.4451,0.4695,0.4756,0.4329,0.4797,0.4167,0.4581
65,0.4736,0.4654,0.4167,0.4614,0.4817,0.4614,0.4451,0.4695,0.4756,0.4329,0.4817,0.4167,0.4583
66,0.4736,0.4654,0.4187,0.4614,0.4817,0.4614,0.4451,0.4695,0.4756,0.4329,0.4817,0.4187,0.4585
67,0.4736,0.4654,0.4187,0.4695,0.4817,0.4614,0.4451,0.4695,0.4756,0.4329,0.4817,0.4187,0.4593
68,0.4736,0.4654,0.4187,0.4695,0.4817,0.4614,0.4451,0.4695,0.4756,0.4329,0.4817,0.4187,0.4593
69,0.4736,0.4654,0.4187,0.4695,0.4817,0.4614,0.4451,0.4695,0.4756,0.4329,0.4817,0.4187,0.4593
70,0.4736,0.4654,0.4187,0.4695,0.4837,0.4614,0.4451,0.4695,0.4756,0.4329,0.4837,0.4187,0.4595
71,0.4736,0.4654,0.4187,0.4715,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.4601
72,0.4736,0.4675,0.4187,0.4715,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.4604
73,0.4736,0.4675,0.4187,0.4756,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.4608
74,0.4736,0.4675,0.4187,0.4756,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.4608
