timestamp,uhci5,uhci8,uhci3,uhci6,uhci0,uhci1,uhci9,uhci4,uhci7,uhci2,max,min,avg
44,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4191,0.3757,0.396,0.3786,0.4191,0.3757,0.3882
45,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
46,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
47,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
48,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
49,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
50,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
51,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
52,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
53,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
54,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
55,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4191,0.3757,0.396,0.3786,0.4191,0.3757,0.3885
56,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
57,0.396,0.3988,0.3757,0.4104,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3905
58,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3884
59,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
60,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
61,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
62,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
63,0.396,0.396,0.3757,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3885
64,0.396,0.396,0.3757,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3885
65,0.396,0.396,0.3902,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3899
66,0.396,0.396,0.3902,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3899
67,0.396,0.396,0.3902,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3899
68,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3902
69,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3902
70,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4191,0.3757,0.3988,0.3786,0.4191,0.3757,0.3908
71,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
72,0.3988,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
73,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
74,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
75,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
76,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
77,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
78,0.396,0.3988,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
79,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
80,0.396,0.396,0.3931,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
81,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
82,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
83,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4191,0.3757,0.3988,0.3786,0.4191,0.3757,0.3908
84,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
85,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
86,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
87,0.396,0.396,0.3931,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3905
88,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
89,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
