timestamp,ohci7,ohci5,ohci8,ohci2,ohci3,ohci4,ohci0,ohci9,ohci1,ohci6,max,min,avg
49,0.7208,0.6442,0.7372,0.7646,0.7682,0.7628,0.5748,0.7591,0.7573,0.6131,0.7682,0.5748,0.7102
50,0.7208,0.6442,0.7372,0.7646,0.7682,0.7628,0.5748,0.7591,0.7573,0.6131,0.7682,0.5748,0.7102
51,0.7208,0.6442,0.7372,0.7646,0.7682,0.7628,0.5748,0.7609,0.7573,0.6131,0.7682,0.5748,0.7104
52,0.7208,0.6442,0.7372,0.7646,0.7682,0.7628,0.5748,0.7609,0.7573,0.6131,0.7682,0.5748,0.7104
53,0.7208,0.6442,0.7372,0.7646,0.7682,0.7628,0.5748,0.7609,0.7573,0.6131,0.7682,0.5748,0.7104
54,0.7208,0.6478,0.7536,0.7646,0.7682,0.7628,0.5748,0.7609,0.7573,0.6131,0.7682,0.5748,0.7124
55,0.7208,0.6478,0.7536,0.7646,0.7682,0.7628,0.5785,0.7609,0.7573,0.6131,0.7682,0.5785,0.7128
56,0.7208,0.6478,0.7536,0.7646,0.7682,0.7628,0.5803,0.7609,0.7573,0.6131,0.7682,0.5803,0.7129
57,0.7208,0.6478,0.7536,0.7646,0.7719,0.7628,0.5803,0.7609,0.7573,0.6131,0.7719,0.5803,0.7133
58,0.7208,0.6478,0.7536,0.7646,0.7719,0.7628,0.5803,0.7701,0.7573,0.6131,0.7719,0.5803,0.7142
59,0.7372,0.6478,0.7536,0.7664,0.7719,0.7628,0.5803,0.7737,0.7573,0.6131,0.7737,0.5803,0.7164
60,0.7372,0.6478,0.7536,0.7664,0.7719,0.7628,0.5839,0.7737,0.7573,0.6131,0.7737,0.5839,0.7168
61,0.7372,0.6478,0.7536,0.7682,0.7719,0.7628,0.5894,0.7737,0.7573,0.615,0.7737,0.5894,0.7177
62,0.7372,0.6478,0.7536,0.7682,0.7719,0.7664,0.5894,0.7737,0.7573,0.615,0.7737,0.5894,0.7181
63,0.7372,0.6478,0.7536,0.7682,0.7719,0.7664,0.5894,0.7737,0.7573,0.615,0.7737,0.5894,0.7181
64,0.7372,0.6478,0.7536,0.7682,0.7719,0.7664,0.5894,0.7737,0.7573,0.615,0.7737,0.5894,0.7181
65,0.7372,0.6478,0.7536,0.7682,0.7719,0.7664,0.5894,0.7737,0.7573,0.6186,0.7737,0.5894,0.7184
66,0.7372,0.6478,0.7536,0.7682,0.7719,0.7664,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7186
67,0.75,0.6843,0.7536,0.7682,0.7719,0.7701,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7239
68,0.75,0.6843,0.7573,0.7682,0.7719,0.7701,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7243
69,0.75,0.6843,0.7573,0.7682,0.7719,0.7701,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7243
70,0.7518,0.6843,0.7573,0.7682,0.7719,0.7719,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7246
71,0.7536,0.6843,0.7573,0.7682,0.7719,0.7719,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7248
72,0.7536,0.6843,0.7573,0.7682,0.7719,0.7719,0.5894,0.7755,0.7573,0.6186,0.7755,0.5894,0.7248
73,0.7536,0.6953,0.7573,0.7682,0.7719,0.7719,0.5949,0.7755,0.7591,0.6186,0.7755,0.5949,0.7266
74,0.7536,0.6953,0.7573,0.7682,0.7719,0.7719,0.5949,0.7755,0.7591,0.6186,0.7755,0.5949,0.7266
75,0.7536,0.6953,0.7573,0.7682,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7268
76,0.7555,0.6953,0.7573,0.7682,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.727
77,0.7555,0.6953,0.7573,0.7774,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7279
78,0.7682,0.7208,0.7573,0.7774,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7318
79,0.7701,0.7208,0.7573,0.7774,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7319
80,0.7701,0.7208,0.7573,0.7774,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7319
81,0.7701,0.7208,0.7573,0.7774,0.7719,0.7719,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7319
82,0.7701,0.7208,0.7573,0.7774,0.7719,0.7755,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7323
83,0.7701,0.7208,0.7573,0.7774,0.7719,0.7755,0.5949,0.7774,0.7591,0.6186,0.7774,0.5949,0.7323
84,0.7701,0.7208,0.7573,0.781,0.7719,0.7755,0.5949,0.7774,0.7591,0.6186,0.781,0.5949,0.7327
85,0.7701,0.7208,0.7573,0.781,0.7719,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7328
86,0.7701,0.7208,0.7573,0.781,0.7719,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7328
87,0.7701,0.7226,0.7573,0.781,0.7719,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.733
88,0.7701,0.7226,0.7573,0.781,0.7719,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.733
89,0.7701,0.7226,0.7573,0.781,0.7737,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7332
90,0.7701,0.7226,0.7573,0.781,0.7737,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7332
91,0.7701,0.7226,0.7573,0.781,0.7737,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7332
92,0.7701,0.7226,0.7573,0.781,0.7737,0.7755,0.5967,0.7774,0.7591,0.6186,0.781,0.5967,0.7332
93,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.5967,0.7774,0.7591,0.6186,0.7901,0.5967,0.7341
94,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6186,0.7901,0.6058,0.735
95,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6186,0.7901,0.6058,0.735
96,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6186,0.7901,0.6058,0.735
97,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6186,0.7901,0.6058,0.735
98,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6186,0.7901,0.6058,0.735
99,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6277,0.7901,0.6058,0.7359
100,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7591,0.6277,0.7901,0.6058,0.7359
101,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7361
102,0.7701,0.7226,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7361
103,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
104,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
105,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
106,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
107,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
108,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
109,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
110,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
111,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
112,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.7774,0.7609,0.6277,0.7901,0.6058,0.7363
113,0.7701,0.7245,0.7573,0.7901,0.7737,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.7367
114,0.7701,0.7245,0.7573,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.737
115,0.7701,0.7245,0.7573,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.737
116,0.7701,0.7245,0.7573,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.737
117,0.7701,0.7245,0.7573,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.737
118,0.7701,0.7245,0.7573,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.737
119,0.7701,0.7245,0.7628,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.7376
120,0.7701,0.7245,0.7628,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.7376
121,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6277,0.7901,0.6058,0.7381
122,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6058,0.781,0.7609,0.6387,0.7901,0.6058,0.7392
123,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6223,0.781,0.7609,0.6387,0.7901,0.6223,0.7409
124,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6259,0.781,0.7609,0.6387,0.7901,0.6259,0.7412
125,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6259,0.781,0.7609,0.6423,0.7901,0.6259,0.7416
126,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6259,0.781,0.7609,0.6442,0.7901,0.6259,0.7418
127,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6277,0.781,0.7609,0.6442,0.7901,0.6277,0.742
128,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6277,0.781,0.7609,0.6442,0.7901,0.6277,0.742
129,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6277,0.781,0.7609,0.6442,0.7901,0.6277,0.742
130,0.7701,0.7281,0.7646,0.7901,0.7774,0.7755,0.6277,0.781,0.7609,0.6442,0.7901,0.6277,0.742
131,0.7701,0.7281,0.7682,0.7901,0.7774,0.7755,0.7062,0.781,0.7609,0.6442,0.7901,0.6442,0.7502
132,0.7701,0.7299,0.7682,0.7901,0.7774,0.7755,0.7099,0.781,0.7609,0.6442,0.7901,0.6442,0.7507
133,0.7701,0.7299,0.7682,0.7901,0.7828,0.7755,0.7172,0.781,0.7609,0.6442,0.7901,0.6442,0.752
134,0.7701,0.7299,0.7682,0.7901,0.7828,0.7755,0.7172,0.781,0.7609,0.6442,0.7901,0.6442,0.752
135,0.7701,0.7299,0.7682,0.7901,0.7847,0.7774,0.7172,0.781,0.7609,0.6442,0.7901,0.6442,0.7524
136,0.7701,0.7299,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6442,0.7901,0.6442,0.7526
137,0.7701,0.7336,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6442,0.7901,0.6442,0.7529
138,0.7701,0.7336,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.7533
139,0.7701,0.7391,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.7538
140,0.7701,0.7391,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.7538
141,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
142,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
143,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
144,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
145,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
146,0.7701,0.7409,0.7682,0.7901,0.7847,0.7774,0.719,0.781,0.7609,0.6478,0.7901,0.6478,0.754
