timestamp,ohci8,ohci9,ohci7,ohci2,ohci6,ohci3,ohci1,ohci4,ohci0,ohci5,max,min,avg
49,0.3595,0.3321,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3339,0.3522,0.3631,0.3321,0.3472
50,0.3595,0.3321,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3339,0.3522,0.3631,0.3321,0.3472
51,0.3595,0.3339,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3358,0.3522,0.3631,0.3339,0.3476
52,0.3668,0.3339,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3358,0.3522,0.3668,0.3339,0.3483
53,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.354,0.3522,0.3668,0.3339,0.3522
54,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.354,0.3522,0.3668,0.3339,0.3522
55,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.354,0.3522,0.3668,0.3339,0.3522
56,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.354,0.3522,0.3668,0.3339,0.3522
57,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.354,0.3522,0.3668,0.3339,0.3522
58,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3558,0.3522,0.3668,0.3339,0.3524
59,0.3668,0.354,0.3631,0.3339,0.3522,0.3577,0.3339,0.354,0.3558,0.3522,0.3668,0.3339,0.3524
60,0.3668,0.3558,0.3631,0.3339,0.3522,0.3613,0.3358,0.3558,0.3558,0.3522,0.3668,0.3339,0.3533
61,0.3668,0.3558,0.3631,0.3339,0.3522,0.3613,0.3358,0.3558,0.3558,0.354,0.3668,0.3339,0.3534
62,0.3668,0.3558,0.3631,0.3339,0.3522,0.3613,0.3522,0.3558,0.3558,0.354,0.3668,0.3339,0.3551
63,0.3668,0.3558,0.3631,0.3339,0.3522,0.3613,0.3522,0.3577,0.3558,0.354,0.3668,0.3339,0.3553
64,0.3668,0.3558,0.3704,0.3339,0.3522,0.3613,0.3522,0.3558,0.3558,0.354,0.3704,0.3339,0.3558
65,0.3668,0.3558,0.3704,0.3339,0.3522,0.3613,0.3522,0.3558,0.3558,0.354,0.3704,0.3339,0.3558
66,0.3668,0.3558,0.3704,0.3339,0.3522,0.3613,0.3522,0.3558,0.3558,0.354,0.3704,0.3339,0.3558
67,0.3668,0.3558,0.3704,0.3339,0.3558,0.3631,0.3522,0.3577,0.3558,0.354,0.3704,0.3339,0.3565
68,0.3668,0.3558,0.3704,0.3339,0.3577,0.3631,0.3522,0.3577,0.3558,0.354,0.3704,0.3339,0.3567
69,0.3668,0.3558,0.3704,0.3339,0.3577,0.3631,0.3522,0.3577,0.3558,0.354,0.3704,0.3339,0.3567
70,0.3668,0.3558,0.3704,0.3339,0.3577,0.3631,0.3522,0.3577,0.3595,0.354,0.3704,0.3339,0.3571
71,0.3668,0.3558,0.3704,0.3339,0.3577,0.3631,0.3522,0.3577,0.3595,0.354,0.3704,0.3339,0.3571
72,0.3668,0.3558,0.3704,0.3339,0.3631,0.3631,0.3522,0.3577,0.3631,0.354,0.3704,0.3339,0.358
73,0.3668,0.3558,0.3704,0.3339,0.3631,0.3631,0.3522,0.3577,0.3631,0.354,0.3704,0.3339,0.358
74,0.3668,0.3558,0.3704,0.3339,0.3631,0.3631,0.3522,0.3577,0.3631,0.354,0.3704,0.3339,0.358
75,0.3668,0.3558,0.3704,0.3358,0.3631,0.3631,0.3522,0.3577,0.3631,0.354,0.3704,0.3358,0.3582
76,0.3668,0.3558,0.3704,0.3358,0.3631,0.3631,0.3522,0.3577,0.3631,0.3558,0.3704,0.3358,0.3584
77,0.3668,0.3577,0.3704,0.3358,0.3631,0.3631,0.3522,0.3577,0.3631,0.3558,0.3704,0.3358,0.3586
78,0.3668,0.3577,0.3704,0.3358,0.3631,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3588
79,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
80,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
81,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
82,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
83,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
84,0.3668,0.3577,0.3704,0.3358,0.3668,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3591
85,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
86,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
87,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
