timestamp,e1000e5,e1000e2,e1000e9,e1000e3,e1000e0,e1000e4,e1000e1,e1000e6,e1000e8,e1000e7,max,min,avg
42,0.1952,0.1907,0.2538,0.1471,0.1862,0.2117,0.2628,0.2658,0.2973,0.3604,0.3604,0.1471,0.2371
43,0.1982,0.1907,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3153,0.3604,0.3604,0.1471,0.2394
44,0.1982,0.1907,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3408,0.3604,0.3604,0.1471,0.2419
45,0.1982,0.2177,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3408,0.3604,0.3604,0.1471,0.2446
46,0.1997,0.2177,0.2538,0.1471,0.1862,0.2147,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2455
47,0.2012,0.2207,0.2538,0.1471,0.1862,0.2147,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2459
48,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
49,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
50,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
51,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
52,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
53,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
54,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
55,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
56,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
57,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
58,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
59,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
60,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
61,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
62,0.2147,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2478
63,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2479
64,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
65,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
66,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
67,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
68,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
69,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
70,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
71,0.2162,0.2207,0.2538,0.1547,0.1862,0.2342,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2503
72,0.2162,0.2207,0.2538,0.1547,0.1907,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2515
73,0.2162,0.2207,0.2538,0.1547,0.1907,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2515
74,0.2162,0.2207,0.2538,0.1547,0.1922,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2517
75,0.2162,0.2207,0.2538,0.1547,0.1937,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2518
76,0.2162,0.2207,0.2538,0.1547,0.1937,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2518
77,0.2162,0.2207,0.2538,0.1547,0.1937,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2518
78,0.2162,0.2207,0.2538,0.1547,0.1952,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.252
79,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
80,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
81,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
82,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
83,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
84,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
85,0.2162,0.2207,0.2538,0.1547,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.253
86,0.2162,0.2207,0.2538,0.1607,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1607,0.2536
87,0.2162,0.2207,0.2538,0.1607,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1607,0.2536
88,0.2162,0.2207,0.2538,0.1652,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1652,0.2541
89,0.2162,0.2207,0.2538,0.1652,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1652,0.2541
90,0.2162,0.2207,0.2538,0.1667,0.1952,0.2523,0.2643,0.2658,0.3468,0.3604,0.3604,0.1667,0.2542
91,0.2162,0.2207,0.2538,0.1697,0.1952,0.2583,0.2643,0.2658,0.3468,0.3604,0.3604,0.1697,0.2551
92,0.2162,0.2222,0.2538,0.1832,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1832,0.2568
93,0.2162,0.2222,0.2538,0.1862,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1862,0.2571
94,0.2162,0.2222,0.2538,0.1877,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1877,0.2572
95,0.2162,0.2222,0.2538,0.1907,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2575
96,0.2162,0.2222,0.2538,0.1907,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2575
97,0.2162,0.2222,0.2538,0.1907,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2575
98,0.2162,0.2222,0.2538,0.1907,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2575
99,0.2162,0.2222,0.2538,0.1907,0.1952,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2575
100,0.2162,0.2222,0.2538,0.1907,0.1967,0.2598,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2577
101,0.2162,0.2222,0.2538,0.1907,0.1982,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.258
102,0.2162,0.2222,0.2538,0.1907,0.1982,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.258
103,0.2162,0.2222,0.2538,0.1907,0.2027,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2584
104,0.2162,0.2222,0.2538,0.1907,0.2072,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1907,0.2589
105,0.2162,0.2222,0.2538,0.1922,0.2072,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.259
106,0.2162,0.2222,0.2538,0.1922,0.2072,0.2613,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.259
107,0.2162,0.2222,0.2538,0.1922,0.2072,0.2658,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2595
108,0.2162,0.2222,0.2538,0.1922,0.2072,0.2658,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2595
109,0.2162,0.2222,0.2538,0.1922,0.2072,0.2703,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2599
110,0.2162,0.2222,0.2538,0.1922,0.2102,0.2703,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2602
111,0.2162,0.2222,0.2538,0.1922,0.2102,0.2703,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2602
112,0.2162,0.2222,0.2538,0.1922,0.2102,0.2703,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2602
