timestamp,legacy_floppy7,legacy_floppy2,legacy_floppy0,legacy_floppy5,legacy_floppy8,legacy_floppy1,legacy_floppy4,legacy_floppy6,legacy_floppy3,max,min,avg
50,0.4453,0.4494,0.4231,0.4575,0.4615,0.4656,0.4211,0.4413,0.4393,0.4656,0.4211,0.4449
51,0.4453,0.4494,0.4595,0.4575,0.4615,0.4656,0.4211,0.4413,0.4393,0.4656,0.4211,0.4489
52,0.4453,0.4474,0.4595,0.4575,0.4534,0.4656,0.4211,0.4413,0.417,0.4656,0.417,0.4453
53,0.4453,0.4474,0.4534,0.4575,0.4413,0.4636,0.4211,0.4413,0.4109,0.4636,0.4109,0.4424
54,0.4433,0.413,0.4595,0.4575,0.4453,0.4636,0.4211,0.4413,0.4109,0.4636,0.4109,0.4395
55,0.4372,0.4109,0.4372,0.4575,0.413,0.4636,0.4211,0.4413,0.4109,0.4636,0.4109,0.4325
56,0.4433,0.413,0.4109,0.4575,0.4251,0.4636,0.4211,0.4413,0.4109,0.4636,0.4109,0.4319
57,0.4312,0.413,0.4291,0.4575,0.4251,0.4636,0.4575,0.4109,0.4109,0.4636,0.4109,0.4332
58,0.4332,0.413,0.4291,0.4514,0.4312,0.4615,0.4575,0.4109,0.4109,0.4615,0.4109,0.4332
59,0.4332,0.4109,0.4514,0.4514,0.4413,0.4615,0.4534,0.4109,0.4109,0.4615,0.4109,0.4361
60,0.4332,0.4109,0.4514,0.4534,0.4514,0.4615,0.4555,0.4393,0.4109,0.4615,0.4109,0.4408
61,0.4332,0.4109,0.4514,0.4534,0.4514,0.4615,0.4555,0.4312,0.4109,0.4615,0.4109,0.4399
62,0.4332,0.4676,0.413,0.4534,0.4514,0.4636,0.417,0.4211,0.4109,0.4676,0.4109,0.4368
63,0.4332,0.4676,0.413,0.4534,0.4514,0.4636,0.4494,0.4028,0.417,0.4676,0.4028,0.439
64,0.4332,0.4676,0.4696,0.4534,0.4514,0.4636,0.4494,0.4615,0.417,0.4696,0.417,0.4519
65,0.4332,0.4676,0.4717,0.4534,0.4514,0.4636,0.4474,0.4575,0.417,0.4717,0.417,0.4514
66,0.4332,0.4676,0.4717,0.4534,0.4757,0.4636,0.4474,0.4271,0.417,0.4757,0.417,0.4507
67,0.4332,0.4676,0.4717,0.4514,0.4757,0.4636,0.4474,0.4393,0.417,0.4757,0.417,0.4519
68,0.4332,0.4676,0.4717,0.4534,0.4433,0.4636,0.4453,0.4393,0.4069,0.4717,0.4069,0.4471
69,0.4332,0.4676,0.4717,0.4534,0.4433,0.4636,0.4028,0.4393,0.4534,0.4717,0.4028,0.4476
70,0.4332,0.4676,0.4717,0.4534,0.4433,0.4636,0.4028,0.4393,0.413,0.4717,0.4028,0.4431
71,0.4332,0.4676,0.4534,0.4534,0.4433,0.4636,0.4514,0.4393,0.4393,0.4676,0.4332,0.4494
72,0.4332,0.4676,0.4717,0.4514,0.4433,0.4636,0.4656,0.4393,0.4069,0.4717,0.4069,0.4492
73,0.4332,0.4676,0.4717,0.4534,0.4433,0.4636,0.4636,0.4474,0.4291,0.4717,0.4291,0.4525
74,0.4332,0.4676,0.4717,0.4534,0.4534,0.4636,0.4636,0.4352,0.4575,0.4717,0.4332,0.4555
75,0.4372,0.4676,0.4737,0.4534,0.4534,0.4636,0.4636,0.4372,0.4575,0.4737,0.4372,0.4564
76,0.4372,0.4676,0.4757,0.4534,0.4534,0.4636,0.4534,0.415,0.4575,0.4757,0.415,0.453
77,0.0,0.4676,0.4737,0.4534,0.4534,0.4636,0.4636,0.417,0.4453,0.4737,0.417,0.4547
78,0.0,0.4676,0.4737,0.4534,0.4615,0.4636,0.4595,0.417,0.4494,0.4737,0.417,0.4557
79,0.4109,0.4676,0.4737,0.4534,0.4555,0.4636,0.4575,0.417,0.4453,0.4737,0.4109,0.4494
80,0.4251,0.4676,0.4494,0.4575,0.4636,0.4636,0.4575,0.417,0.4453,0.4676,0.417,0.4496
81,0.4271,0.4676,0.4534,0.4575,0.4717,0.4636,0.4575,0.417,0.4453,0.4717,0.417,0.4512
82,0.4393,0.4676,0.4534,0.4575,0.4717,0.4636,0.4575,0.4696,0.4453,0.4717,0.4393,0.4584
83,0.4595,0.4676,0.4534,0.4575,0.4717,0.4636,0.4575,0.4696,0.4453,0.4717,0.4453,0.4606
84,0.4312,0.4676,0.413,0.4575,0.4717,0.4636,0.4575,0.4696,0.4453,0.4717,0.413,0.453
85,0.4312,0.4676,0.4636,0.4575,0.4717,0.4636,0.4332,0.4696,0.4453,0.4717,0.4312,0.4559
86,0.4312,0.4676,0.4433,0.4575,0.4575,0.4636,0.4575,0.4696,0.4453,0.4696,0.4312,0.4548
87,0.4312,0.4676,0.4433,0.4575,0.4575,0.4636,0.4575,0.4696,0.4453,0.4696,0.4312,0.4548
88,0.4231,0.4676,0.4433,0.4474,0.4575,0.4636,0.4575,0.4696,0.4453,0.4696,0.4231,0.4528
89,0.4231,0.4676,0.4433,0.4474,0.4575,0.4636,0.4575,0.4696,0.4453,0.4696,0.4231,0.4528
90,0.4393,0.4676,0.4433,0.4474,0.4575,0.4636,0.4514,0.4696,0.4453,0.4696,0.4393,0.4539
91,0.417,0.4676,0.4433,0.4474,0.4575,0.4636,0.4514,0.4696,0.4453,0.4696,0.417,0.4514
92,0.417,0.4676,0.4453,0.4474,0.4575,0.4636,0.4089,0.4696,0.4453,0.4696,0.4089,0.4469
93,0.417,0.4615,0.4453,0.4312,0.4575,0.4636,0.415,0.4696,0.4453,0.4696,0.415,0.4451
94,0.417,0.4615,0.4453,0.4312,0.419,0.4636,0.4049,0.4696,0.4453,0.4696,0.4049,0.4397
95,0.417,0.4615,0.4028,0.4312,0.419,0.4636,0.4231,0.4696,0.419,0.4696,0.4028,0.4341
96,0.417,0.4615,0.4028,0.4312,0.4069,0.4636,0.4231,0.4696,0.4352,0.4696,0.4028,0.4345
97,0.417,0.4534,0.4534,0.4312,0.4312,0.4636,0.4231,0.4696,0.4352,0.4696,0.417,0.442
98,0.417,0.4534,0.4595,0.4312,0.4291,0.4636,0.4595,0.4696,0.4595,0.4696,0.417,0.4492
99,0.417,0.4534,0.4696,0.4312,0.4291,0.4636,0.4595,0.4696,0.4494,0.4696,0.417,0.4492
100,0.417,0.4534,0.0,0.4312,0.4291,0.4636,0.4656,0.4696,0.4534,0.4696,0.417,0.4479
101,0.417,0.4534,0.417,0.4312,0.4291,0.4636,0.4595,0.4696,0.4534,0.4696,0.417,0.4438
103,0.417,0.4534,0.417,0.4312,0.4291,0.4636,0.4595,0.4696,0.4534,0.4696,0.417,0.4438
104,0.417,0.4534,0.417,0.4494,0.4291,0.4636,0.4595,0.4696,0.4534,0.4696,0.417,0.4458
105,0.417,0.4534,0.417,0.4514,0.4291,0.4636,0.4595,0.4696,0.4534,0.4696,0.417,0.446
106,0.417,0.4534,0.417,0.4352,0.4291,0.4636,0.4332,0.4696,0.4636,0.4696,0.417,0.4424
107,0.417,0.4534,0.5,0.0,0.4291,0.4636,0.4514,0.4696,0.4636,0.5,0.417,0.456
108,0.417,0.4534,0.4352,0.4089,0.4291,0.4636,0.4413,0.4696,0.4636,0.4696,0.4089,0.4424
109,0.417,0.4534,0.4696,0.4028,0.4291,0.4636,0.4271,0.4696,0.4636,0.4696,0.4028,0.444
110,0.417,0.4534,0.4757,0.417,0.4291,0.4636,0.4049,0.4696,0.4636,0.4757,0.4049,0.4438
111,0.417,0.4474,0.4433,0.417,0.4291,0.4636,0.4049,0.4696,0.4636,0.4696,0.4049,0.4395
112,0.417,0.4474,0.4433,0.417,0.4291,0.4636,0.4049,0.4696,0.4636,0.4696,0.4049,0.4395
113,0.417,0.4474,0.4474,0.417,0.4291,0.4636,0.4474,0.4696,0.4636,0.4696,0.417,0.4447
114,0.417,0.4474,0.4453,0.417,0.4291,0.4615,0.4251,0.4696,0.4636,0.4696,0.417,0.4417
115,0.417,0.4474,0.4696,0.4393,0.4291,0.4615,0.4089,0.4696,0.4636,0.4696,0.4089,0.4451
116,0.417,0.4474,0.4636,0.4393,0.4291,0.4615,0.4372,0.4696,0.4636,0.4696,0.417,0.4476
117,0.417,0.4474,0.4676,0.4312,0.4291,0.4615,0.4372,0.4696,0.4636,0.4696,0.417,0.4471
118,0.417,0.4474,0.4676,0.4109,0.4291,0.4615,0.4372,0.4696,0.4636,0.4696,0.4109,0.4449
119,0.417,0.4372,0.4656,0.4372,0.4291,0.4615,0.4372,0.4696,0.4636,0.4696,0.417,0.4464
120,0.417,0.4372,0.4656,0.4372,0.4291,0.4615,0.4676,0.4696,0.4636,0.4696,0.417,0.4498
121,0.417,0.4372,0.4656,0.4575,0.4291,0.4615,0.4676,0.4696,0.4636,0.4696,0.417,0.4521
122,0.417,0.4372,0.4656,0.4575,0.4291,0.4615,0.4696,0.4696,0.4636,0.4696,0.417,0.4523
123,0.417,0.4696,0.4271,0.4575,0.4291,0.4615,0.4696,0.4696,0.4696,0.4696,0.417,0.4523
124,0.417,0.4696,0.415,0.4534,0.4393,0.4615,0.4696,0.4696,0.4696,0.4696,0.415,0.4516
125,0.417,0.4696,0.4757,0.4534,0.4393,0.4615,0.4696,0.4696,0.4696,0.4757,0.417,0.4584
126,0.417,0.4595,0.4757,0.4575,0.4717,0.4615,0.4696,0.4696,0.4696,0.4757,0.417,0.4613
127,0.417,0.4595,0.4636,0.4575,0.4717,0.4615,0.4575,0.4696,0.4696,0.4717,0.417,0.4586
128,0.417,0.4636,0.4636,0.4595,0.4717,0.4615,0.4575,0.4676,0.4696,0.4717,0.417,0.4591
129,0.417,0.4636,0.4757,0.4595,0.4636,0.4615,0.4575,0.4676,0.4696,0.4757,0.417,0.4595
130,0.417,0.4636,0.4757,0.4595,0.4453,0.4615,0.4575,0.4676,0.4696,0.4757,0.417,0.4575
131,0.417,0.4494,0.4757,0.4595,0.4453,0.4615,0.4575,0.4676,0.4696,0.4757,0.417,0.4559
132,0.417,0.4494,0.4717,0.4595,0.4453,0.4615,0.4615,0.4676,0.4696,0.4717,0.417,0.4559
133,0.417,0.4494,0.4717,0.4595,0.4453,0.4615,0.4615,0.4656,0.4615,0.4717,0.417,0.4548
134,0.417,0.4494,0.4494,0.4595,0.4453,0.4615,0.4615,0.4656,0.4615,0.4656,0.417,0.4523
135,0.417,0.4494,0.4595,0.4656,0.4453,0.4615,0.4615,0.4656,0.4615,0.4656,0.417,0.4541
136,0.417,0.4494,0.4595,0.4656,0.4453,0.4615,0.4595,0.4656,0.4615,0.4656,0.417,0.4539
137,0.417,0.4494,0.4595,0.4534,0.4453,0.4615,0.4595,0.4656,0.4615,0.4656,0.417,0.4525
138,0.417,0.4494,0.4615,0.4271,0.4211,0.4615,0.4575,0.4656,0.4595,0.4656,0.417,0.4467
139,0.417,0.4494,0.4615,0.4271,0.4372,0.4615,0.4575,0.4656,0.4595,0.4656,0.417,0.4485
140,0.417,0.4555,0.4615,0.4474,0.4534,0.4615,0.4575,0.4656,0.4595,0.4656,0.417,0.4532
141,0.417,0.4555,0.4615,0.4474,0.4534,0.4615,0.4575,0.4656,0.4595,0.4656,0.417,0.4532
142,0.417,0.4555,0.4636,0.4595,0.4534,0.4615,0.4575,0.4656,0.4595,0.4656,0.417,0.4548
143,0.417,0.4555,0.4615,0.4534,0.4838,0.4615,0.4575,0.4656,0.4595,0.4838,0.417,0.4573
144,0.417,0.4555,0.4615,0.4534,0.4636,0.4615,0.4494,0.4656,0.4595,0.4656,0.417,0.4541
145,0.417,0.4555,0.4615,0.4534,0.4717,0.4615,0.4494,0.4656,0.4595,0.4717,0.417,0.455
146,0.417,0.4555,0.4615,0.4534,0.4717,0.4615,0.4494,0.4656,0.4636,0.4717,0.417,0.4555
147,0.417,0.4555,0.4615,0.4534,0.4717,0.4615,0.4494,0.4595,0.4636,0.4717,0.417,0.4548
148,0.417,0.4555,0.4615,0.4534,0.4676,0.4615,0.4109,0.4595,0.4636,0.4676,0.4109,0.4501
150,0.417,0.4555,0.4615,0.4636,0.4615,0.4615,0.4109,0.4595,0.4636,0.4636,0.4109,0.4505
151,0.417,0.4555,0.4615,0.4717,0.4717,0.4615,0.4109,0.4656,0.4595,0.4717,0.4109,0.4528
152,0.417,0.4615,0.419,0.4717,0.4717,0.4615,0.4109,0.4656,0.4595,0.4717,0.4109,0.4487
153,0.417,0.4615,0.419,0.4717,0.4737,0.4615,0.4575,0.4656,0.4595,0.4737,0.417,0.4541
154,0.417,0.4615,0.4474,0.4717,0.4696,0.4615,0.4575,0.4656,0.4595,0.4717,0.417,0.4568
155,0.417,0.4615,0.4474,0.4717,0.4696,0.4615,0.4575,0.4656,0.4656,0.4717,0.417,0.4575
156,0.417,0.4615,0.4271,0.4656,0.4717,0.4615,0.4575,0.4656,0.4656,0.4717,0.417,0.4548
157,0.417,0.4615,0.4271,0.4534,0.4777,0.4615,0.4575,0.4656,0.4656,0.4777,0.417,0.4541
158,0.417,0.4595,0.4231,0.4534,0.4615,0.4636,0.4555,0.4656,0.4656,0.4656,0.417,0.4516
159,0.417,0.4595,0.4372,0.4656,0.4595,0.4636,0.4555,0.4656,0.4656,0.4656,0.417,0.4543
160,0.417,0.4595,0.4798,0.4534,0.4595,0.4636,0.4555,0.4656,0.4656,0.4798,0.417,0.4577
161,0.417,0.4595,0.4656,0.4534,0.4595,0.4636,0.4555,0.4656,0.4656,0.4656,0.417,0.4561
162,0.417,0.4595,0.4656,0.4534,0.4595,0.4615,0.4595,0.4656,0.4656,0.4656,0.417,0.4564
163,0.417,0.4534,0.4615,0.4534,0.417,0.4615,0.4595,0.4656,0.4656,0.4656,0.417,0.4505
164,0.417,0.4534,0.4372,0.4534,0.417,0.4595,0.4595,0.4676,0.4636,0.4676,0.417,0.4476
