timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
48,0.7561,0.7854,0.7293,0.7585,0.6976,0.7024,0.6537,0.7805,0.7366,0.8,0.8,0.6537,0.74
49,0.761,0.7927,0.7293,0.761,0.6976,0.7146,0.6537,0.7878,0.7366,0.8024,0.8024,0.6537,0.7437
50,0.761,0.7927,0.7293,0.761,0.7024,0.7146,0.6585,0.7878,0.7415,0.8049,0.8049,0.6585,0.7454
51,0.7634,0.7927,0.7341,0.7659,0.7024,0.7146,0.6634,0.7878,0.7415,0.8122,0.8122,0.6634,0.7478
52,0.7659,0.7927,0.7341,0.7659,0.7098,0.7146,0.6659,0.7878,0.7415,0.8195,0.8195,0.6659,0.7498
53,0.7683,0.7927,0.7341,0.7683,0.7098,0.7171,0.6707,0.7902,0.7415,0.8195,0.8195,0.6707,0.7512
54,0.7683,0.7927,0.7341,0.7683,0.7122,0.7341,0.6707,0.7927,0.7415,0.8195,0.8195,0.6707,0.7534
55,0.7707,0.7951,0.7341,0.7683,0.7122,0.7341,0.6976,0.7976,0.7439,0.8195,0.8195,0.6976,0.7573
56,0.7732,0.7976,0.7366,0.7732,0.7171,0.7341,0.6976,0.7976,0.7439,0.8195,0.8195,0.6976,0.759
57,0.7732,0.8,0.7366,0.7732,0.7195,0.7341,0.6976,0.7976,0.7537,0.8195,0.8195,0.6976,0.7605
58,0.7732,0.8,0.7366,0.7732,0.7195,0.7341,0.7146,0.7976,0.7537,0.822,0.822,0.7146,0.7625
59,0.7732,0.8,0.7366,0.7732,0.7195,0.7366,0.7171,0.7976,0.7537,0.8244,0.8244,0.7171,0.7632
60,0.7732,0.8024,0.7366,0.778,0.722,0.739,0.7171,0.8073,0.7537,0.8244,0.8244,0.7171,0.7654
61,0.7732,0.8024,0.7366,0.7854,0.722,0.739,0.7171,0.8122,0.7537,0.8244,0.8244,0.7171,0.7666
62,0.7732,0.8024,0.739,0.7854,0.722,0.739,0.722,0.8122,0.7537,0.8244,0.8244,0.722,0.7673
63,0.7732,0.8122,0.7415,0.7854,0.722,0.739,0.722,0.8122,0.7537,0.8244,0.8244,0.722,0.7686
64,0.7732,0.8122,0.7415,0.7854,0.722,0.7463,0.722,0.8122,0.7537,0.8244,0.8244,0.722,0.7693
65,0.7732,0.8122,0.7415,0.7902,0.722,0.7512,0.722,0.8122,0.7561,0.8244,0.8244,0.722,0.7705
66,0.7732,0.8122,0.7415,0.7927,0.7268,0.7537,0.7341,0.8171,0.7561,0.8244,0.8244,0.7268,0.7732
