timestamp,ohci1,ohci3,ohci6,ohci7,ohci9,ohci4,ohci0,ohci2,ohci5,ohci8,max,min,avg
1633371747,0.0526,0.0526,0.0,0.0,0.0,0.0526,0.0526,0.0526,0.0526,0.0,0.0526,0.0,0.0316
1633371751,0.0526,0.0526,0.0,0.0,0.0,0.0526,0.0526,0.0526,0.0526,0.0,0.0526,0.0,0.0316
1633371752,0.0526,0.0526,0.0,0.0,0.0,0.1053,0.0545,0.0526,0.1109,0.0,0.1109,0.0,0.0428
1633371753,0.0526,0.0526,0.0,0.0,0.0,0.1053,0.1109,0.0526,0.1109,0.0,0.1109,0.0,0.0485
1633371754,0.0526,0.0526,0.0,0.0,0.0,0.1053,0.1109,0.0526,0.1541,0.0,0.1541,0.0,0.0528
1633371755,0.0526,0.0602,0.0,0.0,0.0,0.1053,0.1222,0.0526,0.1541,0.0,0.1541,0.0,0.0547
1633371756,0.1071,0.1128,0.0,0.0,0.0,0.1109,0.1466,0.109,0.1541,0.0,0.1541,0.0,0.0741
1633371757,0.1071,0.1147,0.0,0.0,0.0,0.1165,0.1466,0.109,0.1541,0.0,0.1541,0.0,0.0748
1633371758,0.1071,0.1147,0.0,0.0,0.0,0.1165,0.1485,0.1147,0.156,0.0,0.156,0.0,0.0758
1633371759,0.1071,0.1147,0.0,0.0,0.0,0.1165,0.203,0.1147,0.156,0.0,0.203,0.0,0.0812
1633371760,0.1071,0.1654,0.0,0.0,0.0,0.1184,0.2086,0.1147,0.156,0.0,0.2086,0.0,0.087
1633371761,0.1071,0.1654,0.0,0.0,0.0,0.1184,0.2086,0.1147,0.156,0.0,0.2086,0.0,0.087
1633371762,0.1109,0.1654,0.0,0.0,0.0,0.1184,0.2105,0.1165,0.1598,0.0,0.2105,0.0,0.0881
1633371763,0.1109,0.1673,0.0,0.0,0.0,0.1203,0.2105,0.1165,0.2049,0.0,0.2105,0.0,0.093
1633371764,0.1109,0.1673,0.0,0.0,0.0,0.1203,0.2105,0.1184,0.2049,0.0,0.2105,0.0,0.0932
1633371765,0.1617,0.1673,0.0,0.0,0.0,0.1203,0.2105,0.1184,0.2049,0.0,0.2105,0.0,0.0983
1633371766,0.1617,0.1673,0.0,0.0,0.0,0.1203,0.2124,0.1184,0.2049,0.0,0.2124,0.0,0.0985
1633371767,0.1673,0.1673,0.0,0.0,0.0,0.1203,0.2124,0.1184,0.2068,0.0,0.2124,0.0,0.0993
