timestamp,legacy_xhci2,legacy_xhci6,legacy_xhci5,legacy_xhci1,legacy_xhci7,legacy_xhci0,legacy_xhci9,legacy_xhci8,legacy_xhci4,max,min,avg
27,0.4793,0.4815,0.4804,0.4826,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4819
28,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
29,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
30,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
32,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
33,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
34,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
35,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
36,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
37,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
38,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
39,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
40,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
41,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
42,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
43,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
44,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
45,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
46,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
47,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
48,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
49,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
50,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
51,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
52,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4761,0.4913,0.4848,0.4913,0.475,0.482
53,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4804,0.4913,0.4848,0.4913,0.475,0.4825
54,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4804,0.4913,0.4848,0.4913,0.475,0.4825
55,0.4793,0.4815,0.4804,0.4826,0.475,0.487,0.4804,0.4913,0.4848,0.4913,0.475,0.4825
56,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
57,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
58,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
59,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
60,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
61,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
62,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
63,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
64,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
65,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
66,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
67,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
68,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
70,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
71,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
72,0.4793,0.4815,0.4804,0.4826,0.475,0.4902,0.4804,0.4913,0.4848,0.4913,0.475,0.4828
73,0.4793,0.4815,0.4804,0.4826,0.4761,0.4902,0.4804,0.4913,0.4848,0.4913,0.4761,0.483
