timestamp,legacy_sb160,legacy_sb167,legacy_sb166,legacy_sb163,legacy_sb165,legacy_sb168,legacy_sb169,legacy_sb162,legacy_sb161,max,min,avg
51,0.4415,0.061,0.2122,0.2537,0.3341,0.2585,0.0634,0.4024,0.1,0.4415,0.061,0.2363
52,0.4415,0.0244,0.2122,0.2537,0.2634,0.2537,0.3195,0.3512,0.0927,0.4415,0.0244,0.2458
53,0.4415,0.2317,0.2951,0.2537,0.2415,0.2293,0.3195,0.3512,0.0463,0.4415,0.0463,0.2678
54,0.4415,0.2317,0.3415,0.2537,0.2415,0.1634,0.2585,0.3512,0.0878,0.4415,0.0878,0.2634
55,0.4415,0.2317,0.3415,0.2537,0.2415,0.1634,0.2512,0.3317,0.1805,0.4415,0.1634,0.2707
56,0.4415,0.2317,0.3415,0.2537,0.3829,0.0537,0.2317,0.2732,0.2073,0.4415,0.0537,0.2686
57,0.4415,0.2317,0.278,0.1122,0.3829,0.0512,0.2317,0.3268,0.1951,0.4415,0.0512,0.2501
58,0.4415,0.2317,0.2683,0.1122,0.3146,0.0244,0.2317,0.3268,0.0244,0.4415,0.0244,0.2195
59,0.4415,0.2317,0.1829,0.1122,0.2317,0.0244,0.2317,0.0878,0.0244,0.4415,0.0244,0.1743
60,0.4415,0.2317,0.322,0.1122,0.3805,0.2439,0.2317,0.3439,0.2732,0.4415,0.1122,0.2867
61,0.4366,0.2317,0.3463,0.1122,0.3732,0.2439,0.0634,0.3488,0.2585,0.4366,0.0634,0.2683
62,0.4366,0.2317,0.3463,0.1122,0.3146,0.2976,0.0463,0.2463,0.2585,0.4366,0.0463,0.2545
63,0.4366,0.2317,0.3463,0.0537,0.1049,0.2976,0.0512,0.2537,0.2415,0.4366,0.0512,0.2241
64,0.4366,0.2317,0.3463,0.1439,0.0244,0.2976,0.2707,0.2415,0.2415,0.4366,0.0244,0.2482
65,0.4366,0.2317,0.3439,0.1683,0.0244,0.2976,0.3171,0.2415,0.3293,0.4366,0.0244,0.2656
66,0.4366,0.2317,0.3439,0.1732,0.0244,0.2659,0.3171,0.2415,0.3146,0.4366,0.0244,0.261
67,0.4366,0.2317,0.3439,0.1732,0.0244,0.2659,0.3683,0.2415,0.2366,0.4366,0.0244,0.258
68,0.4244,0.2317,0.3439,0.1732,0.0244,0.2659,0.3683,0.0512,0.2585,0.4244,0.0244,0.2379
69,0.4244,0.2317,0.3439,0.1439,0.0244,0.2439,0.3683,0.0488,0.2537,0.4244,0.0244,0.2314
70,0.4244,0.2317,0.3439,0.1439,0.0244,0.0951,0.3659,0.0512,0.2634,0.4244,0.0244,0.216
71,0.4244,0.2317,0.2439,0.1488,0.1049,0.039,0.3537,0.239,0.2634,0.4244,0.039,0.2276
72,0.4244,0.2317,0.2439,0.1488,0.1976,0.0756,0.3537,0.0244,0.0244,0.4244,0.0244,0.1916
73,0.4244,0.2317,0.1902,0.1488,0.2951,0.1049,0.3537,0.1073,0.0244,0.4244,0.0244,0.2089
74,0.4244,0.2317,0.1902,0.1439,0.2951,0.2707,0.3537,0.2927,0.0244,0.4244,0.0244,0.2474
75,0.4244,0.2317,0.3439,0.1049,0.2951,0.0756,0.3512,0.2976,0.0244,0.4244,0.0244,0.2388
76,0.4244,0.2317,0.2634,0.1512,0.2951,0.1634,0.3512,0.3512,0.0244,0.4244,0.0244,0.2507
77,0.4024,0.2317,0.2634,0.2049,0.2951,0.2,0.3512,0.3463,0.0244,0.4024,0.0244,0.2577
78,0.4024,0.2317,0.2537,0.1488,0.2951,0.3561,0.3463,0.3463,0.0244,0.4024,0.0244,0.2672
79,0.4024,0.2317,0.2463,0.1488,0.3341,0.3024,0.339,0.3463,0.0244,0.4024,0.0244,0.2639
80,0.4024,0.2317,0.2463,0.1439,0.3341,0.2878,0.3366,0.3463,0.0244,0.4024,0.0244,0.2615
81,0.4024,0.2317,0.2317,0.1293,0.3341,0.378,0.3366,0.3073,0.3805,0.4024,0.1293,0.3035
82,0.4024,0.2317,0.1634,0.1195,0.3341,0.3659,0.2902,0.0805,0.3805,0.4024,0.0805,0.2631
83,0.4024,0.2317,0.2293,0.2854,0.3341,0.3659,0.2244,0.261,0.3805,0.4024,0.2244,0.3016
84,0.4024,0.2317,0.2366,0.2854,0.3341,0.3756,0.2244,0.0854,0.3805,0.4024,0.0854,0.284
85,0.4024,0.2317,0.2366,0.2854,0.3341,0.2732,0.3659,0.2537,0.3805,0.4024,0.2317,0.3071
86,0.4024,0.2317,0.1244,0.1683,0.3341,0.2683,0.3634,0.278,0.3805,0.4024,0.1244,0.2835
87,0.3366,0.2317,0.2049,0.1683,0.3341,0.2683,0.3634,0.2634,0.3805,0.3805,0.1683,0.2835
88,0.3366,0.2317,0.2537,0.1683,0.3341,0.2415,0.3268,0.2659,0.3805,0.3805,0.1683,0.2821
89,0.3366,0.2317,0.2537,0.1683,0.3341,0.2634,0.3268,0.2951,0.3805,0.3805,0.1683,0.2878
90,0.3366,0.2317,0.3512,0.1683,0.3341,0.2634,0.3073,0.1756,0.3805,0.3805,0.1683,0.2832
91,0.3366,0.2317,0.261,0.1195,0.3341,0.0463,0.3293,0.261,0.3805,0.3805,0.0463,0.2556
92,0.3341,0.2317,0.261,0.1561,0.3341,0.0463,0.1927,0.2634,0.3805,0.3805,0.0463,0.2444
93,0.3341,0.2317,0.261,0.1683,0.3341,0.378,0.3049,0.2707,0.322,0.378,0.1683,0.2894
94,0.3341,0.2317,0.261,0.1683,0.3341,0.378,0.1049,0.2707,0.322,0.378,0.1049,0.2672
95,0.3341,0.2317,0.261,0.1049,0.3341,0.378,0.222,0.2415,0.322,0.378,0.1049,0.2699
96,0.3341,0.2317,0.3463,0.1049,0.3341,0.3732,0.2732,0.078,0.322,0.3732,0.078,0.2664
97,0.3341,0.2317,0.3463,0.1049,0.3341,0.3732,0.2,0.2805,0.322,0.3732,0.1049,0.2808
98,0.3341,0.2317,0.3561,0.1049,0.3341,0.3732,0.2268,0.2634,0.322,0.3732,0.1049,0.2829
99,0.3341,0.2317,0.3634,0.1049,0.3341,0.3732,0.2268,0.278,0.322,0.3732,0.1049,0.2854
100,0.3341,0.2317,0.3634,0.1049,0.3341,0.3707,0.3073,0.278,0.322,0.3707,0.1049,0.294
101,0.3341,0.2317,0.3634,0.1049,0.3341,0.3634,0.3073,0.3561,0.322,0.3634,0.1049,0.3019
102,0.3341,0.2317,0.2561,0.361,0.3341,0.3634,0.3073,0.3561,0.3195,0.3634,0.2317,0.3181
103,0.3341,0.2317,0.1293,0.361,0.3341,0.3634,0.1634,0.3561,0.3195,0.3634,0.1293,0.2881
104,0.3341,0.2317,0.1293,0.361,0.3341,0.3634,0.1634,0.3561,0.3195,0.3634,0.1293,0.2881
105,0.3341,0.2317,0.3293,0.361,0.3341,0.2634,0.2,0.3561,0.3195,0.361,0.2,0.3032
106,0.3341,0.2317,0.3293,0.361,0.3341,0.2634,0.3268,0.3561,0.3195,0.361,0.2317,0.3173
107,0.3341,0.2317,0.3293,0.361,0.3341,0.2512,0.3268,0.3561,0.3195,0.361,0.2317,0.316
108,0.3341,0.2317,0.3293,0.361,0.3341,0.2512,0.2829,0.3561,0.3195,0.361,0.2317,0.3111
