timestamp,ati3,ati5,ati4,ati8,ati9,ati2,ati7,ati6,ati1,ati0,max,min,avg
50,0.7146,0.7275,0.6996,0.7082,0.7382,0.721,0.6781,0.7103,0.721,0.7124,0.7382,0.6781,0.7131
51,0.7146,0.7275,0.6996,0.7082,0.7382,0.721,0.6781,0.7103,0.721,0.7124,0.7382,0.6781,0.7131
52,0.7146,0.7275,0.6996,0.7082,0.7382,0.721,0.6781,0.7146,0.721,0.7124,0.7382,0.6781,0.7135
53,0.7146,0.7296,0.7039,0.7082,0.7382,0.721,0.6781,0.7146,0.721,0.7146,0.7382,0.6781,0.7144
54,0.7167,0.7296,0.7039,0.7103,0.7382,0.721,0.6781,0.7146,0.721,0.7146,0.7382,0.6781,0.7148
55,0.7167,0.7296,0.706,0.7103,0.7382,0.721,0.6781,0.7167,0.7253,0.7167,0.7382,0.6781,0.7159
56,0.7167,0.7318,0.706,0.7103,0.7382,0.721,0.6824,0.7167,0.7275,0.7167,0.7382,0.6824,0.7167
57,0.7167,0.7318,0.7103,0.7103,0.7382,0.721,0.6824,0.7167,0.7318,0.7167,0.7382,0.6824,0.7176
58,0.7167,0.7318,0.7103,0.7103,0.7382,0.721,0.6845,0.7189,0.7318,0.7167,0.7382,0.6845,0.718
59,0.7167,0.7318,0.7103,0.7103,0.7382,0.7232,0.6867,0.721,0.7339,0.7189,0.7382,0.6867,0.7191
60,0.7167,0.7318,0.7103,0.7103,0.7403,0.7296,0.6867,0.7232,0.7339,0.7189,0.7403,0.6867,0.7202
61,0.7167,0.7318,0.7103,0.7103,0.7403,0.7318,0.6867,0.7232,0.7339,0.7189,0.7403,0.6867,0.7204
62,0.7167,0.7318,0.7103,0.7103,0.7403,0.7318,0.6867,0.7232,0.7339,0.721,0.7403,0.6867,0.7206
63,0.7167,0.7318,0.7124,0.7103,0.7403,0.7318,0.7103,0.7232,0.7339,0.721,0.7403,0.7103,0.7232
64,0.7167,0.7318,0.7146,0.7103,0.7403,0.7339,0.7124,0.7232,0.7339,0.721,0.7403,0.7103,0.7238
65,0.7167,0.7318,0.7146,0.7232,0.7403,0.7339,0.7124,0.7275,0.7339,0.721,0.7403,0.7124,0.7255
66,0.7167,0.7318,0.7146,0.7232,0.7403,0.7339,0.7124,0.7275,0.7361,0.721,0.7403,0.7124,0.7258
67,0.7189,0.7318,0.7189,0.7232,0.7403,0.7361,0.7146,0.7275,0.7361,0.7232,0.7403,0.7146,0.7271
68,0.7189,0.7318,0.7189,0.7232,0.7446,0.7382,0.7146,0.7275,0.7361,0.7232,0.7446,0.7146,0.7277
69,0.7189,0.7318,0.7189,0.7232,0.7446,0.7403,0.7146,0.7275,0.7361,0.7232,0.7446,0.7146,0.7279
70,0.7253,0.7339,0.7189,0.7232,0.7446,0.7425,0.7167,0.7275,0.7361,0.7232,0.7446,0.7167,0.7292
71,0.7253,0.7339,0.7189,0.7232,0.7446,0.7425,0.7167,0.7318,0.7361,0.7232,0.7446,0.7167,0.7296
72,0.7253,0.7339,0.721,0.7253,0.7446,0.7425,0.7167,0.7361,0.7361,0.7232,0.7446,0.7167,0.7305
73,0.7253,0.7339,0.721,0.7253,0.7446,0.7425,0.7167,0.7361,0.7361,0.7232,0.7446,0.7167,0.7305
74,0.7253,0.7339,0.721,0.7253,0.7446,0.7425,0.7167,0.7361,0.7361,0.7232,0.7446,0.7167,0.7305
75,0.7253,0.7361,0.7253,0.7253,0.7446,0.7425,0.7167,0.7361,0.7361,0.7232,0.7446,0.7167,0.7311
76,0.7253,0.7361,0.7253,0.7253,0.7446,0.7425,0.7167,0.7361,0.7361,0.7253,0.7446,0.7167,0.7313
77,0.7253,0.7361,0.7275,0.7253,0.7468,0.7425,0.7189,0.7361,0.7361,0.7253,0.7468,0.7189,0.732
78,0.7296,0.7361,0.7275,0.7253,0.7468,0.7425,0.7189,0.7361,0.7361,0.7275,0.7468,0.7189,0.7326
79,0.7296,0.7403,0.7318,0.7253,0.7468,0.7446,0.7189,0.7361,0.7361,0.7275,0.7468,0.7189,0.7337
80,0.7318,0.7403,0.7318,0.7253,0.7468,0.7468,0.7189,0.7361,0.7361,0.7275,0.7468,0.7189,0.7341
81,0.7318,0.7403,0.7318,0.7253,0.7468,0.7468,0.7189,0.7361,0.7361,0.7275,0.7468,0.7189,0.7341
82,0.7318,0.7403,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7275,0.7511,0.721,0.7352
83,0.7318,0.7403,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7354
84,0.7318,0.7403,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7354
85,0.7318,0.7425,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7356
86,0.7339,0.7425,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7358
87,0.7339,0.7425,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7358
88,0.7339,0.7425,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7358
89,0.7339,0.7468,0.7361,0.7253,0.7468,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7363
90,0.7382,0.7468,0.7361,0.7253,0.7511,0.7511,0.721,0.7361,0.7361,0.7296,0.7511,0.721,0.7371
91,0.7382,0.7468,0.7361,0.7253,0.7511,0.7532,0.721,0.7361,0.7361,0.7296,0.7532,0.721,0.7373
92,0.7382,0.7468,0.7361,0.7253,0.7511,0.7532,0.721,0.7361,0.7361,0.7318,0.7532,0.721,0.7376
93,0.7382,0.7468,0.7361,0.7275,0.7511,0.7575,0.721,0.7361,0.7361,0.7339,0.7575,0.721,0.7384
94,0.7382,0.7468,0.7361,0.7296,0.7511,0.7575,0.721,0.7361,0.7361,0.7339,0.7575,0.721,0.7386
95,0.7382,0.7468,0.7361,0.7296,0.7532,0.7575,0.721,0.7361,0.7361,0.7339,0.7575,0.721,0.7389
96,0.7382,0.7468,0.7361,0.7296,0.7532,0.7575,0.7232,0.7361,0.7361,0.7382,0.7575,0.7232,0.7395
97,0.7382,0.7468,0.7361,0.7296,0.7532,0.7575,0.7232,0.7382,0.7361,0.7382,0.7575,0.7232,0.7397
98,0.7382,0.7468,0.7361,0.7296,0.7532,0.7575,0.7275,0.7382,0.7361,0.7382,0.7575,0.7275,0.7401
99,0.7382,0.7468,0.7361,0.7296,0.7532,0.7575,0.7275,0.7382,0.7361,0.7382,0.7575,0.7275,0.7401
100,0.7403,0.7468,0.7361,0.7339,0.7532,0.7575,0.7275,0.7382,0.7361,0.7382,0.7575,0.7275,0.7408
101,0.7425,0.7489,0.7382,0.7339,0.7532,0.7597,0.7275,0.7382,0.7361,0.7382,0.7597,0.7275,0.7416
102,0.7425,0.7489,0.7425,0.7339,0.7532,0.7597,0.7275,0.7382,0.7361,0.7382,0.7597,0.7275,0.7421
103,0.7425,0.7489,0.7425,0.7339,0.7532,0.7597,0.7275,0.7382,0.7361,0.7382,0.7597,0.7275,0.7421
104,0.7425,0.7511,0.7425,0.7339,0.7532,0.7597,0.7275,0.7382,0.7382,0.7382,0.7597,0.7275,0.7425
105,0.7425,0.7511,0.7425,0.7361,0.7532,0.7597,0.7275,0.7382,0.7382,0.7382,0.7597,0.7275,0.7427
106,0.7425,0.7511,0.7425,0.7361,0.7554,0.7597,0.7275,0.7382,0.7382,0.7382,0.7597,0.7275,0.7429
107,0.7446,0.7532,0.7446,0.7361,0.7554,0.7597,0.7275,0.7382,0.7382,0.7403,0.7597,0.7275,0.7438
108,0.7489,0.7532,0.7446,0.7403,0.7554,0.7597,0.7275,0.7382,0.7382,0.7425,0.7597,0.7275,0.7449
109,0.7489,0.7532,0.7446,0.7403,0.7554,0.7597,0.7275,0.7382,0.7382,0.7446,0.7597,0.7275,0.7451
110,0.7489,0.7554,0.7446,0.7403,0.7554,0.7597,0.7403,0.7382,0.7382,0.7446,0.7597,0.7382,0.7466
111,0.7489,0.7597,0.7446,0.7403,0.7554,0.7618,0.7403,0.7382,0.7382,0.7446,0.7618,0.7382,0.7472
112,0.7489,0.7597,0.7446,0.7403,0.7554,0.7618,0.7403,0.7382,0.7382,0.7446,0.7618,0.7382,0.7472
113,0.7511,0.7597,0.7446,0.7403,0.7554,0.7618,0.7403,0.7382,0.7382,0.7446,0.7618,0.7382,0.7474
114,0.7511,0.7597,0.7446,0.7425,0.7554,0.7618,0.7425,0.7382,0.7382,0.7446,0.7618,0.7382,0.7479
115,0.7511,0.7597,0.7446,0.7425,0.7597,0.7618,0.7425,0.7382,0.7382,0.7446,0.7618,0.7382,0.7483
116,0.7511,0.7597,0.7446,0.7446,0.7597,0.7618,0.7425,0.7382,0.7382,0.7446,0.7618,0.7382,0.7485
117,0.7511,0.7597,0.7468,0.7446,0.7597,0.7618,0.7425,0.7382,0.7382,0.7446,0.7618,0.7382,0.7487
118,0.7511,0.7597,0.7468,0.7446,0.7597,0.7618,0.7425,0.7382,0.7382,0.7446,0.7618,0.7382,0.7487
119,0.7511,0.7597,0.7468,0.7468,0.7597,0.7618,0.7425,0.7382,0.7403,0.7446,0.7618,0.7382,0.7491
120,0.7511,0.7597,0.7468,0.7468,0.7597,0.7618,0.7489,0.7382,0.7403,0.7446,0.7618,0.7382,0.7498
121,0.7511,0.7597,0.7468,0.7468,0.7597,0.7618,0.7489,0.7382,0.7403,0.7446,0.7618,0.7382,0.7498
122,0.7511,0.7597,0.7468,0.7489,0.7597,0.7618,0.7489,0.7382,0.7403,0.7446,0.7618,0.7382,0.75
123,0.7511,0.7597,0.7468,0.7489,0.7597,0.7618,0.7489,0.7382,0.7403,0.7446,0.7618,0.7382,0.75
124,0.7511,0.7597,0.7489,0.7489,0.7639,0.7618,0.7489,0.7382,0.7403,0.7446,0.7639,0.7382,0.7506
125,0.7511,0.7597,0.7489,0.7489,0.7639,0.7618,0.7489,0.7425,0.7403,0.7446,0.7639,0.7403,0.7511
126,0.7511,0.7597,0.7489,0.7489,0.7682,0.7639,0.7511,0.7425,0.7403,0.7446,0.7682,0.7403,0.7519
127,0.7511,0.7597,0.7511,0.7489,0.7682,0.7639,0.7532,0.7425,0.7403,0.7446,0.7682,0.7403,0.7523
128,0.7511,0.7618,0.7511,0.7511,0.7682,0.7639,0.7554,0.7425,0.7403,0.7446,0.7682,0.7403,0.753
129,0.7511,0.7618,0.7511,0.7532,0.7682,0.7639,0.7554,0.7425,0.7403,0.7446,0.7682,0.7403,0.7532
130,0.7511,0.7704,0.7511,0.7532,0.7682,0.7639,0.7554,0.7425,0.7403,0.7468,0.7704,0.7403,0.7543
131,0.7511,0.7704,0.7511,0.7532,0.7682,0.7639,0.7554,0.7425,0.7403,0.7468,0.7704,0.7403,0.7543
132,0.7511,0.7704,0.7511,0.7532,0.7682,0.7639,0.7554,0.7446,0.7403,0.7468,0.7704,0.7403,0.7545
133,0.7511,0.7704,0.7511,0.7532,0.7725,0.7639,0.7554,0.7446,0.7403,0.7468,0.7725,0.7403,0.7549
134,0.7511,0.7704,0.7511,0.7532,0.7725,0.7639,0.7554,0.7446,0.7403,0.7468,0.7725,0.7403,0.7549
135,0.7511,0.7704,0.7511,0.7532,0.7747,0.7661,0.7554,0.7446,0.7403,0.7468,0.7747,0.7403,0.7554
136,0.7511,0.7704,0.7511,0.7532,0.7747,0.7661,0.7554,0.7446,0.7403,0.7468,0.7747,0.7403,0.7554
137,0.7511,0.7704,0.7511,0.7532,0.7747,0.7661,0.7554,0.7468,0.7403,0.7468,0.7747,0.7403,0.7556
138,0.7511,0.7704,0.7511,0.7554,0.7768,0.7661,0.7554,0.7468,0.7403,0.7468,0.7768,0.7403,0.756
139,0.7511,0.7725,0.7511,0.7597,0.7768,0.7661,0.7554,0.7511,0.7403,0.7468,0.7768,0.7403,0.7571
140,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7511,0.7403,0.7468,0.779,0.7403,0.7575
141,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7511,0.7403,0.7489,0.779,0.7403,0.7577
142,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7511,0.7403,0.7489,0.779,0.7403,0.7577
143,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7511,0.7403,0.7489,0.779,0.7403,0.7577
144,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7532,0.7403,0.7489,0.779,0.7403,0.7579
145,0.7511,0.7725,0.7532,0.7597,0.779,0.7661,0.7554,0.7532,0.7403,0.7489,0.779,0.7403,0.7579
146,0.7511,0.7725,0.7532,0.7597,0.7811,0.7682,0.7597,0.7554,0.7403,0.7532,0.7811,0.7403,0.7594
147,0.7511,0.7725,0.7532,0.7597,0.7811,0.7682,0.7597,0.7618,0.7403,0.7532,0.7811,0.7403,0.7601
148,0.7511,0.7725,0.7532,0.7618,0.7811,0.7747,0.7597,0.7618,0.7403,0.7532,0.7811,0.7403,0.7609
149,0.7511,0.7725,0.7532,0.7618,0.7833,0.7747,0.7597,0.7618,0.7403,0.7532,0.7833,0.7403,0.7612
150,0.7511,0.7747,0.7532,0.7618,0.7833,0.7747,0.7597,0.7618,0.7403,0.7554,0.7833,0.7403,0.7616
151,0.7511,0.7747,0.7532,0.7618,0.7833,0.7747,0.7597,0.7618,0.7403,0.7554,0.7833,0.7403,0.7616
152,0.7511,0.7747,0.7532,0.7618,0.7833,0.7747,0.7597,0.7618,0.7403,0.7554,0.7833,0.7403,0.7616
153,0.7511,0.7747,0.7532,0.7618,0.7833,0.7747,0.7597,0.7661,0.7403,0.7554,0.7833,0.7403,0.762
154,0.7511,0.7747,0.7532,0.7618,0.7833,0.7768,0.7597,0.7661,0.7403,0.7554,0.7833,0.7403,0.7622
155,0.7554,0.7747,0.7532,0.7618,0.7833,0.7768,0.7597,0.7661,0.7403,0.7554,0.7833,0.7403,0.7627
156,0.7575,0.7747,0.7532,0.7618,0.7833,0.7768,0.7597,0.7661,0.7403,0.7554,0.7833,0.7403,0.7629
157,0.7575,0.7747,0.7532,0.7618,0.7833,0.7768,0.7597,0.7661,0.7403,0.7554,0.7833,0.7403,0.7629
158,0.7575,0.7747,0.7532,0.7618,0.7833,0.7768,0.7597,0.7661,0.7403,0.7618,0.7833,0.7403,0.7635
159,0.7575,0.779,0.7532,0.7618,0.7833,0.7768,0.7597,0.7682,0.7403,0.7618,0.7833,0.7403,0.7642
160,0.7575,0.779,0.7532,0.7661,0.7876,0.7768,0.7597,0.7682,0.7403,0.7618,0.7876,0.7403,0.765
161,0.7575,0.779,0.7532,0.7704,0.7876,0.7768,0.7597,0.7682,0.7403,0.7618,0.7876,0.7403,0.7654
162,0.7575,0.779,0.7532,0.7704,0.7897,0.779,0.7597,0.7682,0.7403,0.7618,0.7897,0.7403,0.7659
163,0.7575,0.7811,0.7532,0.7704,0.7897,0.779,0.7597,0.7682,0.7403,0.7618,0.7897,0.7403,0.7661
164,0.7575,0.7811,0.7532,0.7704,0.7897,0.779,0.7597,0.7704,0.7403,0.7618,0.7897,0.7403,0.7663
165,0.7575,0.7811,0.7532,0.7704,0.7897,0.779,0.7597,0.7704,0.7403,0.7618,0.7897,0.7403,0.7663
166,0.7575,0.7811,0.7532,0.7704,0.7897,0.779,0.7597,0.7704,0.7403,0.7618,0.7897,0.7403,0.7663
167,0.7575,0.7811,0.7532,0.7704,0.7897,0.7811,0.7597,0.7704,0.7403,0.7618,0.7897,0.7403,0.7665
168,0.7575,0.7833,0.7532,0.7704,0.7918,0.7811,0.7597,0.7704,0.7425,0.7618,0.7918,0.7425,0.7672
169,0.7575,0.7833,0.7532,0.7704,0.7918,0.7833,0.7597,0.7704,0.7468,0.7618,0.7918,0.7468,0.7678
