timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
50,0.3986,0.4203,0.3406,0.3696,0.4058,0.0652,0.3188,0.4928,0.6159,0.6159,0.0652,0.3808
51,0.2899,0.3188,0.3261,0.2609,0.2754,0.0652,0.3406,0.4928,0.6159,0.6159,0.0652,0.3317
52,0.0,0.3261,0.3261,0.2609,0.442,0.2609,0.3406,0.4565,0.6159,0.6159,0.2609,0.3366
53,0.0,0.3261,0.0,0.2609,0.2464,0.2826,0.3188,0.442,0.6159,0.6159,0.2464,0.277
54,0.4203,0.3261,0.2971,0.2609,0.3188,0.2826,0.3188,0.442,0.6159,0.6159,0.2609,0.3647
55,0.4203,0.0,0.2971,0.2609,0.5,0.2826,0.3188,0.4203,0.6159,0.6159,0.2609,0.3462
56,0.2971,0.0,0.2609,0.2609,0.3188,0.4783,0.3188,0.442,0.6087,0.6087,0.2609,0.3317
57,0.2971,0.4638,0.4348,0.6812,0.2174,0.4783,0.3188,0.442,0.6087,0.6812,0.2174,0.438
58,0.4058,0.3478,0.0,0.3261,0.4565,0.4783,0.3188,0.442,0.6087,0.6087,0.3188,0.376
59,0.4058,0.3478,0.413,0.3188,0.4275,0.4783,0.3406,0.4783,0.6087,0.6087,0.3188,0.4243
60,0.3986,0.3478,0.413,0.3841,0.4275,0.4783,0.3116,0.4783,0.6087,0.6087,0.3116,0.4275
61,0.3986,0.3478,0.413,0.442,0.4275,0.4783,0.3116,0.4783,0.6087,0.6087,0.3116,0.434
62,0.3478,0.2609,0.413,0.2899,0.4275,0.4783,0.3116,0.4783,0.6087,0.6087,0.2609,0.4018
63,0.3478,0.3188,0.413,0.2971,0.4275,0.4783,0.3551,0.471,0.6087,0.6087,0.2971,0.413
64,0.2174,0.3188,0.3623,0.2971,0.4275,0.4783,0.4855,0.471,0.6087,0.6087,0.2174,0.4074
65,0.2971,0.3188,0.3623,0.2971,0.6159,0.4783,0.4638,0.471,0.6087,0.6159,0.2971,0.4348
66,0.3406,0.3188,0.4348,0.2971,0.6159,0.4783,0.4638,0.471,0.6087,0.6159,0.2971,0.4477
67,0.4783,0.3188,0.3333,0.2536,0.471,0.4783,0.4348,0.4783,0.6087,0.6087,0.2536,0.4283
68,0.4275,0.4783,0.3333,0.3478,0.4275,0.4783,0.4493,0.4783,0.6087,0.6087,0.3333,0.4477
69,0.442,0.4783,0.3333,0.4058,0.4275,0.4565,0.4275,0.0,0.6087,0.6087,0.3333,0.3977
70,0.3551,0.5217,0.3333,0.4058,0.4275,0.4565,0.4275,0.2246,0.6087,0.6087,0.2246,0.4179
