timestamp,ohci6,ohci4,ohci0,ohci9,ohci8,ohci7,ohci1,ohci2,ohci5,ohci3,max,min,avg
48,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
49,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
50,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
51,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
52,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
53,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
54,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
55,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
56,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
57,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
58,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
59,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
60,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
61,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
62,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
63,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
64,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
65,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
66,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
67,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
68,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
69,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
