timestamp,legacy_ac971,legacy_ac972,legacy_ac979,legacy_ac977,legacy_ac973,legacy_ac970,legacy_ac976,legacy_ac978,legacy_ac975,legacy_ac974,max,min,avg
47,0.4235,0.3087,0.4208,0.4399,0.1011,0.4126,0.429,0.4699,0.0,0.541,0.541,0.1011,0.3546
48,0.3962,0.3087,0.4208,0.0,0.1011,0.4071,0.429,0.4645,0.0,0.541,0.541,0.1011,0.3068
49,0.5109,0.3087,0.418,0.0,0.3661,0.4071,0.4262,0.4645,0.0,0.5383,0.5383,0.3087,0.344
50,0.2923,0.2896,0.3415,0.3306,0.3661,0.4071,0.3825,0.4399,0.3989,0.5027,0.5027,0.2896,0.3751
51,0.2923,0.123,0.3415,0.4044,0.1694,0.4016,0.1093,0.4344,0.3989,0.5027,0.5027,0.1093,0.3177
52,0.1667,0.123,0.3415,0.3415,0.1694,0.4016,0.1093,0.3798,0.3989,0.4699,0.4699,0.1093,0.2902
53,0.1667,0.123,0.3552,0.0,0.1694,0.1421,0.1093,0.3798,0.2514,0.388,0.388,0.1093,0.2085
54,0.2486,0.4699,0.1066,0.1503,0.3361,0.1393,0.1421,0.276,0.0,0.3825,0.4699,0.1066,0.2251
55,0.1913,0.459,0.1585,0.1448,0.3361,0.4262,0.1421,0.276,0.2596,0.4645,0.4645,0.1421,0.2858
56,0.1913,0.459,0.1585,0.2322,0.4399,0.2568,0.1421,0.276,0.123,0.4645,0.4645,0.123,0.2743
57,0.1913,0.459,0.1585,0.1749,0.4399,0.2951,0.1421,0.0902,0.2514,0.4645,0.4645,0.0902,0.2667
58,0.4317,0.459,0.1175,0.2158,0.4399,0.112,0.1421,0.0902,0.2514,0.4645,0.4645,0.0902,0.2724
59,0.4317,0.459,0.1257,0.2842,0.4399,0.1093,0.1421,0.1339,0.2514,0.1667,0.459,0.1093,0.2544
60,0.4317,0.0792,0.1257,0.3825,0.4399,0.1093,0.1175,0.1339,0.2514,0.1667,0.4399,0.0792,0.2238
61,0.4317,0.0792,0.1776,0.3907,0.4399,0.3033,0.0,0.1339,0.2514,0.1667,0.4399,0.0792,0.2374
62,0.4317,0.0792,0.1421,0.1311,0.4372,0.3033,0.0,0.1339,0.2514,0.1667,0.4372,0.0792,0.2077
63,0.4317,0.0792,0.2596,0.306,0.0,0.1066,0.0,0.1339,0.2514,0.1667,0.4317,0.0792,0.1735
64,0.4317,0.0792,0.2596,0.4044,0.3552,0.377,0.4399,0.4672,0.1639,0.1667,0.4672,0.0792,0.3145
65,0.4536,0.5055,0.2596,0.4044,0.3552,0.3716,0.4399,0.4672,0.1639,0.1667,0.5055,0.1639,0.3588
66,0.4454,0.5055,0.4399,0.4044,0.3552,0.1448,0.4481,0.4672,0.4454,0.1667,0.5055,0.1448,0.3823
67,0.4454,0.5055,0.3798,0.3525,0.4153,0.3388,0.4481,0.4645,0.4454,0.1667,0.5055,0.1667,0.3962
68,0.1667,0.2131,0.123,0.1421,0.4153,0.2623,0.4481,0.5219,0.3689,0.5492,0.5492,0.123,0.3211
69,0.2077,0.2131,0.123,0.1421,0.4399,0.3716,0.4481,0.5219,0.0,0.4754,0.5219,0.123,0.2943
70,0.4071,0.5164,0.1776,0.1421,0.4399,0.3716,0.4481,0.4645,0.3005,0.4754,0.5164,0.1421,0.3743
71,0.0,0.5164,0.1776,0.4399,0.4399,0.5383,0.4481,0.4645,0.0,0.5437,0.5437,0.1776,0.3568
72,0.4071,0.5164,0.418,0.4399,0.3443,0.5383,0.4126,0.4645,0.0,0.5437,0.5437,0.3443,0.4085
73,0.1503,0.5164,0.418,0.4399,0.3443,0.4617,0.4208,0.4508,0.0,0.1421,0.5164,0.1421,0.3344
74,0.3579,0.5164,0.1366,0.4399,0.3388,0.4617,0.4208,0.4508,0.0,0.1393,0.5164,0.1366,0.3262
75,0.3579,0.5164,0.1366,0.2186,0.3197,0.4617,0.4208,0.4344,0.1311,0.1749,0.5164,0.1311,0.3172
76,0.3579,0.5164,0.4699,0.1858,0.3197,0.4372,0.3716,0.4071,0.1557,0.1749,0.5164,0.1557,0.3396
77,0.4973,0.5082,0.4699,0.3224,0.3989,0.3989,0.3716,0.4071,0.224,0.1749,0.5082,0.1749,0.3773
78,0.4973,0.4945,0.4699,0.2077,0.3989,0.3989,0.3716,0.4617,0.224,0.1749,0.4973,0.1749,0.3699
79,0.4973,0.4945,0.4699,0.2077,0.3989,0.3989,0.3333,0.4617,0.224,0.582,0.582,0.2077,0.4068
80,0.4891,0.4945,0.4699,0.2077,0.3989,0.3989,0.3333,0.4426,0.224,0.582,0.582,0.2077,0.4041
81,0.4891,0.2814,0.4699,0.3716,0.1885,0.3989,0.3333,0.4426,0.224,0.582,0.582,0.1885,0.3781
82,0.4891,0.1366,0.4699,0.3716,0.4836,0.2623,0.2978,0.4399,0.224,0.6011,0.6011,0.1366,0.3776
83,0.4617,0.429,0.4699,0.3716,0.4836,0.123,0.2869,0.3552,0.224,0.6011,0.6011,0.123,0.3806
84,0.4536,0.429,0.4508,0.3716,0.4836,0.123,0.2869,0.3552,0.0,0.6011,0.6011,0.123,0.3555
85,0.4536,0.429,0.4126,0.3716,0.4836,0.2459,0.2869,0.4317,0.3251,0.6011,0.6011,0.2459,0.4041
86,0.1667,0.2541,0.4098,0.3716,0.4836,0.4672,0.4399,0.1093,0.4863,0.5984,0.5984,0.1093,0.3787
87,0.1831,0.276,0.3661,0.6011,0.4836,0.4672,0.4399,0.1093,0.2896,0.5984,0.6011,0.1093,0.3814
88,0.1831,0.276,0.3661,0.6011,0.1257,0.4672,0.4399,0.1093,0.2896,0.5984,0.6011,0.1093,0.3456
89,0.1831,0.276,0.5246,0.6011,0.1257,0.4672,0.4399,0.1093,0.2896,0.5984,0.6011,0.1093,0.3615
90,0.1831,0.276,0.5246,0.6011,0.4508,0.4672,0.4399,0.1093,0.2896,0.5984,0.6011,0.1093,0.394
