timestamp,legacy_intel_hda5,legacy_intel_hda1,legacy_intel_hda0,legacy_intel_hda9,legacy_intel_hda2,legacy_intel_hda3,legacy_intel_hda8,legacy_intel_hda4,legacy_intel_hda7,legacy_intel_hda6,max,min,avg
53,0.1478,0.1652,0.213,0.2478,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1217,0.2291
54,0.1478,0.1652,0.213,0.2174,0.2826,0.3739,0.2478,0.1826,0.1217,0.2957,0.3739,0.1217,0.2248
55,0.1652,0.1652,0.213,0.2174,0.2826,0.3,0.2478,0.1826,0.1217,0.2957,0.3,0.1217,0.2191
56,0.1478,0.1652,0.213,0.1304,0.2826,0.3,0.2478,0.1826,0.1217,0.2957,0.3,0.1217,0.2087
57,0.1565,0.1652,0.213,0.1217,0.2826,0.3,0.2478,0.1826,0.1217,0.3,0.3,0.1217,0.2091
59,0.1565,0.1652,0.213,0.1217,0.2826,0.3,0.2478,0.1826,0.1217,0.3,0.3,0.1217,0.2091
60,0.1217,0.1652,0.213,0.1217,0.2826,0.3,0.2478,0.1826,0.1217,0.3,0.3,0.1217,0.2056
61,0.1174,0.213,0.213,0.1217,0.2826,0.3,0.2478,0.1826,0.1217,0.3,0.3,0.1174,0.21
62,0.1174,0.213,0.213,0.2,0.2826,0.3,0.2478,0.1826,0.1217,0.3,0.3,0.1174,0.2178
63,0.1174,0.213,0.213,0.2,0.2826,0.3,0.2478,0.1826,0.1217,0.213,0.3,0.1174,0.2091
64,0.1174,0.213,0.213,0.2391,0.2783,0.3,0.2478,0.1826,0.1217,0.213,0.3,0.1174,0.2126
65,0.1174,0.213,0.213,0.2435,0.2783,0.3,0.2478,0.1826,0.1217,0.213,0.3,0.1174,0.213
66,0.1174,0.213,0.213,0.2435,0.2783,0.3,0.2478,0.1826,0.1217,0.213,0.3,0.1174,0.213
67,0.1826,0.213,0.213,0.2913,0.2783,0.3,0.2478,0.1826,0.1217,0.2696,0.3,0.1217,0.23
68,0.1826,0.213,0.213,0.2913,0.2783,0.3,0.2478,0.1826,0.1217,0.1304,0.3,0.1217,0.2161
69,0.1522,0.213,0.213,0.2913,0.2783,0.3,0.2478,0.1826,0.1217,0.1304,0.3,0.1217,0.213
70,0.1478,0.213,0.213,0.2913,0.2783,0.3,0.2478,0.1826,0.1217,0.1304,0.3,0.1217,0.2126
72,0.1609,0.1217,0.213,0.2913,0.2783,0.3,0.2478,0.1826,0.1217,0.1304,0.3,0.1217,0.2048
73,0.1609,0.1217,0.213,0.1826,0.2783,0.3,0.2478,0.1826,0.1217,0.1304,0.3,0.1217,0.1939
74,0.1609,0.1217,0.213,0.1826,0.2783,0.3,0.2478,0.1826,0.1217,0.2391,0.3,0.1217,0.2048
75,0.1609,0.1217,0.213,0.1826,0.2783,0.3,0.2478,0.1826,0.1217,0.2391,0.3,0.1217,0.2048
76,0.1609,0.1217,0.213,0.1826,0.1304,0.3,0.2478,0.1826,0.1217,0.2391,0.3,0.1217,0.19
77,0.1609,0.2087,0.2087,0.1826,0.1304,0.3,0.1217,0.1826,0.2609,0.2391,0.3,0.1217,0.1996
78,0.1783,0.2,0.1217,0.1826,0.1304,0.2087,0.1217,0.1826,0.2609,0.2391,0.2609,0.1217,0.1826
79,0.1783,0.2,0.2087,0.1826,0.1304,0.2087,0.2435,0.1783,0.2609,0.2391,0.2609,0.1304,0.2031
80,0.2087,0.2,0.2087,0.1826,0.2565,0.2087,0.2435,0.1783,0.2609,0.2087,0.2609,0.1783,0.2157
82,0.2087,0.2348,0.2087,0.1826,0.2565,0.2087,0.2565,0.1783,0.2609,0.2087,0.2609,0.1783,0.2204
83,0.2087,0.2348,0.2087,0.1826,0.2522,0.2087,0.2565,0.1783,0.2609,0.2087,0.2609,0.1783,0.22
84,0.2087,0.2348,0.2609,0.3174,0.2522,0.1826,0.2565,0.1783,0.2609,0.2087,0.3174,0.1783,0.2361
85,0.2087,0.2348,0.1696,0.3174,0.2522,0.1826,0.2565,0.1217,0.2609,0.2087,0.3174,0.1217,0.2213
86,0.2087,0.2348,0.1391,0.3174,0.2522,0.1826,0.2565,0.1826,0.2609,0.2087,0.3174,0.1391,0.2243
87,0.2087,0.2348,0.1391,0.3174,0.2522,0.1826,0.2565,0.0,0.2609,0.1435,0.3174,0.1391,0.1996
88,0.2391,0.2348,0.1391,0.3174,0.2522,0.1826,0.2565,0.0,0.2609,0.1435,0.3174,0.1391,0.2026
89,0.2391,0.2348,0.1391,0.2391,0.2522,0.1826,0.2565,0.0,0.2609,0.1435,0.2609,0.1391,0.1948
90,0.2087,0.2348,0.1391,0.2391,0.2522,0.1826,0.2565,0.0,0.2609,0.1435,0.2609,0.1391,0.1917
91,0.2087,0.2348,0.2391,0.2391,0.2522,0.3739,0.2565,0.0,0.2609,0.1435,0.3739,0.1435,0.2209
92,0.2087,0.2348,0.2391,0.2391,0.2522,0.3739,0.2565,0.0,0.2609,0.2391,0.3739,0.2087,0.2304
93,0.1348,0.2348,0.2391,0.2391,0.3,0.3739,0.2565,0.0,0.2609,0.2391,0.3739,0.1348,0.2278
94,0.1913,0.2348,0.2391,0.2391,0.3,0.3739,0.2565,0.0,0.2609,0.2391,0.3739,0.1913,0.2335
95,0.1913,0.2348,0.2391,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.2391,0.3739,0.1826,0.2517
96,0.2348,0.2348,0.2391,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.2391,0.3739,0.1826,0.2561
97,0.2087,0.2348,0.2391,0.2,0.3,0.3739,0.2565,0.1826,0.2609,0.2391,0.3739,0.1826,0.2496
98,0.2304,0.3696,0.2391,0.2,0.3,0.3739,0.2565,0.1826,0.2609,0.2391,0.3739,0.1826,0.2652
99,0.0,0.3696,0.2391,0.1783,0.3,0.3739,0.2565,0.1826,0.2609,0.2913,0.3739,0.1783,0.2452
100,0.2,0.3696,0.2391,0.1783,0.3,0.3739,0.2087,0.1826,0.2609,0.2348,0.3739,0.1783,0.2548
101,0.1522,0.3696,0.2391,0.1783,0.3,0.3739,0.2087,0.1826,0.2609,0.2348,0.3739,0.1522,0.25
102,0.1522,0.3696,0.2391,0.1783,0.3,0.3739,0.2087,0.1826,0.2609,0.3174,0.3739,0.1522,0.2583
103,0.1522,0.3696,0.3783,0.2348,0.3,0.3739,0.2087,0.1826,0.2609,0.3174,0.3783,0.1522,0.2778
104,0.1522,0.3696,0.3783,0.2348,0.3,0.3,0.2087,0.1826,0.2609,0.3174,0.3783,0.1522,0.2704
105,0.1522,0.3696,0.3783,0.2957,0.3,0.3,0.2087,0.1826,0.2609,0.3174,0.3783,0.1522,0.2765
106,0.1522,0.287,0.3783,0.2957,0.3,0.3,0.2087,0.2478,0.2609,0.3174,0.3783,0.1522,0.2748
107,0.5348,0.287,0.3783,0.2,0.3,0.3,0.2043,0.187,0.2609,0.3174,0.5348,0.187,0.297
108,0.5348,0.287,0.3783,0.2,0.3,0.3739,0.1174,0.187,0.2609,0.0,0.5348,0.1174,0.2639
