timestamp,hda2,hda5,hda1,hda0,hda6,hda8,hda3,hda4,hda7,hda9,max,min,avg
50,0.6261,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6248
51,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
52,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
53,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
54,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
55,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
56,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
57,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
58,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
59,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
60,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
61,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
62,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
63,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
64,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
65,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
66,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
67,0.6435,0.5478,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5478,0.6278
68,0.6435,0.5478,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5478,0.6287
69,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
70,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
71,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
72,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
73,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
74,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
75,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
76,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
77,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
78,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
79,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
80,0.6435,0.5565,0.6435,0.6391,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6295
81,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
82,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
83,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
84,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
85,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
86,0.6435,0.5565,0.6435,0.6478,0.6217,0.6304,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6304
87,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
88,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
89,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
90,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
91,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
92,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
93,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
94,0.6435,0.5565,0.6435,0.6478,0.6217,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6309
95,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
96,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
97,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
98,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
99,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
100,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
101,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
102,0.6435,0.5565,0.6435,0.6478,0.6304,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.6317
103,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
104,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
105,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
106,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
