timestamp,ehci2,ehci6,ehci9,ehci4,ehci8,ehci7,ehci0,ehci5,ehci1,ehci3,max,min,avg
1633371632,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
1633371635,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
1633371636,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0852,0.0852,0.0573,0.0601
1633371637,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.088,0.088,0.0573,0.0604
1633371638,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.088,0.088,0.0573,0.0604
1633371639,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.0936,0.0936,0.0573,0.0623
1633371640,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.0936,0.0936,0.0573,0.0623
1633371641,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.1089,0.1089,0.0573,0.0639
1633371642,0.0782,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0768,0.0754,0.1103,0.1103,0.0573,0.0684
1633371643,0.0782,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0768,0.0754,0.1103,0.1103,0.0573,0.0684
1633371644,0.0782,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0796,0.0754,0.1103,0.1103,0.0573,0.0687
1633371645,0.0782,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0936,0.0754,0.1103,0.1103,0.0573,0.0701
1633371646,0.0782,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0936,0.0754,0.1103,0.1103,0.0573,0.0701
1633371647,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0936,0.0754,0.1103,0.1103,0.0573,0.0704
1633371648,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0936,0.0754,0.1103,0.1103,0.0573,0.0704
1633371649,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0936,0.0754,0.1103,0.1103,0.0573,0.0704
1633371650,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0992,0.0754,0.1103,0.1103,0.0573,0.071
1633371651,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.102,0.0754,0.1103,0.1103,0.0573,0.0713
1633371652,0.081,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.102,0.0754,0.1103,0.1103,0.0573,0.0713
1633371653,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.0573,0.102,0.0754,0.1103,0.1103,0.0573,0.0724
1633371654,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.0782,0.102,0.0754,0.1103,0.1103,0.0573,0.0745
1633371655,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.102,0.0754,0.1103,0.1103,0.0573,0.0747
1633371656,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.102,0.0754,0.1243,0.1243,0.0573,0.0761
1633371657,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.0852,0.102,0.0754,0.1243,0.1243,0.0573,0.0766
1633371658,0.081,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.102,0.0754,0.1243,0.1243,0.0573,0.0761
1633371659,0.0838,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.102,0.0754,0.1243,0.1243,0.0573,0.0764
1633371660,0.0838,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.102,0.0754,0.1243,0.1243,0.0573,0.0764
1633371661,0.0838,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.1047,0.0754,0.1243,0.1243,0.0573,0.0767
1633371662,0.0838,0.0684,0.0573,0.0573,0.0573,0.0573,0.081,0.1047,0.0754,0.1243,0.1243,0.0573,0.0767
1633371663,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1243,0.1243,0.0573,0.0772
1633371664,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1243,0.1243,0.0573,0.0772
1633371665,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371666,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371667,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371668,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371669,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371670,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371671,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1047,0.0754,0.1341,0.1341,0.0573,0.0782
1633371672,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.0784
1633371673,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.0784
1633371674,0.0838,0.0684,0.0573,0.0573,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.0784
1633371675,0.0838,0.0684,0.0573,0.074,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.08
1633371676,0.1034,0.0684,0.0573,0.074,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.082
1633371677,0.1075,0.0684,0.0573,0.074,0.0573,0.0628,0.081,0.1061,0.0754,0.1341,0.1341,0.0573,0.0824
1633371678,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.081,0.1089,0.0754,0.1341,0.1341,0.0573,0.0829
1633371679,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.081,0.1089,0.0754,0.1341,0.1341,0.0573,0.0829
1633371680,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.081,0.1089,0.0754,0.1341,0.1341,0.0573,0.0829
1633371681,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.081,0.1089,0.0754,0.1341,0.1341,0.0573,0.0829
1633371682,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0754,0.1341,0.1341,0.0573,0.0844
1633371683,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0754,0.1341,0.1341,0.0573,0.0844
1633371684,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371685,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371686,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371687,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371688,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371689,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371690,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371691,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371692,0.1075,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0845
1633371693,0.1117,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0849
1633371694,0.1117,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0849
1633371695,0.1117,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0849
1633371696,0.1159,0.0684,0.0573,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0853
1633371697,0.1159,0.0684,0.0684,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0864
1633371698,0.1159,0.0684,0.0684,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0864
1633371699,0.1159,0.0684,0.0684,0.074,0.0573,0.0656,0.095,0.1089,0.0768,0.1341,0.1341,0.0573,0.0864
