timestamp,legacy_pcnet3,legacy_pcnet7,legacy_pcnet0,legacy_pcnet4,legacy_pcnet8,legacy_pcnet5,legacy_pcnet1,legacy_pcnet2,legacy_pcnet6,max,min,avg
43,0.2956,0.0894,0.3212,0.2226,0.1661,0.1004,0.1734,0.0237,0.2153,0.3212,0.0237,0.1786
44,0.2956,0.0876,0.3212,0.0547,0.1661,0.0292,0.0438,0.0237,0.0566,0.3212,0.0237,0.1198
45,0.2956,0.0876,0.3212,0.2208,0.1661,0.0292,0.2755,0.0237,0.1989,0.3212,0.0237,0.1798
46,0.2956,0.2318,0.2445,0.188,0.1661,0.0292,0.1533,0.3212,0.3139,0.3212,0.0292,0.216
47,0.2591,0.0876,0.3066,0.0547,0.1661,0.0292,0.2062,0.3212,0.0712,0.3212,0.0292,0.1669
48,0.2591,0.0876,0.2993,0.2172,0.3723,0.0292,0.2062,0.3212,0.2974,0.3723,0.0292,0.2322
49,0.2591,0.0766,0.2847,0.0201,0.188,0.0292,0.2044,0.3193,0.2938,0.3193,0.0201,0.1861
50,0.2591,0.0292,0.2719,0.2153,0.2026,0.0292,0.2044,0.3193,0.2828,0.3193,0.0292,0.2015
51,0.2591,0.0292,0.2719,0.2299,0.2354,0.0292,0.0547,0.3193,0.2956,0.3193,0.0292,0.1916
52,0.2591,0.0292,0.219,0.2299,0.2354,0.2719,0.0547,0.3193,0.292,0.3193,0.0292,0.2123
53,0.2591,0.1004,0.2044,0.2299,0.2354,0.2044,0.2044,0.3193,0.2901,0.3193,0.1004,0.2275
54,0.2974,0.0894,0.2318,0.219,0.2354,0.2719,0.2026,0.3193,0.2883,0.3193,0.0894,0.2395
55,0.2007,0.0894,0.2755,0.1953,0.2354,0.2719,0.0401,0.3193,0.2774,0.3193,0.0401,0.2117
56,0.2007,0.0894,0.2755,0.2591,0.2354,0.2719,0.031,0.3193,0.2774,0.3193,0.031,0.2177
57,0.2007,0.2646,0.2555,0.2591,0.1715,0.2719,0.2518,0.3193,0.2591,0.3193,0.1715,0.2504
58,0.2007,0.0894,0.25,0.2591,0.3577,0.2719,0.2518,0.3193,0.2591,0.3577,0.0894,0.251
59,0.2007,0.0894,0.2208,0.2007,0.3577,0.2719,0.0967,0.281,0.0219,0.3577,0.0219,0.1934
60,0.2007,0.0894,0.2628,0.2007,0.3577,0.2044,0.2299,0.1807,0.0219,0.3577,0.0219,0.1942
61,0.2007,0.0894,0.1916,0.2007,0.3449,0.2719,0.1861,0.2445,0.2719,0.3449,0.0894,0.2224
62,0.2007,0.0894,0.1825,0.2007,0.3449,0.2719,0.0201,0.2427,0.2719,0.3449,0.0201,0.2028
63,0.2007,0.0894,0.2044,0.2007,0.3449,0.2719,0.2464,0.1934,0.2719,0.3449,0.0894,0.2249
64,0.2007,0.0894,0.2391,0.2007,0.3449,0.2719,0.2464,0.312,0.2719,0.3449,0.0894,0.2419
65,0.2007,0.0894,0.2336,0.0675,0.3449,0.2719,0.2536,0.2646,0.2719,0.3449,0.0675,0.222
66,0.2007,0.0894,0.2591,0.0675,0.3412,0.2719,0.2482,0.2609,0.2719,0.3412,0.0675,0.2234
67,0.2007,0.25,0.25,0.0675,0.3376,0.2719,0.2409,0.2518,0.3777,0.3777,0.0675,0.2498
68,0.2007,0.25,0.1788,0.0675,0.3339,0.2573,0.2445,0.2153,0.3047,0.3339,0.0675,0.2281
69,0.2007,0.25,0.1788,0.0675,0.1715,0.2573,0.2427,0.2007,0.3047,0.3047,0.0675,0.2082
70,0.2737,0.0748,0.1788,0.0675,0.1715,0.2573,0.2409,0.2007,0.3047,0.3047,0.0675,0.1967
71,0.2737,0.0748,0.1788,0.0675,0.3467,0.2518,0.2409,0.2007,0.3047,0.3467,0.0675,0.2155
72,0.2737,0.1004,0.1788,0.3157,0.3467,0.2482,0.3011,0.2007,0.3047,0.3467,0.1004,0.2522
73,0.2737,0.1004,0.1788,0.2646,0.3394,0.1679,0.3011,0.2007,0.2956,0.3394,0.1004,0.2358
74,0.2044,0.1004,0.2555,0.2646,0.3394,0.1752,0.3011,0.2007,0.2956,0.3394,0.1004,0.2374
75,0.3157,0.1004,0.2555,0.2628,0.3339,0.2573,0.2828,0.3175,0.2482,0.3339,0.1004,0.2638
76,0.3084,0.1004,0.2555,0.2628,0.3066,0.2318,0.2828,0.3175,0.2482,0.3175,0.1004,0.2571
77,0.1916,0.1004,0.2555,0.2646,0.25,0.2318,0.2828,0.2956,0.2427,0.2956,0.1004,0.235
78,0.1916,0.1004,0.2555,0.2701,0.2281,0.2372,0.2828,0.2956,0.2409,0.2956,0.1004,0.2336
79,0.1697,0.1004,0.2555,0.2701,0.2445,0.031,0.2828,0.0675,0.2245,0.2828,0.031,0.1829
80,0.2792,0.1004,0.2555,0.2427,0.2226,0.031,0.1971,0.2318,0.0803,0.2792,0.031,0.1823
81,0.0201,0.1004,0.3376,0.2427,0.2226,0.031,0.0328,0.2573,0.2573,0.3376,0.0201,0.1669
82,0.2591,0.1004,0.3376,0.2391,0.0438,0.031,0.0328,0.2719,0.2573,0.3376,0.031,0.1748
83,0.2591,0.2372,0.3376,0.2391,0.1752,0.031,0.2792,0.2007,0.2573,0.3376,0.031,0.224
84,0.2591,0.2372,0.3376,0.2299,0.0383,0.031,0.2792,0.3029,0.2591,0.3376,0.031,0.2194
85,0.2591,0.0201,0.3376,0.2719,0.2865,0.3558,0.2135,0.3029,0.2591,0.3558,0.0201,0.2563
86,0.2208,0.0748,0.3376,0.219,0.2062,0.3558,0.2774,0.208,0.2427,0.3558,0.0748,0.238
87,0.2628,0.0748,0.3376,0.0639,0.2062,0.3558,0.2555,0.208,0.2427,0.3558,0.0639,0.223
88,0.031,0.2664,0.3376,0.2208,0.2062,0.3558,0.2628,0.208,0.2427,0.3558,0.031,0.2368
89,0.1953,0.2664,0.3376,0.2427,0.2062,0.3558,0.2555,0.208,0.2427,0.3558,0.1953,0.2567
90,0.2719,0.2664,0.3376,0.2719,0.2062,0.3558,0.2555,0.1807,0.2427,0.3558,0.1807,0.2654
91,0.2719,0.2664,0.3376,0.3011,0.2062,0.3558,0.2701,0.188,0.2427,0.3558,0.188,0.2711
92,0.2828,0.2628,0.3376,0.3011,0.3558,0.3558,0.25,0.2536,0.0675,0.3558,0.0675,0.2741
93,0.3157,0.2628,0.3394,0.0657,0.3558,0.3558,0.25,0.2719,0.1971,0.3558,0.0657,0.2682
94,0.3139,0.2628,0.3394,0.2591,0.1058,0.3558,0.25,0.1843,0.1971,0.3558,0.1058,0.252
95,0.312,0.2628,0.3394,0.2628,0.2482,0.3558,0.3011,0.2062,0.3047,0.3558,0.2062,0.2881
96,0.312,0.2518,0.3394,0.0401,0.2482,0.3558,0.3011,0.2062,0.3248,0.3558,0.0401,0.2644
97,0.3412,0.0219,0.3394,0.1022,0.0201,0.3558,0.3011,0.2062,0.2755,0.3558,0.0201,0.2182
98,0.3412,0.0219,0.3394,0.3157,0.3321,0.3558,0.3011,0.3358,0.2755,0.3558,0.0219,0.2909
99,0.323,0.0219,0.3394,0.2993,0.3577,0.3558,0.3011,0.2117,0.2974,0.3577,0.0219,0.2786
100,0.323,0.1825,0.3394,0.2993,0.2609,0.3558,0.3011,0.2117,0.3047,0.3558,0.1825,0.2865
101,0.3175,0.1752,0.3394,0.3011,0.3613,0.3558,0.3047,0.2591,0.3047,0.3613,0.1752,0.3021
102,0.3175,0.1752,0.3394,0.2956,0.3595,0.3558,0.3047,0.2974,0.1953,0.3595,0.1752,0.2934
103,0.312,0.1971,0.3394,0.2536,0.2974,0.3558,0.3047,0.2974,0.2536,0.3558,0.1971,0.2901
104,0.2664,0.0201,0.3394,0.1807,0.2974,0.3558,0.3047,0.2956,0.2226,0.3558,0.0201,0.2536
105,0.3084,0.2427,0.3394,0.1807,0.3577,0.3558,0.2956,0.2956,0.2226,0.3577,0.1807,0.2887
106,0.3376,0.2318,0.3394,0.3139,0.3595,0.3558,0.2956,0.25,0.2226,0.3595,0.2226,0.3007
107,0.3376,0.2026,0.3394,0.3139,0.3595,0.3558,0.2956,0.25,0.031,0.3595,0.031,0.2762
108,0.3376,0.2153,0.3394,0.3139,0.3193,0.3558,0.2938,0.0894,0.2208,0.3558,0.0894,0.2761
109,0.3376,0.1807,0.3394,0.2701,0.25,0.3558,0.2938,0.1807,0.1296,0.3558,0.1296,0.2597
110,0.3358,0.0931,0.3394,0.2609,0.2482,0.3558,0.2938,0.1807,0.2719,0.3558,0.0931,0.2644
111,0.25,0.0876,0.3321,0.2026,0.2482,0.3558,0.2555,0.2646,0.2609,0.3558,0.0876,0.2508
112,0.25,0.031,0.3321,0.2026,0.2482,0.3558,0.2555,0.2646,0.2609,0.3558,0.031,0.2445
113,0.2664,0.031,0.3321,0.2026,0.2482,0.3193,0.2172,0.2646,0.2609,0.3321,0.031,0.238
114,0.2664,0.2464,0.3321,0.1314,0.2391,0.3193,0.0712,0.2737,0.2609,0.3321,0.0712,0.2378
115,0.2664,0.2464,0.3321,0.2609,0.2391,0.3193,0.0712,0.3558,0.2573,0.3558,0.0712,0.2609
116,0.2664,0.2573,0.3029,0.2664,0.2719,0.3193,0.0712,0.3558,0.2518,0.3558,0.0712,0.2626
117,0.2664,0.2573,0.3029,0.0547,0.2828,0.3193,0.0712,0.2737,0.0803,0.3193,0.0547,0.2121
118,0.0967,0.2536,0.3029,0.0547,0.2628,0.354,0.0712,0.2737,0.25,0.354,0.0547,0.2133
119,0.0967,0.2391,0.3029,0.2445,0.0657,0.354,0.3102,0.2555,0.25,0.354,0.0657,0.2354
120,0.0967,0.2938,0.3029,0.2445,0.0529,0.354,0.3102,0.2646,0.2427,0.354,0.0529,0.2403
121,0.0967,0.2774,0.3029,0.2445,0.0529,0.354,0.3102,0.2646,0.2464,0.354,0.0529,0.2388
122,0.0967,0.1971,0.3029,0.2445,0.3066,0.25,0.0785,0.3011,0.0858,0.3066,0.0785,0.207
123,0.0967,0.2755,0.3029,0.2445,0.2245,0.25,0.0785,0.3011,0.1861,0.3029,0.0785,0.2178
124,0.3431,0.2646,0.3029,0.2391,0.2245,0.25,0.2828,0.25,0.1861,0.3431,0.1861,0.2603
125,0.3431,0.2701,0.3029,0.2391,0.3595,0.25,0.2828,0.25,0.1861,0.3595,0.1861,0.276
126,0.3157,0.2536,0.3029,0.2372,0.2117,0.354,0.2828,0.25,0.1861,0.354,0.1861,0.266
127,0.2828,0.1861,0.3029,0.2372,0.2117,0.354,0.2828,0.2482,0.2792,0.354,0.1861,0.265
128,0.3011,0.2664,0.3029,0.1843,0.3193,0.354,0.2828,0.2482,0.2792,0.354,0.1843,0.282
129,0.3157,0.2518,0.3029,0.2354,0.2299,0.354,0.281,0.2263,0.2956,0.354,0.2263,0.277
130,0.3157,0.0201,0.3029,0.2354,0.2518,0.354,0.281,0.2263,0.2628,0.354,0.0201,0.25
131,0.2609,0.2719,0.3029,0.2354,0.2518,0.354,0.281,0.2263,0.2628,0.354,0.2263,0.2719
132,0.2792,0.2573,0.3029,0.0201,0.2865,0.354,0.281,0.2391,0.2628,0.354,0.0201,0.2537
133,0.2719,0.1533,0.3011,0.2865,0.2573,0.354,0.281,0.0967,0.2628,0.354,0.0967,0.2516
134,0.208,0.0201,0.3011,0.2245,0.2555,0.354,0.281,0.0967,0.1533,0.354,0.0201,0.2105
135,0.208,0.2609,0.3011,0.2646,0.2226,0.3504,0.281,0.2464,0.1533,0.3504,0.1533,0.2543
136,0.208,0.1989,0.3011,0.2646,0.2226,0.3504,0.281,0.3047,0.1533,0.3504,0.1533,0.2538
137,0.208,0.2701,0.3011,0.2646,0.2226,0.3504,0.281,0.3066,0.281,0.3504,0.208,0.2762
138,0.208,0.1934,0.3011,0.2646,0.2226,0.3504,0.281,0.3066,0.281,0.3504,0.1934,0.2676
139,0.208,0.1934,0.3011,0.2646,0.2226,0.3504,0.281,0.3066,0.281,0.3504,0.1934,0.2676
140,0.2062,0.1934,0.3011,0.219,0.2226,0.3504,0.281,0.3066,0.281,0.3504,0.1934,0.2624
141,0.1788,0.1934,0.3011,0.219,0.2226,0.3504,0.2336,0.3212,0.281,0.3504,0.1788,0.2557
142,0.1788,0.1934,0.3011,0.219,0.2482,0.3504,0.2956,0.3212,0.281,0.3504,0.1788,0.2654
143,0.2026,0.1934,0.3011,0.219,0.3577,0.3467,0.2956,0.2518,0.281,0.3577,0.1934,0.2721
144,0.1533,0.3814,0.3011,0.219,0.3066,0.3467,0.2956,0.2518,0.281,0.3814,0.1533,0.2818
145,0.3084,0.0876,0.3011,0.219,0.3595,0.3467,0.2938,0.2518,0.281,0.3595,0.0876,0.2721
146,0.2591,0.2445,0.3011,0.3339,0.3577,0.3467,0.2938,0.2518,0.2646,0.3577,0.2445,0.2948
147,0.2555,0.1679,0.3011,0.2628,0.3358,0.3339,0.2828,0.2518,0.2646,0.3358,0.1679,0.2729
148,0.2628,0.1679,0.3011,0.2628,0.3358,0.3339,0.2828,0.2518,0.2993,0.3358,0.1679,0.2776
149,0.2336,0.25,0.3011,0.2628,0.3376,0.3339,0.2828,0.2701,0.2993,0.3376,0.2336,0.2857
150,0.2099,0.2482,0.3011,0.2628,0.3376,0.3339,0.2427,0.2701,0.2993,0.3376,0.2099,0.2784
151,0.1971,0.2518,0.3011,0.2555,0.2409,0.3339,0.2427,0.2701,0.2993,0.3339,0.1971,0.2658
152,0.1533,0.2518,0.3011,0.2555,0.2007,0.3339,0.2427,0.2701,0.323,0.3339,0.1533,0.2591
153,0.2573,0.2518,0.3084,0.2956,0.1916,0.3339,0.2427,0.2701,0.323,0.3339,0.1916,0.2749
154,0.2573,0.2518,0.3084,0.0201,0.2792,0.3339,0.2172,0.2701,0.323,0.3339,0.0201,0.2512
155,0.2518,0.2518,0.3084,0.0201,0.2792,0.3339,0.0876,0.2701,0.2883,0.3339,0.0201,0.2324
156,0.2518,0.2518,0.3084,0.0201,0.2792,0.3339,0.0839,0.2993,0.0201,0.3339,0.0201,0.2054
157,0.2518,0.2901,0.3066,0.0201,0.2792,0.3339,0.25,0.1898,0.0201,0.3339,0.0201,0.2157
158,0.2044,0.2628,0.3066,0.0201,0.2792,0.3339,0.25,0.1898,0.0201,0.3339,0.0201,0.2074
159,0.2044,0.1679,0.3066,0.0201,0.2792,0.3339,0.25,0.1898,0.0201,0.3339,0.0201,0.1969
160,0.2044,0.2518,0.3066,0.3504,0.2792,0.3339,0.25,0.0201,0.0201,0.3504,0.0201,0.2241
161,0.2026,0.2518,0.3066,0.3504,0.2792,0.3339,0.25,0.0201,0.0201,0.3504,0.0201,0.2239
162,0.2026,0.2518,0.3066,0.3504,0.3485,0.3339,0.25,0.0201,0.0201,0.3504,0.0201,0.2316
163,0.2409,0.2518,0.3066,0.3504,0.3485,0.3339,0.25,0.0201,0.3869,0.3869,0.0201,0.2766
164,0.1953,0.2518,0.3066,0.3504,0.3485,0.3339,0.25,0.0201,0.3869,0.3869,0.0201,0.2715
165,0.0839,0.2536,0.3066,0.3504,0.3485,0.3339,0.25,0.0201,0.3869,0.3869,0.0201,0.2593
