timestamp,rtl81399,rtl81390,rtl81393,rtl81397,rtl81398,rtl81392,rtl81394,rtl81395,rtl81391,rtl81396,max,min,avg
43,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
44,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7283,0.7174,0.7355,0.7156,0.7355,0.7029,0.719
45,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7283,0.7174,0.7355,0.7156,0.7355,0.7029,0.719
46,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7301,0.7174,0.7355,0.7156,0.7355,0.7029,0.7192
47,0.7138,0.7319,0.7192,0.7138,0.712,0.7083,0.7301,0.7174,0.7355,0.7156,0.7355,0.7083,0.7198
48,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
49,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
50,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
51,0.7174,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7373,0.7156,0.7373,0.712,0.7227
52,0.7174,0.7337,0.7192,0.7138,0.712,0.7319,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7245
53,0.7174,0.7337,0.7192,0.7138,0.712,0.7337,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7247
54,0.7174,0.7337,0.7192,0.7138,0.712,0.7337,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7247
55,0.7174,0.7337,0.7192,0.7138,0.712,0.7337,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7247
56,0.7174,0.7355,0.7192,0.7138,0.712,0.7337,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7248
57,0.7174,0.7355,0.7192,0.7138,0.712,0.7337,0.7301,0.7337,0.7373,0.7156,0.7373,0.712,0.7248
58,0.7174,0.7355,0.7192,0.7138,0.712,0.7337,0.7337,0.7337,0.7373,0.7156,0.7373,0.712,0.7252
59,0.7174,0.7355,0.7192,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7257
60,0.7174,0.7355,0.7192,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7257
61,0.7174,0.7355,0.7355,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7274
62,0.7174,0.7355,0.7355,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7274
63,0.7174,0.7355,0.7355,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7274
