timestamp,legacy_ee100pro8,legacy_ee100pro5,legacy_ee100pro4,legacy_ee100pro9,legacy_ee100pro0,legacy_ee100pro1,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro7,legacy_ee100pro3,max,min,avg
48,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
49,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
50,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
51,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
52,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
53,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
54,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
55,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
56,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
57,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
58,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
59,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
60,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
61,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
62,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
63,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
64,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0516
65,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0516
66,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2731,0.2731,0.0116,0.0377
67,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
68,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
69,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
70,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
71,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
72,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
73,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
74,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
75,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
76,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
77,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
78,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
79,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
80,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
81,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
82,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
83,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
84,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
85,0.0116,0.0116,0.0116,0.0116,0.4097,0.0116,0.0116,0.0116,0.0116,0.0116,0.4097,0.0116,0.0514
86,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
87,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
88,0.0116,0.0116,0.0116,0.0116,0.0116,0.0741,0.0116,0.0116,0.0116,0.0116,0.0741,0.0116,0.0178
89,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
90,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.5023,0.0116,0.0607
91,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.5023,0.0116,0.0607
92,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.5023,0.0116,0.0607
93,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.5023,0.0116,0.0607
94,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
95,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2731,0.0116,0.0116,0.2731,0.0116,0.0377
96,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2616,0.0116,0.0116,0.0116,0.2616,0.0116,0.0366
97,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2616,0.0116,0.0116,0.0116,0.2616,0.0116,0.0366
98,0.0116,0.2847,0.0116,0.0116,0.0116,0.0116,0.2616,0.0116,0.0116,0.0116,0.2847,0.0116,0.0639
99,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2616,0.0116,0.0116,0.0116,0.2616,0.0116,0.0366
100,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
101,0.0116,0.0116,0.0116,0.3403,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3403,0.0116,0.0445
102,0.0116,0.0116,0.0116,0.3403,0.0995,0.0116,0.0116,0.0116,0.0116,0.0116,0.3403,0.0116,0.0533
103,0.0116,0.0116,0.0116,0.3403,0.0995,0.0116,0.0116,0.0116,0.0116,0.0116,0.3403,0.0116,0.0533
104,0.0116,0.0116,0.0116,0.0116,0.0995,0.0116,0.0116,0.0116,0.0116,0.0116,0.0995,0.0116,0.0204
105,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
106,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
107,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
108,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.412,0.0116,0.0516
109,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.412,0.0116,0.0516
110,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.412,0.0116,0.0516
111,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.412,0.0116,0.0516
112,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.412,0.0116,0.0516
113,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.5023,0.0116,0.1007
114,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0116,0.0116,0.5023,0.0116,0.0905
115,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0116,0.0116,0.5023,0.0116,0.0905
