timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
44,0.2026,0.3376,0.3704,0.3175,0.2956,0.3394,0.3047,0.3522,0.2646,0.3704,0.2026,0.3094
45,0.2026,0.3376,0.3704,0.3723,0.2956,0.3394,0.3047,0.3522,0.2646,0.3723,0.2026,0.3155
46,0.2062,0.3376,0.3704,0.3723,0.3029,0.3394,0.3047,0.3522,0.281,0.3723,0.2062,0.3185
47,0.2062,0.3394,0.3704,0.3723,0.3029,0.3394,0.3047,0.3522,0.2847,0.3723,0.2062,0.3191
48,0.2062,0.3394,0.3704,0.3723,0.3029,0.3394,0.3193,0.3522,0.3011,0.3723,0.2062,0.3226
49,0.3248,0.3394,0.3704,0.3723,0.3029,0.3394,0.3193,0.3522,0.3011,0.3723,0.3011,0.3358
50,0.3285,0.3394,0.3704,0.3723,0.3029,0.3394,0.3193,0.3522,0.3157,0.3723,0.3029,0.3378
51,0.3285,0.3412,0.3704,0.3723,0.3066,0.3394,0.3193,0.3522,0.3175,0.3723,0.3066,0.3386
52,0.3285,0.3412,0.3704,0.3723,0.3066,0.3412,0.3193,0.3522,0.3175,0.3723,0.3066,0.3388
53,0.3285,0.3595,0.3704,0.3723,0.3066,0.3449,0.3193,0.3522,0.3175,0.3723,0.3066,0.3412
54,0.3285,0.3595,0.3704,0.3723,0.3066,0.3449,0.3193,0.3522,0.3175,0.3723,0.3066,0.3412
55,0.3285,0.3631,0.3741,0.3723,0.3066,0.3449,0.3193,0.3522,0.3193,0.3741,0.3066,0.3423
56,0.3285,0.3631,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3193,0.3741,0.312,0.3429
57,0.3285,0.3631,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3193,0.3741,0.312,0.3429
58,0.3285,0.365,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3193,0.3741,0.312,0.3431
59,0.4215,0.365,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3193,0.4215,0.312,0.3534
60,0.4215,0.365,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3193,0.4215,0.312,0.3534
61,0.4215,0.365,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3248,0.4215,0.312,0.354
62,0.4215,0.365,0.3741,0.3723,0.312,0.3449,0.3193,0.3522,0.3248,0.4215,0.312,0.354
63,0.4215,0.365,0.3759,0.3723,0.312,0.3449,0.3193,0.3522,0.3248,0.4215,0.312,0.3542
64,0.4215,0.365,0.3759,0.3723,0.312,0.3449,0.3193,0.3522,0.3248,0.4215,0.312,0.3542
65,0.4215,0.365,0.3759,0.3741,0.312,0.3449,0.3193,0.3522,0.3248,0.4215,0.312,0.3544
66,0.4215,0.365,0.3759,0.3741,0.312,0.3449,0.3376,0.3522,0.3248,0.4215,0.312,0.3564
67,0.4215,0.365,0.3759,0.3759,0.312,0.3449,0.3394,0.3522,0.3248,0.4215,0.312,0.3568
68,0.4234,0.365,0.3759,0.3759,0.312,0.3449,0.3412,0.3522,0.3248,0.4234,0.312,0.3573
69,0.4234,0.3869,0.3759,0.3759,0.312,0.3449,0.3412,0.3522,0.3248,0.4234,0.312,0.3597
70,0.4234,0.3869,0.3759,0.3759,0.3193,0.3449,0.3412,0.3522,0.3285,0.4234,0.3193,0.3609
71,0.4234,0.3869,0.3759,0.3759,0.3193,0.3449,0.3412,0.3522,0.3285,0.4234,0.3193,0.3609
72,0.4234,0.3869,0.3759,0.3759,0.3193,0.3449,0.3412,0.3522,0.3285,0.4234,0.3193,0.3609
73,0.4234,0.3869,0.3759,0.3759,0.3193,0.3449,0.3412,0.3522,0.3285,0.4234,0.3193,0.3609
74,0.4234,0.3869,0.3759,0.3759,0.3193,0.3449,0.3412,0.3522,0.3303,0.4234,0.3193,0.3611
75,0.4234,0.3869,0.3759,0.3777,0.3193,0.3449,0.3668,0.3522,0.3303,0.4234,0.3193,0.3642
76,0.4234,0.3869,0.3759,0.3777,0.3193,0.3449,0.3668,0.3522,0.3303,0.4234,0.3193,0.3642
77,0.4234,0.3869,0.3759,0.3777,0.3193,0.3449,0.3668,0.3522,0.3303,0.4234,0.3193,0.3642
78,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3668,0.3522,0.3303,0.4234,0.3193,0.3644
79,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3668,0.3522,0.3303,0.4234,0.3193,0.3644
80,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3668,0.3522,0.3376,0.4234,0.3193,0.3652
81,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3668,0.3522,0.3376,0.4234,0.3193,0.3652
82,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3686,0.3522,0.3376,0.4234,0.3193,0.3654
83,0.4234,0.3869,0.3759,0.3777,0.3193,0.3467,0.3686,0.3522,0.3613,0.4234,0.3193,0.368
84,0.4234,0.3869,0.3759,0.3777,0.3193,0.354,0.3686,0.3522,0.3613,0.4234,0.3193,0.3688
85,0.4234,0.3869,0.3759,0.3777,0.3193,0.354,0.3686,0.3522,0.3613,0.4234,0.3193,0.3688
86,0.4288,0.3869,0.3759,0.3777,0.3193,0.354,0.3723,0.3522,0.3613,0.4288,0.3193,0.3698
87,0.4288,0.3923,0.3759,0.3777,0.3193,0.354,0.3759,0.3522,0.3613,0.4288,0.3193,0.3708
88,0.4288,0.3923,0.3759,0.3777,0.3193,0.354,0.3759,0.3522,0.3613,0.4288,0.3193,0.3708
89,0.4288,0.3923,0.3759,0.3777,0.3193,0.354,0.3759,0.3522,0.3704,0.4288,0.3193,0.3718
90,0.4288,0.3923,0.3759,0.3777,0.3193,0.354,0.3759,0.3522,0.3704,0.4288,0.3193,0.3718
91,0.4288,0.3923,0.3759,0.3777,0.365,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3769
92,0.4288,0.3923,0.3759,0.3777,0.365,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3769
93,0.4288,0.3923,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3771
94,0.4288,0.3923,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3771
95,0.4288,0.3923,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3771
