timestamp,rtl81396,rtl81393,rtl81391,rtl81392,rtl81394,rtl81398,rtl81399,rtl81395,rtl81390,rtl81397,max,min,avg
49,0.3073,0.2655,0.3273,0.2455,0.2491,0.3073,0.3309,0.2255,0.2836,0.2945,0.3309,0.2255,0.2837
50,0.3073,0.2655,0.3273,0.2455,0.2491,0.3073,0.3309,0.2255,0.2836,0.2964,0.3309,0.2255,0.2838
51,0.3073,0.2655,0.3309,0.2455,0.2509,0.3073,0.3309,0.2255,0.2836,0.2964,0.3309,0.2255,0.2844
52,0.3073,0.2655,0.3309,0.2455,0.2509,0.3073,0.3309,0.2255,0.2836,0.2982,0.3309,0.2255,0.2846
53,0.3073,0.2655,0.3309,0.2455,0.2509,0.3073,0.3309,0.2255,0.2855,0.2982,0.3309,0.2255,0.2848
54,0.3091,0.2655,0.3309,0.2764,0.2509,0.3091,0.3327,0.2255,0.2873,0.2982,0.3327,0.2255,0.2886
55,0.3091,0.2655,0.3309,0.2764,0.2527,0.3091,0.3327,0.2255,0.2873,0.2982,0.3327,0.2255,0.2887
56,0.3127,0.2655,0.3309,0.2764,0.2527,0.3091,0.3327,0.2255,0.2891,0.2982,0.3327,0.2255,0.2893
57,0.3127,0.2655,0.3309,0.2764,0.2527,0.3091,0.3327,0.2255,0.2891,0.2982,0.3327,0.2255,0.2893
58,0.3127,0.2655,0.3309,0.2764,0.2527,0.3091,0.3327,0.2255,0.2891,0.2982,0.3327,0.2255,0.2893
59,0.3127,0.2655,0.3309,0.2782,0.2527,0.3091,0.3327,0.2255,0.2891,0.2982,0.3327,0.2255,0.2895
60,0.3127,0.2655,0.3309,0.2782,0.2527,0.3091,0.3327,0.2255,0.2891,0.2982,0.3327,0.2255,0.2895
61,0.3127,0.2673,0.3309,0.2782,0.2527,0.3091,0.3327,0.2273,0.32,0.2982,0.3327,0.2273,0.2929
62,0.3127,0.2673,0.3309,0.2836,0.2527,0.3091,0.3327,0.2273,0.32,0.3,0.3327,0.2273,0.2936
63,0.3127,0.2673,0.3309,0.2836,0.2527,0.3091,0.3327,0.2273,0.32,0.3,0.3327,0.2273,0.2936
64,0.3127,0.2673,0.3309,0.2836,0.2582,0.3109,0.3327,0.2291,0.3236,0.3,0.3327,0.2291,0.2949
65,0.3127,0.2673,0.3309,0.2836,0.2582,0.3109,0.3327,0.2291,0.3273,0.3,0.3327,0.2291,0.2953
66,0.3127,0.2673,0.3309,0.2836,0.2582,0.3109,0.3327,0.2291,0.3273,0.3,0.3327,0.2291,0.2953
67,0.3127,0.2673,0.3309,0.2836,0.2582,0.3109,0.3327,0.2291,0.3273,0.3,0.3327,0.2291,0.2953
68,0.3127,0.2673,0.3309,0.2836,0.2582,0.3109,0.3327,0.2291,0.3273,0.3,0.3327,0.2291,0.2953
69,0.3127,0.2673,0.3327,0.2836,0.2582,0.3109,0.3382,0.2291,0.3273,0.3,0.3382,0.2291,0.296
70,0.3145,0.2673,0.3327,0.2836,0.2582,0.3109,0.3382,0.2291,0.3273,0.3,0.3382,0.2291,0.2962
71,0.3218,0.2982,0.3327,0.2836,0.2582,0.3127,0.3382,0.2291,0.3273,0.3,0.3382,0.2291,0.3002
72,0.3218,0.2982,0.3382,0.2836,0.26,0.3127,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3011
73,0.3236,0.2982,0.3382,0.2836,0.26,0.3127,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3013
74,0.3364,0.2982,0.3382,0.2836,0.2618,0.3127,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3027
75,0.3364,0.2982,0.3382,0.2836,0.2673,0.3127,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3033
76,0.3364,0.2982,0.3382,0.2836,0.2673,0.3127,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3033
77,0.3364,0.2982,0.3382,0.2836,0.2673,0.3218,0.3382,0.2291,0.3273,0.3018,0.3382,0.2291,0.3042
78,0.3364,0.2982,0.3382,0.2836,0.2673,0.3218,0.3455,0.2291,0.3273,0.3018,0.3455,0.2291,0.3049
79,0.3364,0.2982,0.3382,0.2836,0.2673,0.3218,0.3455,0.2291,0.3273,0.3018,0.3455,0.2291,0.3049
80,0.3364,0.2982,0.3382,0.2836,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3455,0.2291,0.3051
81,0.3364,0.2982,0.3382,0.2836,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3455,0.2291,0.3051
82,0.3364,0.3018,0.3382,0.2855,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3455,0.2291,0.3056
83,0.3364,0.3018,0.3382,0.2855,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3455,0.2291,0.3056
84,0.34,0.3018,0.34,0.2855,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3455,0.2291,0.3062
85,0.3709,0.3018,0.34,0.2855,0.2673,0.3218,0.3455,0.2291,0.3273,0.3036,0.3709,0.2291,0.3093
86,0.3709,0.3018,0.34,0.2891,0.2673,0.3218,0.3455,0.2509,0.3273,0.3036,0.3709,0.2509,0.3118
87,0.3709,0.3055,0.34,0.2909,0.2673,0.3218,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3131
88,0.3709,0.3055,0.34,0.2909,0.2727,0.3218,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3136
89,0.3709,0.3055,0.34,0.2909,0.2727,0.3255,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.314
90,0.3709,0.3055,0.34,0.2927,0.2727,0.3255,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3142
91,0.3709,0.3055,0.34,0.2927,0.2727,0.3255,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3142
92,0.3709,0.3055,0.34,0.2927,0.2727,0.3255,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3142
93,0.3709,0.3055,0.34,0.2927,0.2727,0.3255,0.3455,0.2564,0.3273,0.3055,0.3709,0.2564,0.3142
94,0.3709,0.3055,0.34,0.2927,0.3073,0.3255,0.3455,0.2564,0.3291,0.3055,0.3709,0.2564,0.3178
95,0.3745,0.3055,0.3418,0.2927,0.3073,0.3255,0.3455,0.2564,0.3291,0.3055,0.3745,0.2564,0.3184
96,0.3745,0.3055,0.3418,0.2927,0.3091,0.3273,0.3455,0.2564,0.3291,0.3055,0.3745,0.2564,0.3187
97,0.3745,0.3055,0.3418,0.2945,0.3091,0.3273,0.3491,0.2564,0.3291,0.3055,0.3745,0.2564,0.3193
98,0.3745,0.3055,0.3418,0.2945,0.3145,0.3273,0.3491,0.2564,0.3291,0.3055,0.3745,0.2564,0.3198
99,0.3745,0.3055,0.3418,0.2945,0.3145,0.3273,0.3491,0.2564,0.3291,0.3055,0.3745,0.2564,0.3198
100,0.38,0.3055,0.3418,0.2945,0.3145,0.3327,0.3491,0.2564,0.3291,0.3055,0.38,0.2564,0.3209
101,0.38,0.3055,0.3418,0.2945,0.3164,0.3327,0.3491,0.2564,0.3291,0.3055,0.38,0.2564,0.3211
102,0.38,0.3055,0.3418,0.2945,0.3164,0.3345,0.3491,0.2564,0.3291,0.3055,0.38,0.2564,0.3213
103,0.38,0.3055,0.3418,0.2945,0.3182,0.3345,0.3491,0.2564,0.3291,0.3055,0.38,0.2564,0.3215
104,0.38,0.3055,0.3418,0.2945,0.3182,0.3345,0.3491,0.26,0.3291,0.3055,0.38,0.26,0.3218
105,0.3818,0.3109,0.3418,0.2945,0.3182,0.3345,0.3491,0.26,0.3291,0.3055,0.3818,0.26,0.3225
106,0.3818,0.3109,0.3418,0.2945,0.3182,0.3364,0.3491,0.26,0.3291,0.3055,0.3818,0.26,0.3227
107,0.3836,0.3109,0.3418,0.2945,0.3255,0.3364,0.3491,0.26,0.3291,0.3055,0.3836,0.26,0.3236
108,0.3836,0.3109,0.3418,0.2945,0.3255,0.3364,0.3491,0.26,0.3291,0.3055,0.3836,0.26,0.3236
109,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.26,0.3291,0.3073,0.3836,0.26,0.3246
110,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.26,0.3291,0.3073,0.3836,0.26,0.3246
111,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.26,0.3291,0.3073,0.3836,0.26,0.3246
112,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.26,0.3291,0.3073,0.3836,0.26,0.3246
113,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.26,0.3291,0.3073,0.3836,0.26,0.3246
114,0.3836,0.3109,0.3473,0.2945,0.3255,0.3382,0.3491,0.2618,0.3291,0.3073,0.3836,0.2618,0.3247
115,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3491,0.2618,0.3291,0.3073,0.3836,0.2618,0.3249
116,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3509,0.2727,0.3345,0.3073,0.3836,0.2727,0.3267
117,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3509,0.2727,0.3345,0.3073,0.3836,0.2727,0.3267
118,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3509,0.2727,0.3345,0.3073,0.3836,0.2727,0.3267
119,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3509,0.2727,0.3345,0.3073,0.3836,0.2727,0.3267
120,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3527,0.2727,0.3345,0.3073,0.3836,0.2727,0.3269
121,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3527,0.2727,0.3345,0.3073,0.3836,0.2727,0.3269
122,0.3836,0.3109,0.3473,0.2964,0.3255,0.3382,0.3527,0.2782,0.3345,0.3073,0.3836,0.2782,0.3275
123,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3345,0.3073,0.3855,0.2782,0.328
124,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3345,0.3073,0.3855,0.2782,0.328
125,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3345,0.3091,0.3855,0.2782,0.3282
126,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3345,0.3091,0.3855,0.2782,0.3282
127,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3345,0.3091,0.3855,0.2782,0.3282
128,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3364,0.3164,0.3855,0.2782,0.3291
129,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3364,0.3182,0.3855,0.2782,0.3293
130,0.3855,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.2782,0.3364,0.3182,0.3855,0.2782,0.3293
131,0.3873,0.3109,0.3473,0.2964,0.3255,0.3382,0.3564,0.28,0.3382,0.32,0.3873,0.28,0.33
132,0.3873,0.3109,0.3473,0.2964,0.3255,0.3418,0.3564,0.28,0.3382,0.32,0.3873,0.28,0.3304
133,0.3873,0.3127,0.3473,0.2964,0.3255,0.3418,0.3564,0.28,0.3382,0.32,0.3873,0.28,0.3306
134,0.3891,0.3127,0.3473,0.2964,0.3255,0.3436,0.3564,0.28,0.3382,0.32,0.3891,0.28,0.3309
135,0.3927,0.3127,0.3473,0.2964,0.3255,0.3436,0.3564,0.28,0.3382,0.32,0.3927,0.28,0.3313
136,0.3927,0.3127,0.3473,0.2964,0.3255,0.3436,0.3564,0.28,0.3382,0.32,0.3927,0.28,0.3313
137,0.3927,0.3127,0.3473,0.2964,0.3255,0.3436,0.3564,0.28,0.3436,0.3218,0.3927,0.28,0.332
138,0.3927,0.3127,0.3491,0.2964,0.3255,0.3436,0.3582,0.28,0.3436,0.3218,0.3927,0.28,0.3324
139,0.3927,0.3127,0.3491,0.2964,0.3255,0.3436,0.3582,0.28,0.3436,0.3218,0.3927,0.28,0.3324
140,0.3945,0.3127,0.3491,0.2964,0.3255,0.3436,0.36,0.28,0.3436,0.3218,0.3945,0.28,0.3327
141,0.3945,0.3127,0.3491,0.2964,0.3255,0.3436,0.36,0.28,0.3436,0.3218,0.3945,0.28,0.3327
142,0.3945,0.3127,0.3491,0.2964,0.3255,0.3436,0.36,0.28,0.3436,0.3218,0.3945,0.28,0.3327
143,0.3945,0.3127,0.3491,0.2964,0.3273,0.3436,0.36,0.28,0.3436,0.3218,0.3945,0.28,0.3329
144,0.3945,0.3127,0.3491,0.2964,0.3273,0.3436,0.36,0.28,0.3436,0.3218,0.3945,0.28,0.3329
