timestamp,legacy_es13704,legacy_es13707,legacy_es13708,legacy_es13705,legacy_es13706,legacy_es13703,legacy_es13702,legacy_es13700,legacy_es13709,legacy_es13701,max,min,avg
47,0.4506,0.4506,0.4321,0.4753,0.3333,0.5,0.4753,0.4383,0.3519,0.4938,0.5,0.3333,0.4401
48,0.4506,0.4506,0.4321,0.4753,0.3333,0.5062,0.4815,0.4568,0.3519,0.4938,0.5062,0.3333,0.4432
49,0.4506,0.4506,0.4321,0.4753,0.3333,0.6173,0.4815,0.4568,0.3519,0.4938,0.6173,0.3333,0.4543
50,0.4506,0.4506,0.4321,0.4753,0.3333,0.6173,0.4815,0.4568,0.4568,0.5,0.6173,0.3333,0.4654
51,0.4506,0.4506,0.4321,0.4753,0.3333,0.6235,0.4815,0.4568,0.4568,0.5,0.6235,0.3333,0.466
52,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.4568,0.5,0.6296,0.3333,0.4667
53,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.4568,0.5,0.6296,0.3333,0.4667
54,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.4568,0.5,0.6296,0.3333,0.4667
55,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.463,0.5,0.6296,0.3333,0.4673
56,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.463,0.5,0.6296,0.3333,0.4673
57,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.463,0.5,0.6296,0.3333,0.4673
58,0.4506,0.4506,0.4321,0.4753,0.3333,0.6296,0.4815,0.4568,0.463,0.5,0.6296,0.3333,0.4673
59,0.4506,0.4506,0.4321,0.4753,0.3395,0.6296,0.4815,0.4568,0.463,0.5,0.6296,0.3395,0.4679
60,0.4506,0.4506,0.4321,0.4753,0.3395,0.6296,0.5494,0.4568,0.463,0.5,0.6296,0.3395,0.4747
61,0.4506,0.4506,0.4321,0.4753,0.3395,0.6296,0.5494,0.4568,0.463,0.5,0.6296,0.3395,0.4747
62,0.4506,0.4506,0.4321,0.4753,0.3395,0.6296,0.5494,0.4568,0.463,0.5,0.6296,0.3395,0.4747
63,0.4506,0.4506,0.4321,0.4753,0.3395,0.6358,0.5556,0.4568,0.463,0.5,0.6358,0.3395,0.4759
64,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5,0.6358,0.3395,0.4772
65,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5,0.6358,0.3395,0.4772
