timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
50,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
51,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
52,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
53,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
54,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
55,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
56,0.4957,0.4261,0.3957,0.4304,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3848
57,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3922
58,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2826,0.3652,0.5043,0.2348,0.3922
59,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2957,0.3652,0.5043,0.2348,0.3935
60,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2957,0.3652,0.5043,0.2348,0.3935
62,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2957,0.3652,0.5043,0.2348,0.3935
63,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2957,0.3652,0.5043,0.2348,0.3935
