timestamp,legacy_e10004,legacy_e10009,legacy_e10006,legacy_e10008,legacy_e10002,legacy_e10000,legacy_e10007,legacy_e10005,legacy_e10003,max,min,avg
51,0.2268,0.2231,0.3535,0.3327,0.3478,0.3686,0.3526,0.31,0.259,0.3686,0.2231,0.3082
52,0.2268,0.2231,0.3554,0.3327,0.3478,0.3686,0.3526,0.31,0.259,0.3686,0.2231,0.3084
53,0.2268,0.2231,0.3554,0.3327,0.3478,0.3686,0.3526,0.3166,0.259,0.3686,0.2231,0.3092
54,0.2268,0.2268,0.3554,0.3327,0.3478,0.3686,0.3526,0.3166,0.2732,0.3686,0.2268,0.3112
55,0.3658,0.2268,0.3554,0.3327,0.3478,0.3686,0.3526,0.3166,0.2769,0.3686,0.2268,0.327
56,0.3658,0.2297,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2297,0.3306
57,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
58,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
59,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
60,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
61,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
62,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
63,0.3658,0.2467,0.3554,0.3365,0.3478,0.3686,0.3526,0.3422,0.2769,0.3686,0.2467,0.3325
64,0.3658,0.2467,0.3743,0.3365,0.3478,0.3686,0.3526,0.3535,0.2769,0.3743,0.2467,0.3359
65,0.3658,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3379
66,0.3658,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3379
67,0.3658,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3379
