timestamp,e10009,e10004,e10003,e10008,e10001,e10002,e10000,e10006,e10007,e10005,max,min,avg
44,0.2219,0.2219,0.2152,0.2219,0.3543,0.2848,0.2219,0.2152,0.2119,0.2053,0.3543,0.2053,0.2374
45,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
46,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
47,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
48,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
49,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
50,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
51,0.2219,0.2219,0.2152,0.2219,0.3576,0.2848,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2378
52,0.2219,0.2219,0.2152,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2381
53,0.2219,0.2219,0.2152,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2381
54,0.2219,0.2252,0.2152,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2384
55,0.2219,0.2252,0.2219,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2391
56,0.2219,0.2252,0.2219,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2391
57,0.2219,0.2252,0.2219,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2391
58,0.2219,0.2252,0.2219,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2391
59,0.2219,0.2252,0.2219,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2391
60,0.2219,0.2252,0.2252,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2053,0.3576,0.2053,0.2394
61,0.2219,0.2252,0.2252,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2086,0.3576,0.2086,0.2398
62,0.2219,0.2252,0.2252,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2086,0.3576,0.2086,0.2398
63,0.2219,0.2252,0.2252,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2086,0.3576,0.2086,0.2398
64,0.2219,0.2252,0.2252,0.2219,0.3576,0.2881,0.2219,0.2152,0.2119,0.2086,0.3576,0.2086,0.2398
65,0.2219,0.2252,0.2252,0.2219,0.3609,0.2881,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2401
66,0.2219,0.2252,0.2252,0.2219,0.3609,0.2881,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2401
67,0.2219,0.2252,0.2252,0.2219,0.3609,0.2881,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2401
68,0.2219,0.2252,0.2252,0.2219,0.3609,0.2881,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2401
69,0.2219,0.2252,0.2252,0.2219,0.3609,0.2881,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2401
70,0.2219,0.2252,0.2252,0.2219,0.3609,0.2914,0.2219,0.2152,0.2119,0.2086,0.3609,0.2086,0.2404
71,0.2219,0.2252,0.2252,0.2219,0.3609,0.2914,0.2219,0.2152,0.2119,0.2152,0.3609,0.2119,0.2411
72,0.2219,0.2252,0.2252,0.2252,0.3609,0.2914,0.2219,0.2152,0.2119,0.2152,0.3609,0.2119,0.2414
73,0.2219,0.2252,0.2252,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2417
74,0.2219,0.2252,0.2252,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2417
75,0.2219,0.2252,0.2252,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2417
76,0.2219,0.2252,0.2252,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2417
77,0.2219,0.2252,0.2914,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2483
78,0.2219,0.2252,0.2914,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2483
79,0.2219,0.2252,0.2914,0.2252,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2483
80,0.2219,0.2252,0.2914,0.2351,0.3609,0.2914,0.2219,0.2185,0.2119,0.2152,0.3609,0.2119,0.2493
81,0.2219,0.2252,0.2914,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2152,0.3609,0.2119,0.2503
82,0.2219,0.2252,0.2914,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2152,0.3609,0.2119,0.2503
