timestamp,legacy_cs4231a9,legacy_cs4231a6,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a5,legacy_cs4231a3,legacy_cs4231a7,legacy_cs4231a4,legacy_cs4231a0,legacy_cs4231a8,max,min,avg
45,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.5859,0.4235,0.5341,0.3718,0.5859,0.3647,0.4581
46,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6212,0.3647,0.4616
47,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6212,0.3647,0.4616
48,0.5529,0.6306,0.3812,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6306,0.3647,0.4849
49,0.5529,0.6376,0.3812,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6376,0.3647,0.4856
50,0.5529,0.6871,0.3882,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6871,0.3647,0.4913
51,0.5529,0.6871,0.3882,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6871,0.3647,0.4913
52,0.5529,0.6871,0.3953,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6871,0.3647,0.492
53,0.5529,0.6871,0.5624,0.3647,0.4282,0.5412,0.6212,0.4235,0.5341,0.3718,0.6871,0.3647,0.5087
54,0.5529,0.6871,0.5624,0.3812,0.4282,0.5671,0.6212,0.4235,0.5341,0.3718,0.6871,0.3718,0.513
55,0.5529,0.6871,0.5788,0.3812,0.4282,0.5671,0.6212,0.4235,0.5341,0.3718,0.6871,0.3718,0.5146
56,0.5529,0.6871,0.5788,0.3812,0.4282,0.5671,0.6212,0.4235,0.5341,0.4824,0.6871,0.3812,0.5257
57,0.5529,0.6871,0.5788,0.3812,0.4282,0.5671,0.6282,0.4235,0.5341,0.4824,0.6871,0.3812,0.5264
58,0.5529,0.6871,0.5788,0.3812,0.4282,0.5882,0.6282,0.4235,0.5341,0.4824,0.6871,0.3812,0.5285
59,0.5529,0.6871,0.5953,0.5412,0.4282,0.5882,0.6282,0.4235,0.5341,0.4824,0.6871,0.4235,0.5461
60,0.5529,0.6871,0.5953,0.5412,0.4282,0.6,0.6471,0.4235,0.5341,0.4824,0.6871,0.4235,0.5492
61,0.5529,0.6871,0.6071,0.5412,0.4282,0.6,0.6471,0.4235,0.5341,0.4824,0.6871,0.4235,0.5504
62,0.5529,0.6871,0.6071,0.5412,0.4282,0.6,0.6471,0.4235,0.5341,0.4824,0.6871,0.4235,0.5504
63,0.5529,0.6871,0.6071,0.56,0.4282,0.6,0.6471,0.5506,0.5341,0.4824,0.6871,0.4282,0.5649
64,0.5529,0.6871,0.6071,0.56,0.4282,0.6,0.6471,0.5506,0.5341,0.4824,0.6871,0.4282,0.5649
65,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
66,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
67,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
68,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
69,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
70,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
71,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6471,0.5506,0.5341,0.4824,0.6941,0.4824,0.5812
72,0.5529,0.6941,0.6071,0.56,0.5835,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5833
73,0.5529,0.6941,0.6235,0.56,0.5835,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5849
74,0.5529,0.6941,0.6235,0.56,0.5835,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5849
75,0.5529,0.6941,0.6235,0.56,0.5835,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5849
76,0.5529,0.6941,0.6235,0.56,0.6212,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5887
77,0.5529,0.6941,0.6235,0.56,0.6212,0.6,0.6682,0.5506,0.5341,0.4824,0.6941,0.4824,0.5887
78,0.5529,0.6941,0.6235,0.56,0.6212,0.6,0.6682,0.5506,0.6447,0.5176,0.6941,0.5176,0.6033
79,0.5529,0.6941,0.6235,0.56,0.6212,0.6,0.6682,0.5506,0.6518,0.5176,0.6941,0.5176,0.604
80,0.5529,0.6941,0.6235,0.5671,0.6212,0.6,0.6682,0.5576,0.6518,0.5176,0.6941,0.5176,0.6054
81,0.5529,0.6941,0.6235,0.5671,0.6212,0.6,0.6682,0.5576,0.6518,0.5176,0.6941,0.5176,0.6054
82,0.5529,0.6941,0.6235,0.5671,0.6212,0.6,0.6682,0.5576,0.6518,0.5176,0.6941,0.5176,0.6054
83,0.5788,0.6941,0.6235,0.5671,0.6212,0.6,0.6682,0.5576,0.6518,0.5176,0.6941,0.5176,0.608
84,0.5788,0.6941,0.6235,0.5671,0.6212,0.6,0.6682,0.5576,0.6518,0.5176,0.6941,0.5176,0.608
85,0.5788,0.7012,0.64,0.5671,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6113
86,0.5788,0.7012,0.64,0.5671,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6113
87,0.5788,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6176
88,0.6188,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6216
89,0.6188,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6216
90,0.6188,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6216
91,0.6188,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6216
92,0.6282,0.7012,0.64,0.6306,0.6212,0.6094,0.6682,0.5576,0.6518,0.5176,0.7012,0.5176,0.6226
93,0.6282,0.7012,0.6565,0.6306,0.6212,0.6094,0.6753,0.5576,0.6518,0.5176,0.7012,0.5176,0.6249
94,0.6282,0.7012,0.6565,0.6306,0.6212,0.6094,0.6753,0.6,0.6518,0.5176,0.7012,0.5176,0.6292
95,0.6282,0.7012,0.6565,0.6306,0.6212,0.6094,0.6753,0.6,0.6518,0.5176,0.7012,0.5176,0.6292
96,0.6282,0.7012,0.6565,0.6306,0.6212,0.6094,0.6753,0.6,0.6518,0.5176,0.7012,0.5176,0.6292
97,0.6282,0.7106,0.6612,0.6306,0.6212,0.6094,0.6753,0.6,0.6518,0.5176,0.7106,0.5176,0.6306
98,0.6282,0.7106,0.6612,0.6306,0.6212,0.6141,0.6753,0.6,0.6518,0.5176,0.7106,0.5176,0.6311
99,0.6282,0.7106,0.6612,0.6306,0.6212,0.6141,0.6753,0.6,0.6518,0.5176,0.7106,0.5176,0.6311
100,0.6282,0.7106,0.6706,0.64,0.6212,0.6141,0.6753,0.6,0.6518,0.5176,0.7106,0.5176,0.6329
101,0.6282,0.7106,0.6706,0.64,0.6212,0.6471,0.6753,0.6,0.6518,0.5176,0.7106,0.5176,0.6362
102,0.6282,0.7106,0.6706,0.64,0.6212,0.6471,0.7153,0.6,0.6518,0.5176,0.7153,0.5176,0.6402
103,0.6282,0.7106,0.6706,0.64,0.6212,0.6471,0.7153,0.6,0.6682,0.5176,0.7153,0.5176,0.6419
104,0.6282,0.7106,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5176,0.7153,0.5176,0.6428
105,0.6353,0.7106,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5176,0.7153,0.5176,0.6435
106,0.6353,0.7106,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5647,0.7153,0.5647,0.6482
107,0.6353,0.7106,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5647,0.7153,0.5647,0.6482
108,0.6353,0.7106,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5647,0.7153,0.5647,0.6482
109,0.6353,0.7224,0.6706,0.6494,0.6212,0.6471,0.7153,0.6,0.6682,0.5647,0.7224,0.5647,0.6494
