timestamp,i825503,i825500,i825505,i825507,i825504,i825506,i825501,i825509,i825502,i825508,max,min,avg
49,0.412,0.4005,0.3519,0.3634,0.3681,0.3472,0.4537,0.3495,0.4259,0.338,0.4537,0.338,0.381
50,0.4144,0.4005,0.3519,0.3634,0.3681,0.3472,0.4537,0.3495,0.4259,0.338,0.4537,0.338,0.3813
51,0.4167,0.4005,0.3542,0.3634,0.3704,0.3472,0.4537,0.3542,0.4259,0.3426,0.4537,0.3426,0.3829
52,0.4167,0.4005,0.3542,0.3634,0.3704,0.3472,0.456,0.3542,0.4259,0.3426,0.456,0.3426,0.3831
53,0.4167,0.4005,0.3542,0.3657,0.3704,0.3588,0.456,0.3565,0.4259,0.3426,0.456,0.3426,0.3847
54,0.419,0.4005,0.3542,0.3657,0.3704,0.3611,0.456,0.3565,0.4306,0.3426,0.456,0.3426,0.3857
55,0.419,0.4005,0.3542,0.3657,0.3704,0.3611,0.456,0.3565,0.4306,0.3426,0.456,0.3426,0.3857
56,0.419,0.4005,0.3542,0.3657,0.3704,0.3611,0.456,0.3565,0.4306,0.3426,0.456,0.3426,0.3857
57,0.419,0.4005,0.3542,0.3657,0.3704,0.3634,0.456,0.3565,0.4352,0.3426,0.456,0.3426,0.3864
58,0.419,0.4028,0.3542,0.3657,0.3704,0.3634,0.4606,0.3565,0.4352,0.3449,0.4606,0.3449,0.3873
59,0.419,0.4028,0.3542,0.3657,0.375,0.3634,0.4606,0.3565,0.4352,0.3449,0.4606,0.3449,0.3877
60,0.4259,0.4028,0.3565,0.3657,0.375,0.3657,0.4606,0.3565,0.4352,0.3449,0.4606,0.3449,0.3889
61,0.4259,0.4028,0.3565,0.3657,0.3773,0.3727,0.4606,0.3565,0.4352,0.3449,0.4606,0.3449,0.3898
62,0.4259,0.4028,0.3565,0.3657,0.3773,0.3727,0.4606,0.3565,0.4352,0.3449,0.4606,0.3449,0.3898
63,0.4259,0.4051,0.3565,0.3657,0.3773,0.3773,0.4606,0.3588,0.4352,0.3472,0.4606,0.3472,0.391
64,0.4259,0.4074,0.3565,0.3657,0.3773,0.3773,0.4606,0.3611,0.4375,0.3472,0.4606,0.3472,0.3916
65,0.4259,0.4074,0.3565,0.3657,0.3773,0.3773,0.4606,0.3611,0.4375,0.3472,0.4606,0.3472,0.3916
66,0.4259,0.4074,0.3565,0.3657,0.3773,0.3796,0.4606,0.3611,0.4375,0.3472,0.4606,0.3472,0.3919
67,0.4259,0.4074,0.3565,0.3657,0.3773,0.3796,0.4606,0.3611,0.4375,0.3472,0.4606,0.3472,0.3919
68,0.4259,0.4074,0.3588,0.3657,0.3773,0.3796,0.4606,0.3611,0.4375,0.3495,0.4606,0.3495,0.3923
69,0.4259,0.4074,0.3588,0.3657,0.3773,0.3796,0.4606,0.3611,0.4421,0.3495,0.4606,0.3495,0.3928
70,0.4259,0.4074,0.3657,0.3681,0.3773,0.3796,0.4606,0.3611,0.4444,0.3495,0.4606,0.3495,0.394
71,0.4259,0.4074,0.3657,0.3681,0.3773,0.3796,0.4606,0.3634,0.4444,0.3495,0.4606,0.3495,0.3942
72,0.4259,0.4074,0.3657,0.3681,0.3773,0.3796,0.463,0.3634,0.4444,0.3495,0.463,0.3495,0.3944
73,0.4259,0.4074,0.3657,0.3681,0.3773,0.3796,0.463,0.3727,0.4444,0.3495,0.463,0.3495,0.3954
74,0.4259,0.4074,0.3657,0.3681,0.3773,0.3796,0.4653,0.3727,0.4444,0.3495,0.4653,0.3495,0.3956
75,0.4259,0.4074,0.3681,0.3681,0.3773,0.3796,0.4653,0.3727,0.4444,0.3495,0.4653,0.3495,0.3958
76,0.4259,0.4074,0.3704,0.3681,0.3773,0.3796,0.4653,0.3727,0.4444,0.3495,0.4653,0.3495,0.3961
